"key","rule","severity","type","status","file","line","message"
"AZuO3VRdEx8CgONOF6Zc","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/EditProfiloServlet.java",38,"Handle the following exception that could be thrown by ""editImmagine"": IOException."
"AZuO3VRdEx8CgONOF6Zg","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/EditProfiloServlet.java",44,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VRdEx8CgONOF6Zk","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/EditProfiloServlet.java",54,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VQAEx8CgONOF6Xm","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/ProdottiPerCategoriaServlet.java",40,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VR5Ex8CgONOF6Z3","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/ProdottoServlet.java",31,"Handle the following exception that could be thrown by ""parseInt"": NumberFormatException."
"AZuO3VR5Ex8CgONOF6Z6","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/ProdottoServlet.java",40,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VQzEx8CgONOF6X6","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RecensioniServlet.java",33,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VQzEx8CgONOF6X8","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RecensioniServlet.java",42,"Handle the following exception that could be thrown by ""parseInt"": NumberFormatException."
"AZuO3VQzEx8CgONOF6X9","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RecensioniServlet.java",43,"Handle the following exception that could be thrown by ""parseInt"": NumberFormatException."
"AZuO3VQzEx8CgONOF6YA","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RecensioniServlet.java",50,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VQzEx8CgONOF6YB","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RecensioniServlet.java",55,"Handle the following exception that could be thrown by ""parseInt"": NumberFormatException."
"AZuO3VQzEx8CgONOF6YF","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RecensioniServlet.java",62,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VPrEx8CgONOF6Xi","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RegistrazioneServlet.java",90,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VRDEx8CgONOF6YP","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RicercaServlet.java",39,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VQjEx8CgONOF6Xy","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/UtenteServlet.java",31,"Handle the following exception that could be thrown by ""parseInt"": NumberFormatException."
