"key","rule","severity","type","status","file","line","message"
"AZuPHQtVMdQ2EMqsNmyD","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",237,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuPHQtVMdQ2EMqsNmyF","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/AdminServlet.java",250,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuPHQtlMdQ2EMqsNmyK","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/EditProfiloServlet.java",64,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuPHQtlMdQ2EMqsNmyM","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/EditProfiloServlet.java",76,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuPHQrmMdQ2EMqsNmxe","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/logoutServlet.java",27,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VQAEx8CgONOF6Xm","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/ProdottiPerCategoriaServlet.java",48,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VR5Ex8CgONOF6Z6","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/ProdottoServlet.java",47,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VQzEx8CgONOF6YF","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RecensioniServlet.java",71,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VPrEx8CgONOF6Xi","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RegistrazioneServlet.java",97,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VRDEx8CgONOF6YP","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/RicercaServlet.java",46,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VQjEx8CgONOF6X1","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/UtenteServlet.java",46,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VRLEx8CgONOF6Yb","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/WishlistServlet.java",72,"Handle the following exception that could be thrown by ""sendError"": IOException."
"AZuO3VPaEx8CgONOF6XS","java:S1989","MINOR","VULNERABILITY","OPEN","src/main/java/controller/LoginServlet.java",65,"Handle the following exception that could be thrown by ""sendError"": IOException."
