width,height,url,size,nodes,requests,grade,score,ges,water,ecoindex_version,date,page_type
1920,1080,http://host.docker.internal:8080/showProdotti.jsp,179.743,87,19,A,89.0,1.22,1.83,5.9.0,2026-05-28 10:46:17.117725,
1920,1080,http://host.docker.internal:8080/registrazione.jsp,63.815,28,9,A,95.0,1.1,1.65,5.9.0,2026-05-28 10:46:17.106818,
1920,1080,http://host.docker.internal:8080/login.jsp,63.406,24,8,A,95.0,1.1,1.65,5.9.0,2026-05-28 10:46:17.096523,
1920,1080,http://host.docker.internal:8080/carrello.jsp,142.629,59,12,A,92.0,1.16,1.74,5.9.0,2026-05-28 10:46:17.120377,
1920,1080,http://host.docker.internal:8080/modificaProdotto.jsp?prodotto=100,52.891,8,17,A,95.0,1.1,1.65,5.9.0,2026-05-28 10:46:17.097490,
1920,1080,http://host.docker.internal:8080/visualizzaOrdineAdmin.jsp?idOrdine=1&cod=0,51.769,8,17,A,95.0,1.1,1.65,5.9.0,2026-05-28 10:46:17.095809,
1920,1080,http://host.docker.internal:8080/aggiuntaProdotto.jsp,142.571,88,12,A,90.0,1.2,1.8,5.9.0,2026-05-28 10:46:17.109925,
1920,1080,http://host.docker.internal:8080/categorie.jsp,142.22,68,11,A,91.0,1.18,1.77,5.9.0,2026-05-28 10:46:17.196507,
1920,1080,http://host.docker.internal:8080/dashboard.jsp,284.075,107,18,A,88.0,1.24,1.86,5.9.0,2026-05-28 10:46:17.183020,
1920,1080,http://host.docker.internal:8080/paginaUtente.jsp,143.258,83,12,A,90.0,1.2,1.8,5.9.0,2026-05-28 10:46:17.101140,
1920,1080,http://host.docker.internal:8080/chiSiamo.jsp,143.223,54,11,A,92.0,1.16,1.74,5.9.0,2026-05-28 10:46:17.177931,
1920,1080,http://host.docker.internal:8080/paginaProdotto.jsp?prodotto=100,144.27,102,12,A,90.0,1.2,1.8,5.9.0,2026-05-28 10:46:17.181536,
1920,1080,http://host.docker.internal:8080/visualizzaOrdine.jsp?idOrdine=1&cod=0,142.792,46,13,A,93.0,1.14,1.71,5.9.0,2026-05-28 10:46:17.187610,
1920,1080,http://host.docker.internal:8080/wishlist.jsp,142.344,45,12,A,93.0,1.14,1.71,5.9.0,2026-05-28 10:46:17.104106,
1920,1080,http://host.docker.internal:8080/confronta.jsp,141.135,91,11,A,90.0,1.2,1.8,5.9.0,2026-05-28 10:46:17.170248,
1920,1080,http://host.docker.internal:8080/index.jsp,284.304,107,19,A,88.0,1.24,1.86,5.9.0,2026-05-28 10:46:17.093805,
