width,height,url,size,nodes,requests,grade,score,ges,water,ecoindex_version,date,page_type
1920,1080,http://host.docker.internal:8080/login.jsp,98.541,22,8,A,95.0,1.1,1.65,5.9.0,2026-05-28 15:41:18.928172,
1920,1080,http://host.docker.internal:8080/showProdotti.jsp,634.085,85,18,A,87.0,1.26,1.89,5.9.0,2026-05-28 15:41:18.926971,
1920,1080,http://host.docker.internal:8080/index.jsp,797.183,117,21,A,84.0,1.32,1.98,5.9.0,2026-05-28 15:41:18.922465,
1920,1080,http://host.docker.internal:8080/registrazione.jsp,104.861,26,9,A,95.0,1.1,1.65,5.9.0,2026-05-28 15:41:48.829237,
1920,1080,http://host.docker.internal:8080/wishlist.jsp,186.305,87,12,A,90.0,1.2,1.8,5.9.0,2026-05-28 15:41:48.827439,
1920,1080,http://host.docker.internal:8080/categorie.jsp,189.503,66,11,A,91.0,1.18,1.77,5.9.0,2026-05-28 15:41:48.834923,
1920,1080,http://host.docker.internal:8080/paginaUtente.jsp,190.827,81,13,A,90.0,1.2,1.8,5.9.0,2026-05-28 15:41:48.825742,
1920,1080,http://host.docker.internal:8080/chiSiamo.jsp,190.777,52,11,A,92.0,1.16,1.74,5.9.0,2026-05-28 15:41:48.831176,
1920,1080,http://host.docker.internal:8080/carrello.jsp,186.145,49,11,A,93.0,1.14,1.71,5.9.0,2026-05-28 15:41:48.829804,
1920,1080,http://host.docker.internal:8080/aggiuntaProdotto.jsp,187.652,82,12,A,90.0,1.2,1.8,5.9.0,2026-05-28 15:42:15.147388,
1920,1080,http://host.docker.internal:8080/paginaProdotto.jsp?prodotto=100,196.666,100,12,A,89.0,1.22,1.83,5.9.0,2026-05-28 15:42:15.152658,
1920,1080,http://host.docker.internal:8080/visualizzaOrdine.jsp?idOrdine=1&cod=0,186.503,44,13,A,93.0,1.14,1.71,5.9.0,2026-05-28 15:42:15.148632,
1920,1080,http://host.docker.internal:8080/confronta.jsp,186.702,89,11,A,90.0,1.2,1.8,5.9.0,2026-05-28 15:42:15.151862,
1920,1080,http://host.docker.internal:8080/visualizzaOrdineAdmin.jsp?idOrdine=1&cod=0,96.288,6,16,A,95.0,1.1,1.65,5.9.0,2026-05-28 15:42:38.353635,
1920,1080,http://host.docker.internal:8080/modificaProdotto.jsp?prodotto=100,100.026,6,16,A,95.0,1.1,1.65,5.9.0,2026-05-28 15:42:38.355776,
