width,height,url,size,nodes,requests,grade,score,ges,water,ecoindex_version,date,page_type
1920,1080,http://host.docker.internal:8080/login.jsp,3.265,20,5,A,96.0,1.08,1.62,5.9.0,2026-05-29 09:59:47.421980,
1920,1080,http://host.docker.internal:8080/registrazione.jsp,3.399,23,5,A,96.0,1.08,1.62,5.9.0,2026-05-29 09:59:47.431625,
1920,1080,http://host.docker.internal:8080/modificaProdotto.jsp?prodotto=100,21.345,8,16,A,95.0,1.1,1.65,5.9.0,2026-05-29 09:59:47.425004,
1920,1080,http://host.docker.internal:8080/visualizzaOrdineAdmin.jsp?idOrdine=1&cod=0,19.094,8,15,A,95.0,1.1,1.65,5.9.0,2026-05-29 09:59:47.421246,
1920,1080,http://host.docker.internal:8080/wishlist.jsp,110.455,78,11,A,91.0,1.18,1.77,5.9.0,2026-05-29 09:59:47.429681,
1920,1080,http://host.docker.internal:8080/carrello.jsp,111.053,64,11,A,92.0,1.16,1.74,5.9.0,2026-05-29 09:59:47.444066,
1920,1080,http://host.docker.internal:8080/confronta.jsp,109.268,143,9,A,89.0,1.22,1.83,5.9.0,2026-05-29 09:59:47.454110,
1920,1080,http://host.docker.internal:8080/visualizzaOrdine.jsp?idOrdine=1&cod=0,110.013,48,11,A,93.0,1.14,1.71,5.9.0,2026-05-29 09:59:47.556409,
1920,1080,http://host.docker.internal:8080/chiSiamo.jsp,109.28,49,8,A,93.0,1.14,1.71,5.9.0,2026-05-29 09:59:47.455992,
1920,1080,http://host.docker.internal:8080/showProdotti.jsp,168.2,345,13,A,81.0,1.38,2.07,5.9.0,2026-05-29 09:59:47.439656,
1920,1080,http://host.docker.internal:8080/aggiuntaProdotto.jsp,110.808,87,11,A,90.0,1.2,1.8,5.9.0,2026-05-29 09:59:47.437170,
1920,1080,http://host.docker.internal:8080/categorie.jsp,108.37,64,8,A,92.0,1.16,1.74,5.9.0,2026-05-29 09:59:47.559197,
1920,1080,http://host.docker.internal:8080/paginaUtente.jsp,110.714,92,10,A,90.0,1.2,1.8,5.9.0,2026-05-29 09:59:47.428566,
1920,1080,http://host.docker.internal:8080/dashboard.jsp,283.924,107,18,A,88.0,1.24,1.86,5.9.0,2026-05-29 09:59:47.538266,
1920,1080,http://host.docker.internal:8080/paginaProdotto.jsp?prodotto=100,112.233,125,10,A,89.0,1.22,1.83,5.9.0,2026-05-29 09:59:47.508729,
1920,1080,http://host.docker.internal:8080/index.jsp,284.108,107,19,A,88.0,1.24,1.86,5.9.0,2026-05-29 09:59:47.420214,
