Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779378074195,9967.324829101563,42800,0,0.79375,342156.1905975342,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,53.76804733276367,66.96633911132813,100,40.601806640625,0,0,0,0,0,0,0,0,0,0,72.90008544921875,43.10484313964844,0,0,33413771264,23622320128,17089175552,0
200,1779378074195,9967.327163696289,42800,0,0.8,342156.21128845215,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,33413771264,23622320128,17088716800,0
200,1779378074395,27601.956130981445,18300,0,0.7875,342158.53034973145,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,12.532478332519531,12.894973754882813,54.972999572753906,65.12152862548828,28.20519256591797,33.651275634765625,3.1204605102539063,1.8705368041992188,0.0601806640625,0.0598297119140625,0.0599365234375,0.05953216552734375,22.731422424316406,28.613304138183594,39.61156463623047,51.68395233154297,47.77534866333008,48.98347091674805,0.0531768798828125,0.0546722412109375,33413771264,23622320128,17126318080,0
200,1779378074596,27194.72315979004,18300,0,0.7875,342160.92584228516,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,4.347625732421875,2.6750564575195313,42.742496490478516,59.11038589477539,48.34107208251953,62.781517028808594,11.776885986328125,20.92644500732422,0.413055419921875,0.487762451171875,0.40618133544921875,0.3980712890625,12.382003784179688,12.004386901855469,47.233314514160156,55.43423080444336,54.27993392944336,45.03471374511719,0.3889617919921875,0.389312744140625,33413771264,23622320128,17130369024,0
199,1779378074796,27195.03450012207,18300,0,0.8,342163.3184814453,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,11.117454528808594,10.159767150878906,60.893531799316406,68.69898986816406,0.0126495361328125,0.01270294189453125,0.0279541015625,0.031707763671875,0.031402587890625,0.0301055908203125,0.0279541015625,0.02770233154296875,49.13060760498047,50.43436050415039,47.51549530029297,52.662940979003906,41.46247482299805,47.00559616088867,50.34614181518555,50.79182815551758,33413771264,23622320128,17128476672,0
200,1779378074996,27603.0157623291,18300,0,0.7875,342166.5472869873,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,30.21033477783203,28.13317108154297,86.78329467773438,87.01539611816406,1.8161544799804688,0.7176589965820313,44.59042739868164,36.52653121948242,0,0,0,0,50.489864349365234,41.63148880004883,70.83894348144531,46.709991455078125,61.302345275878906,47.791996002197266,77.12788391113281,76.82081604003906,33413771264,23622320128,17168130048,0
200,1779378075197,9561.089553833008,42800,0,0.8,342169.2893218994,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2.4326171875,1.2296829223632813,34.41407012939453,43.8802604675293,65.32347106933594,65.05499267578125,15.784934997558594,18.996620178222656,7.592445373535156,9.776679992675781,0.4081573486328125,0.40770721435546875,27.29388427734375,14.049278259277344,82.64564514160156,36.80258560180664,42.71382522583008,27.27051544189453,35.29597473144531,42.99403381347656,33413771264,23622320128,17185640448,0
199,1779378075397,27196.477127075195,18300,0,0.8,342172.24392700195,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,31.659149169921875,30.979270935058594,16.06371307373047,16.893157958984375,18.250572204589844,17.618499755859375,1.9398193359375,2.3162155151367188,1.8003311157226563,1.7068557739257813,0.4957733154296875,0.49442291259765625,42.67559814453125,28.9210205078125,71.30561065673828,45.4297981262207,56.42768096923828,44.70824432373047,50.33142852783203,71.97435760498047,33413771264,23622320128,17194770432,0
200,1779378075597,27604.167724609375,18300,0,0.7875,342175.0797729492,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,34.91950988769531,43.71388626098633,2.4194259643554688,0,0.0055084228515625,0.0062103271484375,0.0028076171875,0.004058837890625,0.005157470703125,0.004608154296875,0.02243804931640625,0.0138702392578125,52.0892448425293,38.37193298339844,47.415313720703125,57.69626998901367,44.118133544921875,73.94478607177734,54.2639274597168,61.477474212646484,33413771264,23622320128,17191055360,0
200,1779378075798,27197.42315673828,18300,0,0.79375,342178.5173034668,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,40.679718017578125,41.54106140136719,47.729026794433594,53.233211517333984,17.43090057373047,15.643348693847656,11.541404724121094,9.58795166015625,0,0,0,0,53.01615905761719,49.29387283325195,64.68603515625,85.17495727539063,80.65373229980469,73.96085357666016,65.00813293457031,70.35992431640625,33413771264,23622320128,17202659328,0
200,1779378075998,27605.13816833496,18300,0,0.8,342181.5438079834,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1.864349365234375,9.082199096679688,33.270164489746094,50.46491241455078,47.71206283569336,41.9033317565918,16.000267028808594,24.06848907470703,0.2213897705078125,0.21978759765625,0.22489166259765625,0.22003936767578125,27.005699157714844,38.07867431640625,44.01703643798828,65.60064697265625,70.25801086425781,57.93986892700195,32.548118591308594,55.313899993896484,33413771264,23622320128,17240891392,0
