Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779387950510,15937.249298095703,42800,0,0.8,552787.3082580566,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,78.76293182373047,97.3745346069336,0,0,0,0,0,0,0,0,79.53547668457031,85.2789306640625,0,0,33413771264,23622320128,19273678848,0
199,1779387950511,15937.251678466797,42800,0,0.8,552787.3250427246,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.546356201171875,46.550296783447266,43.15378952026367,43.551753997802734,43.15378952026367,43.14984893798828,100,100,43.078922271728516,43.078922271728516,43.078922271728516,43.078922271728516,47.79936218261719,46.546356201171875,46.546356201171875,46.546356201171875,100,100,43.15378952026367,43.15773010253906,33413771264,23622320128,19273474048,0
200,1779387950711,55989.96356201172,18300,0,0.7875,552789.5464782715,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.8526840209960938,0.5538253784179688,0.4729461669921875,3.8420333862304688,0.4781951904296875,0.47814178466796875,65.1606674194336,44.567203521728516,0.48928070068359375,0.47589874267578125,0.47724151611328125,0.47719573974609375,20.003028869628906,26.12468719482422,37.9368782043457,54.313663482666016,46.44276809692383,56.69404220581055,0.4787445068359375,0.47899627685546875,33413771264,23622320128,19313795072,0
199,1779387950911,56635.03564453125,18300,0,0.79375,552791.7759399414,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.34603118896484375,0.4518585205078125,0.034332275390625,2.0690460205078125,0.0341796875,0.03412628173828125,45.32889938354492,48.54510498046875,37.25026321411133,26.721778869628906,0.03298187255859375,0.032928466796875,7.994361877441406,7.2164306640625,52.56478500366211,42.85245132446289,58.646026611328125,36.948490142822266,0.03926849365234375,0.034332275390625,33413771264,23622320128,19326464000,0
199,1779387951111,55990.60285949707,18300,0,0.7875,552793.9383239746,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,20.585594177246094,6.200126647949219,0,2.1983489990234375,0,0,54.675479888916016,54.848175048828125,9.153160095214844,7.508277893066406,6.91827392578125,4.7839813232421875,14.816505432128906,11.67669677734375,50.3456916809082,41.37911605834961,46.36781311035156,38.48707962036133,5.051643371582031,6.270538330078125,33413771264,23622320128,19339235328,0
199,1779387951311,55991.1173248291,18300,0,0.79375,552796.8848876953,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,36.2089729309082,31.259735107421875,0.18064117431640625,2.77471923828125,0.1894378662109375,0.21392059326171875,10.042633056640625,9.196136474609375,0.24500274658203125,0.2172698974609375,0.2116241455078125,0.211273193359375,59.868736267089844,47.31133270263672,82.70703125,63.08134460449219,65.44300842285156,61.91358184814453,57.92742919921875,51.3386116027832,33413771264,23622320128,19373891584,0
199,1779387951511,33092.587142944336,18300,0,0.8,552799.6577453613,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,14.647705078125,13.451614379882813,0.0971527099609375,2.053558349609375,0.096954345703125,0.09665679931640625,44.16830062866211,45.687679290771484,0.096405029296875,0.09630584716796875,0.10669708251953125,0.09610748291015625,32.0948486328125,23.037925720214844,62.72576904296875,57.810630798339844,72.59745025634766,52.18098831176758,62.361270904541016,62.620121002197266,33413771264,23622320128,19450699776,0
200,1779387951712,55992.009704589844,18300,0,0.7875,552802.5782318115,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,45.216285705566406,21.36235809326172,0.1233673095703125,2.1261672973632813,0.12331390380859375,0.13190460205078125,31.6666259765625,26.053489685058594,4.4339599609375,3.24908447265625,0.123016357421875,0.12291717529296875,42.14967346191406,25.362869262695313,71.76667785644531,49.052310943603516,56.970890045166016,48.061649322509766,57.73940658569336,53.88494110107422,33413771264,23622320128,19428118528,0
199,1779387951912,55992.50149536133,18300,0,0.7875,552805.3290405273,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.20774078369140625,0.2489776611328125,0.178131103515625,1.9650039672851563,0.1780853271484375,0.1780853271484375,31.455368041992188,32.644630432128906,7.552970886230469,10.52276611328125,0.17194366455078125,0.171844482421875,27.2032470703125,19.849777221679688,79.83549499511719,31.89116668701172,51.82521057128906,48.91582489013672,43.654869079589844,44.836795806884766,33413771264,23622320128,19436552192,0
199,1779387952113,56637.43846130371,18300,0,0.79375,552808.1829376221,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,21.422317504882813,22.041969299316406,18.92340087890625,17.37389373779297,0,0,29.224166870117188,20.018630981445313,9.54376220703125,8.703727722167969,0,0,30.31585693359375,27.403160095214844,54.70687484741211,60.439308166503906,56.131256103515625,51.13148498535156,28.853622436523438,21.88292694091797,33413771264,23622320128,19440709632,0
200,1779387952312,55993.4753112793,18300,0,0.7875,552811.3552398682,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,34.67340850830078,32.68634796142578,4.2514801025390625,10.922378540039063,0.14536285400390625,0.145416259765625,10.979232788085938,14.096206665039063,14.396682739257813,15.764556884765625,32.40338897705078,28.463294982910156,40.02964782714844,29.82294464111328,73.55936431884766,56.56981658935547,62.78315734863281,62.73640441894531,59.99958419799805,42.690982818603516,33413771264,23622320128,19490209792,0
200,1779387952513,56638.317153930664,18300,0,0.7875,552814.4959869385,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,37.05119705200195,34.93321228027344,0,0,40.268062591552734,42.29734420776367,51.99982833862305,35.46410369873047,0,0,51.42872619628906,15.044395446777344,65.85990905761719,43.16778564453125,50.943119049072266,44.05461883544922,36.191890716552734,39.86518096923828,33413771264,23622320128,19494600704,0
199,1779387952713,31923.233123779297,18300,0,0.79375,552817.8336639404,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,34.49144744873047,20.161270141601563,35.77851867675781,41.20912170410156,1.5669937133789063,1.9158096313476563,30.059097290039063,22.12512969970703,8.053932189941406,9.761093139648438,10.036094665527344,8.401603698730469,41.5720100402832,32.616127014160156,82.40193176269531,47.4056396484375,64.21575927734375,62.854923248291016,72.0647201538086,59.053245544433594,33413771264,23622320128,19503198208,0
200,1779387952913,55994.80358886719,18300,2,0.79375,552820.6794128418,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,17.847312927246094,19.6329345703125,0.05860137939453125,2.278411865234375,32.31562042236328,23.489410400390625,29.703453063964844,34.08025360107422,8.963302612304688,10.598770141601563,6.375946044921875,10.964462280273438,12.140426635742188,25.61742401123047,49.216365814208984,31.615524291992188,39.60172653198242,61.982364654541016,19.902305603027344,14.380325317382813,33413771264,23622320128,19512709120,0
200,1779387953114,15938.966186523438,42800,0,0.85,552822.3051452637,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,1.0754241943359375,0,0,33.60679626464844,32.30035400390625,2.3017196655273438,2.3026199340820313,0,0,0,0,5.115867614746094,6.547126770019531,58.96851348876953,29.692916870117188,0,0,33413771264,23622320128,19512295424,0
199,1779387953314,56639.74153137207,28800,0,0.83125,552823.6975250244,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.0237884521484375,0.02333831787109375,0.028076171875,0.03725433349609375,0.02777862548828125,0.0277252197265625,43.866363525390625,42.02174377441406,7.979133605957031,5.8594207763671875,0.02199554443359375,0.021942138671875,0.023193359375,0.023040771484375,2.1767578125,2.2779998779296875,19.17906951904297,22.350006103515625,0.0282745361328125,0.04299163818359375,33413771264,23622320128,19512225792,0
199,1779387953514,56639.84588623047,47600,0,0.8,552825.1324615479,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.17504119873046875,0.1103515625,0.13253021240234375,0.10974884033203125,0.13512420654296875,0.1096954345703125,39.34538269042969,51.91386413574219,14.237144470214844,11.648124694824219,0.13637542724609375,0.1061553955078125,0.12957763671875,0.11014556884765625,0.18088531494140625,0.12418365478515625,14.711555480957031,17.470664978027344,0.12892913818359375,0.10990142822265625,33413771264,23622320128,19512221696,0
200,1779387953714,56640.019958496094,18300,0,0.7875,552826.6656799316,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,47.91291046142578,49.771610260009766,10.945281982421875,11.2161865234375,0,0,0,0,8.115737915039063,9.656494140625,25.112396240234375,32.315032958984375,0,0,33413771264,23622320128,19511074816,0
199,1779387953915,55995.02738952637,18300,0,0.63125,552828.4422912598,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,61.55000305175781,64.35535430908203,14.498802185058594,12.159996032714844,0,0,0,0,21.324234008789063,14.520401000976563,26.623001098632813,52.90420150756836,0,0,33413771264,23622320128,19508002816,0
199,1779387954115,56640.81532287598,18300,0,0.6,552831.6372833252,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,17.32470703125,4.9924163818359375,0,0,0,0,65.57669830322266,62.66929244995117,0,0,0,0,42.54792404174805,32.43086242675781,68.41939544677734,46.25533676147461,71.17192840576172,43.87981414794922,10.725700378417969,8.79400634765625,33413771264,23622320128,19510734848,0
200,1779387954315,24048.716354370117,6200,0,0.7625,552835.1412506104,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,43.232574462890625,43.40669250488281,0,0,0,0,9.487205505371094,2.8557586669921875,0.01892852783203125,0.00140380859375,0.45084381103515625,0.5939178466796875,66.43571472167969,50.04609680175781,74.10635375976563,71.87300872802734,73.84315490722656,72.19219970703125,35.39091491699219,36.803340911865234,33413771264,23622320128,19542417408,0
