Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779376069623,23348.899475097656,18300,0,0.79375,301502.8258972168,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,46.06569290161133,64.60995483398438,15.106307983398438,37.31843566894531,0,0,0,0,0,0,51.455204010009766,49.168582916259766,0,0,33413771264,23622320128,15949799424,0
200,1779376069623,7651.394607543945,42800,0,0.8,301502.834274292,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33413771264,23622320128,15949824000,0
199,1779376069823,23349.2423248291,18300,0,0.7875,301505.0476074219,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.16941070556640625,0.3948974609375,0,0,0,0.0073089599609375,38.47066879272461,47.10517120361328,34.201629638671875,34.15131378173828,0,0,12.2305908203125,9.791915893554688,33.221290588378906,37.55656433105469,43.72109603881836,55.412960052490234,11.996742248535156,10.981513977050781,33413771264,23622320128,15974080512,0
200,1779376070024,9595.21792602539,42800,0,0.80625,301507.07789611816,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1.5468521118164063,1.9677810668945313,0.3135833740234375,0.249420166015625,0.30197906494140625,0.24907684326171875,36.585243225097656,40.61097717285156,25.65721893310547,25.63201141357422,1.6809539794921875,1.340118408203125,3.2648162841796875,4.41259765625,19.2493896484375,51.65691375732422,23.087425231933594,38.445579528808594,16.62364959716797,14.987686157226563,33413771264,23622320128,15983452160,0
200,1779376070224,22996.42889404297,18300,0,0.80625,301509.698928833,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,7.180473327636719,10.499221801757813,0,0,0,0,55.91664505004883,61.883697509765625,29.39611053466797,23.833786010742188,20.45953369140625,18.59930419921875,22.074325561523438,21.562759399414063,43.662269592285156,39.96323776245117,57.950809478759766,40.419498443603516,3.926513671875,4.990745544433594,33413771264,23622320128,15989313536,0
199,1779376070424,22996.67527770996,18300,0,0.7875,301511.88188171387,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3.6885528564453125,3.5145339965820313,0.3130035400390625,0.33838653564453125,0.27626800537109375,0.276214599609375,49.954925537109375,73.84764099121094,57.351104736328125,48.32789993286133,10.130851745605469,10.04498291015625,5.167442321777344,3.114471435546875,25.81720733642578,43.479034423828125,29.799949645996094,40.8267936706543,0.27651214599609375,0.3143463134765625,33413771264,23622320128,15986880512,0
199,1779376070624,22997.02586364746,18300,0,0.79375,301514.3238220215,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,8.317787170410156,6.116523742675781,0,0,0,0,47.18130874633789,55.36127853393555,35.8076171875,38.094974517822266,0,0,12.060005187988281,12.66473388671875,35.00739288330078,57.34935760498047,36.49823760986328,52.99769973754883,0,0,33413771264,23622320128,15996002304,0
200,1779376070824,22997.34523010254,18300,0,0.7875,301516.6758117676,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,6.124107360839844,5.524505615234375,0.172515869140625,0.17226409912109375,0.17211151123046875,0.17206573486328125,49.24954605102539,50.35395050048828,0.19875335693359375,0.18386077880859375,0.1798095703125,0.18700408935546875,6.704322814941406,11.509483337402344,34.063934326171875,48.36713409423828,40.922481536865234,47.70736312866211,23.474594116210938,25.995094299316406,33413771264,23622320128,16024219648,0
200,1779376071025,7652.582504272461,42800,0,0.8,301519.0202178955,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1.2594757080078125,1.0300064086914063,0,0,0,0,45.604427337646484,46.33500671386719,6.008949279785156,5.6794891357421875,0,0,11.756217956542969,11.697441101074219,64.43415832519531,63.46904373168945,64.44087219238281,64.02275085449219,1.5567703247070313,3.3256149291992188,33413771264,23622320128,16065802240,0
199,1779376071225,9503.528060913086,18300,0,0.79375,301522.1845703125,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,65.24268341064453,59.44436264038086,54.94074249267578,57.2661018371582,27.211410522460938,33.262901306152344,79.73592376708984,75.75128173828125,2.1778564453125,2.1558074951171875,2.1675872802734375,2.1558609008789063,65.14125061035156,63.28628158569336,67.99278259277344,74.43604278564453,65.26780700683594,70.77721405029297,2.315948486328125,2.126708984375,33413771264,23622320128,16072790016,0
200,1779376071425,23351.995971679688,18300,0,0.7875,301524.7445831299,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,5.879158020019531,0.8585739135742188,4.876609802246094,4.3762054443359375,18.9730224609375,5.566734313964844,37.084224700927734,39.31035614013672,28.303192138671875,22.069908142089844,1.5188827514648438,0.6576156616210938,5.863426208496094,10.717514038085938,40.092918395996094,60.3647346496582,35.025543212890625,64.19035339355469,3.2438125610351563,1.1335906982421875,33413771264,23622320128,16072695808,0
199,1779376071626,9503.675537109375,18300,0,0.79375,301527.6861419678,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,17.473960876464844,17.31647491455078,0.01946258544921875,0.01985931396484375,0.019561767578125,0.0194091796875,44.07770538330078,38.901241302490234,0.05454254150390625,0.02490234375,0.02449798583984375,0.0245513916015625,46.83612823486328,46.83198547363281,58.52297592163086,56.686241149902344,41.365692138671875,68.53467559814453,48.946624755859375,53.99733352661133,33413771264,23622320128,16068800512,0
