Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779563805059,19813.941345214844,5300,0,0.7125,4041.444595336914,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3.2421417236328125,3.2331161499023438,2.9038314819335938,2.9004440307617188,2.898193359375,2.89593505859375,2.894805908203125,2.8925552368164063,2.8914260864257813,2.8891677856445313,2.8869171142578125,2.8835296630859375,3.229736328125,3.2252273559570313,57.53642654418945,64.39059448242188,2.9647293090820313,2.9590835571289063,78.43272399902344,77.45500183105469,33413771264,23622320128,23509471232,6449119232
200,1779563805059,19813.94496154785,5200,0,0.7125,4041.465850830078,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,99.24186706542969,0,0,100,86.09862518310547,33413771264,23622320128,23509561344,6449119232
200,1779563805259,68520.84262084961,18300,0,0.78125,4044.2928771972656,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,38.01359176635742,41.92658233642578,0,0,0,0,0,0,0,0,0,0,31.064483642578125,35.19603729248047,58.33837127685547,62.81589126586914,56.497413635253906,53.927852630615234,49.094058990478516,50.57979202270508,33413771264,23622320128,23544729600,6478024704
199,1779563805460,68568.4990234375,18300,0,0.76875,4048.578094482422,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,67.50895690917969,67.76118469238281,63.67201232910156,69.98124694824219,29.342926025390625,29.29145050048828,8.863777160644531,9.449531555175781,0.0234527587890625,0.0062713623046875,0.00751495361328125,0.00727081298828125,71.49162292480469,75.89291381835938,71.66200256347656,80.72702026367188,72.83680725097656,78.13662719726563,80.08076477050781,82.50102996826172,33413771264,23622320128,23626915840,6617890816
199,1779563805660,68568.99095153809,18300,0,0.69375,4052.7144775390625,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,56.342098236083984,42.138423919677734,41.65895080566406,45.390560150146484,51.695167541503906,60.00153732299805,43.49226760864258,39.99620056152344,25.926605224609375,21.916244506835938,0,0,53.294898986816406,39.380340576171875,66.81486511230469,58.31385803222656,65.95507049560547,50.797481536865234,57.975399017333984,55.5798454284668,33413771264,23622320128,23653224448,6641479680
200,1779563805860,68569.33918762207,18300,0,0.64375,4055.8484649658203,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,31.658775329589844,36.760494232177734,25.78803253173828,18.140625,0,0,0,0,0,0,0,0,35.25334167480469,28.617660522460938,42.60417938232422,37.98622131347656,51.73883056640625,40.64981460571289,74.44296264648438,74.10089111328125,33413771264,23622320128,23663620096,6654119936
199,1779563806061,26518.66586303711,18300,0,0.7125,4058.324234008789,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,14.552902221679688,12.509857177734375,18.36803436279297,17.586288452148438,0.23941802978515625,0.250823974609375,0.2392730712890625,0.23917388916015625,0.23907470703125,0.23897552490234375,0.2388763427734375,0.2387237548828125,0.27910614013671875,0.2464447021484375,42.796226501464844,39.34246063232422,47.05176544189453,41.761512756347656,34.4925537109375,32.59776306152344,33413771264,23622320128,23673884672,6656524288
200,1779563806261,19815.543411254883,7400,0,0.69375,4061.261428833008,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,33.048973083496094,39.519004821777344,15.284942626953125,11.158737182617188,0,0,0,0,0,0,0,0,19.606056213378906,24.69475555419922,48.76045227050781,52.63349533081055,50.89499282836914,51.07923889160156,45.32876968383789,42.640037536621094,33413771264,23622320128,23699333120,6685474816
199,1779563806461,26519.191452026367,18300,0,0.78125,4063.856719970703,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,30.000213623046875,29.10497283935547,11.108856201171875,11.697044372558594,8.827560424804688,5.9499053955078125,0.074005126953125,0.07405853271484375,0.0742034912109375,0.074310302734375,0.07440948486328125,0.07445526123046875,17.043869018554688,13.01104736328125,45.795101165771484,48.46809005737305,40.660118103027344,54.1268310546875,32.070770263671875,31.615005493164063,33413771264,23622320128,23723683840,6700703744
200,1779563806661,26519.321090698242,18300,0,0.7375,4066.5299377441406,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,19.363555908203125,14.508522033691406,28.87810516357422,21.87445831298828,13.168830871582031,14.146385192871094,7.616554260253906,10.577590942382813,3.696380615234375,2.5886383056640625,0,0,6.806083679199219,6.63018798828125,38.42033004760742,44.050392150878906,44.4261474609375,45.02008819580078,33.11872100830078,38.96666717529297,33413771264,23622320128,23756906496,6736842752
199,1779563806862,26519.599838256836,18300,0,0.5249999999999999,4069.4442443847656,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,27.82653045654297,38.74562454223633,25.70166015625,23.404190063476563,0.770233154296875,0.777099609375,0.35134124755859375,0.35129547119140625,0.35118865966796875,0.35118865966796875,0.3679046630859375,0.3510894775390625,2.3958663940429688,3.64215087890625,40.39060974121094,52.16943359375,59.337589263916016,40.82726287841797,55.26236343383789,57.621620178222656,33413771264,23622320128,23757119488,6741577728
199,1779563807062,68571.67445373535,18300,0,0.775,4072.8250122070313,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,47.04676055908203,44.46596908569336,13.897819519042969,7.8672332763671875,0.17365264892578125,0.1735992431640625,0.178497314453125,0.1735992431640625,0.19542694091796875,0.17350006103515625,0.17345428466796875,0.17340087890625,48.242889404296875,33.10394287109375,52.66267395019531,54.03654861450195,58.75079345703125,56.35289001464844,58.2597541809082,51.67295837402344,33413771264,23622320128,23759343616,6744727552
199,1779563807262,68572.09223937988,18300,0,0.74375,4075.673370361328,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,21.434349060058594,26.04869842529297,12.571205139160156,10.613227844238281,10.191574096679688,8.6409912109375,0,0,0,0,0,0,27.71600341796875,25.363014221191406,57.577545166015625,44.64927291870117,55.90744400024414,41.82744598388672,49.20718765258789,47.213714599609375,33413771264,23622320128,23769927680,6748295168
200,1779563807462,68525.74703979492,18300,0,0.775,4079.7255249023438,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,60.12467575073242,54.57051086425781,39.01262664794922,36.81395721435547,5.058357238769531,13.5167236328125,0.21782684326171875,0.21782684326171875,0.25140380859375,0.217926025390625,0.2179718017578125,0.217926025390625,70.43002319335938,46.73907470703125,84.2947998046875,68.88842010498047,88.92959594726563,65.26493835449219,54.83320999145508,48.49050521850586,33413771264,23622320128,23779446784,6760816640
199,1779563807663,19817.229293823242,8100,0,0.66875,4083.007781982422,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,22.60285186767578,23.720252990722656,21.301513671875,26.672096252441406,34.26915740966797,28.74517059326172,20.237403869628906,17.473289489746094,9.479759216308594,10.132720947265625,0.0350799560546875,0.03498077392578125,16.235519409179688,13.180229187011719,56.384368896484375,36.2067985534668,50.97056579589844,36.2375373840332,34.529693603515625,36.438194274902344,33413771264,23622320128,23822876672,6807158784
199,1779563807863,27671.722427368164,18300,0,0.59375,4086.7888946533203,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,40.146785736083984,37.7852668762207,18.67926025390625,13.481620788574219,0.48244476318359375,2.708740234375,1.1810836791992188,1.3959884643554688,0.5737686157226563,1.072357177734375,0.2191009521484375,0.20550537109375,33.56361389160156,28.9049072265625,67.84587097167969,43.723384857177734,56.483970642089844,55.73188781738281,61.2342529296875,59.42350769042969,33413771264,23622320128,23827386368,6811353088
199,1779563808063,19818.066467285156,14700,0,0.5375000000000001,4091.2620544433594,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,55.545631408691406,47.515533447265625,19.83539581298828,21.126808166503906,0,0,0,0,0,0,0,0,49.98447799682617,47.22684860229492,63.38666915893555,77.94485473632813,72.52661895751953,68.75871276855469,77.68536376953125,65.40031433105469,33413771264,23622320128,23803346944,6757285888
