Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779468522222,39697.973388671875,18300,0,0.775,362189.6046447754,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3.0777435302734375,3.0846710205078125,0,0,71.92448425292969,69.5044174194336,0,0,0,0,0,0,0,0,77.98107147216797,87.14210510253906,86.50421142578125,80.92727661132813,0,0,33413771264,23622320128,27526942720,17813938176
199,1779468522223,8144.549850463867,18300,0,0.78125,362189.64767456055,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,99.44972229003906,96.57058715820313,6.2201080322265625,6.21356201171875,6.2102813720703125,6.2102813720703125,6.207008361816406,6.2037353515625,6.2037353515625,6.190635681152344,6.18408203125,6.18408203125,4.952507019042969,4.952507019042969,100,100,100,100,12.414016723632813,6.216835021972656,33413771264,23622320128,27526963200,17813807104
200,1779468522422,39855.65913391113,18300,0,0.78125,362192.5616607666,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,57.491973876953125,43.292991638183594,0,0,0,0,0,0,0,0,0,0,30.017227172851563,22.729568481445313,66.77192687988281,63.590484619140625,61.1536750793457,66.18769836425781,40.6191520690918,45.33104705810547,33413771264,23622320128,27571666944,18458230784
200,1779468522622,8145.264785766602,18300,0,0.78125,362195.64848327637,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.229469299316406,35.34971618652344,40.642974853515625,44.047584533691406,0.5190582275390625,0.5201568603515625,0.14183807373046875,0.14154052734375,0.16001129150390625,0.1413421630859375,0.14945220947265625,0.1506500244140625,55.31561279296875,40.17409896850586,59.796627044677734,49.55049133300781,51.905826568603516,60.26694869995117,48.32821273803711,48.52894592285156,33413771264,23622320128,27599052800,18507976704
200,1779468522823,7825.40234375,42800,0,0.78125,362199.3087463379,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,57.4005012512207,57.19648742675781,48.233604431152344,52.49323654174805,52.04471206665039,59.71632385253906,8.657516479492188,10.238006591796875,0.6292877197265625,1.4479751586914063,28.317977905273438,28.375579833984375,52.46678161621094,61.3458137512207,73.5399169921875,64.12211608886719,66.67375183105469,69.5239028930664,54.42768859863281,53.95346450805664,33413771264,23622320128,27646488576,19174936576
200,1779468523023,39699.77590942383,18300,0,0.78125,362202.80545043945,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,42.35383605957031,50.903202056884766,41.90012741088867,28.191368103027344,40.160423278808594,15.315544128417969,10.510757446289063,6.79388427734375,11.616249084472656,15.079872131347656,11.156150817871094,4.071067810058594,5.622039794921875,7.060508728027344,52.67601013183594,68.72557067871094,71.90779113769531,49.33730697631836,45.33549118041992,28.63489532470703,33413771264,23622320128,27675643904,19194761216
200,1779468523223,8146.426651000977,18300,0,0.78125,362206.28341674805,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,51.41304016113281,44.3689079284668,17.45758819580078,16.086036682128906,0.404296875,0.404296875,13.478225708007813,9.559226989746094,0.4226226806640625,0.404296875,0.47479248046875,0.44049072265625,60.009803771972656,50.80474853515625,64.74014282226563,69.35295867919922,67.09512329101563,68.81660461425781,54.17032241821289,58.56401443481445,33413771264,23622320128,27705602048,19202600960
199,1779468523424,8694.830932617188,18300,0,0.78125,362209.80728149414,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,55.804229736328125,44.89509582519531,24.937110900878906,20.373519897460938,0,0,74.67508697509766,69.54285430908203,0,0,0,0,56.75932312011719,45.47434616088867,66.25718688964844,60.93631362915039,66.42607116699219,58.79648971557617,67.14936828613281,66.304443359375,33413771264,23622320128,27719610368,19206361088
200,1779468523624,39858.43290710449,18300,0,0.78125,362212.8754425049,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,38.493350982666016,34.969200134277344,34.599037170410156,25.432212829589844,7.503814697265625,5.514030456542969,26.667747497558594,28.03862762451172,0,0,0,0,29.65428924560547,28.12628173828125,46.988372802734375,46.74635314941406,45.460662841796875,46.20915222167969,42.42986297607422,36.167293548583984,33413771264,23622320128,27716218880,19203739648
199,1779468523825,39858.87254333496,18300,0,0.78125,362216.46337890625,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.12623596191406,57.958560943603516,44.49079513549805,54.49113082885742,44.76191711425781,48.4222526550293,8.937202453613281,8.673126220703125,0,0,0,0,49.110286712646484,40.93484115600586,55.934417724609375,73.39750671386719,62.24386215209961,67.1962890625,50.83665084838867,54.91404342651367,33413771264,23622320128,27755126784,19315855360
