Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779468529071,7826.8250732421875,42800,0,0.775,362293.50886535645,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3.9001541137695313,3.90087890625,3.0245513916015625,3.0238265991210938,87.63327026367188,69.28312683105469,1.802459716796875,1.80029296875,1.7995681762695313,1.983642578125,1.917236328125,1.7966842651367188,3.90087890625,3.90087890625,83.46820068359375,88.79689025878906,3.0252685546875,3.0245513916015625,3.1660308837890625,3.0259933471679688,33413771264,23622320128,27541389312,17834491904
199,1779468529071,39712.39942932129,18300,0,0.7875,362293.54231262207,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3.4961090087890625,3.5149383544921875,3.5965347290039063,3.5902557373046875,99.11812591552734,98.04481506347656,3.5118026733398438,3.505523681640625,3.505523681640625,3.4992446899414063,3.4929733276367188,3.4898300170898438,3.5180740356445313,3.52435302734375,99.00828552246094,100,26.826515197753906,26.83592987060547,3.5871200561523438,3.5902557373046875,33413771264,23622320128,27541413888,17834491904
199,1779468529272,8155.775177001953,18300,0,0.78125,362296.0990905762,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,28.096817016601563,22.319541931152344,0.08570098876953125,0.091949462890625,61.66632843017578,48.29862976074219,0.0961456298828125,0.09624481201171875,0.0961456298828125,0.0961456298828125,0.10498809814453125,0.0962982177734375,0.0709075927734375,0.079254150390625,72.8899154663086,65.94915771484375,73.02574157714844,63.021949768066406,0.095794677734375,0.0856475830078125,33413771264,23622320128,27578425344,18478571520
200,1779468529472,39871.02185058594,18300,0,0.78125,362298.9351501465,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,54.79009246826172,38.650535583496094,0.22037506103515625,0.22017669677734375,53.86772155761719,39.02827072143555,0.22727203369140625,0.21807098388671875,0.2291717529296875,0.21782684326171875,0.21767425537109375,0.21747589111328125,0.2312164306640625,0.22161865234375,63.44355773925781,54.89677810668945,63.44355773925781,57.7480354309082,27.521400451660156,19.993980407714844,33413771264,23622320128,27596177408,18492477440
199,1779468529672,39871.459075927734,18300,0,0.78125,362301.5908508301,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,62.875511169433594,35.20863342285156,0.1100311279296875,0.10988616943359375,10.971595764160156,4.218650817871094,0.11565399169921875,0.11560821533203125,0.11545562744140625,0.1153106689453125,0.12451171875,0.1151123046875,0.15004730224609375,0.12889862060546875,66.27430725097656,49.076881408691406,55.761505126953125,52.74760437011719,52.40715026855469,40.2161750793457,33413771264,23622320128,27620839424,19131760640
199,1779468529872,8156.988235473633,18300,0,0.78125,362304.5660247803,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,60.04588317871094,57.80622482299805,7.8843994140625,9.841812133789063,0,0,4.170082092285156,5.705986022949219,0,0,0,0,12.780914306640625,12.674995422363281,72.31409454345703,70.1234130859375,74.52114868164063,71.5442886352539,58.33264923095703,49.50422286987305,33413771264,23622320128,27652829184,19148034048
200,1779468530072,8157.407516479492,18300,0,0.78125,362308.2248840332,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,48.646507263183594,58.605342864990234,28.837631225585938,18.868927001953125,0.208831787109375,0.2533416748046875,44.94519805908203,46.12980651855469,0.252838134765625,0.2264251708984375,0.6336212158203125,0.25144195556640625,55.679603576660156,53.84846115112305,69.45527648925781,66.4613037109375,73.41022491455078,64.08988952636719,49.48562240600586,41.2231559753418,33413771264,23622320128,27672760320,19156307968
200,1779468530273,11259.112609863281,42800,0,0.78125,362311.6072540283,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,47.146156311035156,39.69076156616211,39.07463836669922,23.637908935546875,0.20311737060546875,0.14865875244140625,35.22087860107422,20.78772735595703,0.15096282958984375,0.11052703857421875,0.1438446044921875,0.1190948486328125,54.29512023925781,27.832122802734375,61.75983428955078,57.095603942871094,61.96926498413086,45.040809631347656,46.748836517333984,22.185462951660156,33413771264,23622320128,27691081728,19165790208
199,1779468530473,7827.369720458984,42800,0,0.5125,362314.81564331055,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,4.421577453613281,0.922210693359375,24.601600646972656,12.617034912109375,35.346710205078125,11.382728576660156,22.974899291992188,23.08124542236328,0.112884521484375,0.1529541015625,0.10524749755859375,0.10544586181640625,7.762199401855469,2.6823959350585938,53.564788818359375,51.69770812988281,75.42021179199219,49.211978912353516,52.69357681274414,18.4407958984375,33413771264,23622320128,27690250240,19166253056
200,1779468530673,39716.512298583984,18300,0,0.775,362319.34690856934,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,49.21527862548828,47.21866226196289,0.04006195068359375,0,6.439903259277344,20.28717803955078,1.1255416870117188,2.4403610229492188,0,0,0,0,43.599876403808594,39.82035827636719,70.95708465576172,69.60415649414063,68.61827087402344,63.02394485473633,28.723602294921875,27.201278686523438,33413771264,23622320128,27690967040,19164037120
