Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779468542575,7243.353530883789,42800,0,0.78125,362502.01400756836,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,82.33134460449219,87.85328674316406,70.45451354980469,87.57174682617188,0,0,0,0,0,0,75.0758285522461,76.79930114746094,0,0,33413771264,23622320128,27569184768,17868771328
200,1779468542575,39905.09945678711,18300,0,0.78125,362502.0802307129,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3.0217742919921875,3.0128631591796875,3.5349044799804688,3.53668212890625,3.5384674072265625,3.5384674072265625,95.54395294189453,97.15105438232422,3.4119644165039063,3.4084014892578125,3.6863479614257813,3.401275634765625,97.89936828613281,90.54983520507813,96.67890167236328,99.22673797607422,94.71546173095703,98.88643646240234,3.5295562744140625,3.531341552734375,33413771264,23622320128,27568713728,17869357056
199,1779468542777,11263.551513671875,42800,0,0.78125,362505.8705444336,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,82.83003234863281,80.77539825439453,0.14093780517578125,0.14034271240234375,21.043434143066406,20.79798126220703,3.9278106689453125,4.294952392578125,40.3975944519043,41.46007537841797,0.1371307373046875,0.1271820068359375,86.68035125732422,80.52603149414063,92.52933502197266,88.75518035888672,92.918701171875,86.986572265625,69.2894287109375,68.89665222167969,33413771264,23622320128,27654316032,18579001344
200,1779468542977,39906.05876159668,18300,0,0.775,362508.9491882324,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,16.475257873535156,27.19744873046875,12.958259582519531,23.170616149902344,11.685173034667969,25.383033752441406,3.8231277465820313,7.258827209472656,13.059532165527344,23.25433349609375,0.084320068359375,0.086883544921875,30.897476196289063,48.51818084716797,66.37754821777344,38.75553894042969,53.18259048461914,54.331661224365234,20.374099731445313,40.30653762817383,33413771264,23622320128,27686699008,19228327936
200,1779468543177,39906.51573181152,18300,0,0.78125,362511.6334838867,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,12.107994079589844,12.191680908203125,0,0,0,0,0,0,0,0,0,0,43.82221984863281,48.94607162475586,67.13072204589844,53.3288688659668,51.72475051879883,62.161293029785156,37.34196853637695,37.46957778930664,33413771264,23622320128,27698819072,19228139520
200,1779468543377,11263.924194335938,42800,0,0.78125,362514.6573486328,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,49.01652526855469,38.33150863647461,0,0,0,0,0,0,0,0,0,0,54.14324951171875,40.91391372680664,58.53202819824219,55.864219665527344,59.313297271728516,65.27435302734375,33.36890411376953,24.76714324951172,33413771264,23622320128,27729195008,19246977024
200,1779468543578,8718.903182983398,18300,0,0.775,362518.09423828125,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,42.76520919799805,41.724422454833984,40.8481559753418,26.187522888183594,0.16497039794921875,0.1720428466796875,0.16481781005859375,0.16512298583984375,0.16522216796875,0.16532135009765625,0.1793670654296875,0.16547393798828125,54.790122985839844,39.09542465209961,68.76890563964844,56.822288513183594,67.25442504882813,58.26047897338867,51.40388107299805,32.298614501953125,33413771264,23622320128,27756408832,19255369728
199,1779468543778,8171.26741027832,18300,0,0.78125,362521.8321990967,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,52.547306060791016,62.465511322021484,64.57313537597656,72.98200988769531,5.8221893310546875,7.497581481933594,26.333961486816406,30.36498260498047,0.08480072021484375,0.06035614013671875,0.0695343017578125,0.0782623291015625,67.71480560302734,58.5411376953125,68.7216796875,71.23478698730469,71.09831237792969,72.91207122802734,67.82255554199219,63.00947570800781,33413771264,23622320128,27792338944,19365470208
199,1779468543979,39908.481185913086,18300,0,0.78125,362526.10076904297,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,53.53563690185547,58.09798812866211,65.56774139404297,60.0166015625,65.30592346191406,60.01539993286133,57.539161682128906,59.50353240966797,0.26256561279296875,0.25365447998046875,25.325279235839844,32.53797149658203,62.367733001708984,54.014366149902344,68.38543701171875,70.94828033447266,68.23104858398438,77.5486831665039,66.4168701171875,63.4975471496582,33413771264,23622320128,27794096128,19271315456
200,1779468544179,7979.310012817383,42800,0,0.78125,362529.65783691406,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,30.089515686035156,40.6485481262207,14.088172912597656,16.27362823486328,19.896148681640625,20.2347412109375,35.10700988769531,38.456748962402344,0.42996978759765625,0.4645233154296875,38.4126091003418,45.5475959777832,51.49393844604492,37.90873718261719,57.709964752197266,55.37066650390625,53.54667282104492,60.67007827758789,42.882286071777344,31.450286865234375,33413771264,23622320128,27799371776,19278864384
