Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779468549228,39763.291595458984,18300,0,0.78125,362610.1121673584,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1.887359619140625,1.8863601684570313,1.9691085815429688,1.9681167602539063,3.8016357421875,1.9631271362304688,67.72650146484375,31.110977172851563,46.15399932861328,33.65138244628906,79.51325988769531,93.75666809082031,1.8833694458007813,1.881378173828125,1.881378173828125,1.8793792724609375,65.52009582519531,45.05229187011719,2.1615371704101563,1.9711074829101563,33413771264,23622320128,27545772032,17826795520
199,1779468549228,7039.740936279297,42800,0,0.78125,362610.1362915039,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,15.780258178710938,15.745231628417969,15.324958801269531,15.304946899414063,15.850303649902344,15.269927978515625,100,95.59713745117188,59.63376235961914,61.56501770019531,96.58277893066406,25.976882934570313,15.72021484375,15.715217590332031,15.690200805664063,15.680191040039063,73.32766723632813,80.48231506347656,15.369987487792969,15.35498046875,33413771264,23622320128,27545788416,17826795520
199,1779468549429,39763.75651550293,18300,0,0.78125,362613.0123138428,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,19.776092529296875,17.053436279296875,0,0,1.777679443359375,0,62.169857025146484,49.992393493652344,30.401222229003906,29.496627807617188,0,0,30.999069213867188,25.512741088867188,68.74205780029297,53.107208251953125,67.24146270751953,66.55866241455078,9.133049011230469,8.346977233886719,33413771264,23622320128,27597557760,18475356160
200,1779468549629,7830.291931152344,42800,0,0.78125,362616.01959228516,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,33.633628845214844,33.227561950683594,0.082244873046875,0.0823974609375,19.325050354003906,14.438224792480469,29.70525360107422,32.3818359375,5.2652130126953125,5.865303039550781,8.90545654296875,7.687248229980469,36.40582275390625,32.77593994140625,60.777435302734375,49.79924392700195,49.548255920410156,56.58435821533203,37.71858215332031,36.896087646484375,33413771264,23622320128,27623284736,18493632512
199,1779468549829,39921.42948913574,18300,0,0.78125,362618.9093170166,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,32.367156982421875,23.607940673828125,0,0,19.074974060058594,17.49542999267578,0.8260498046875,0.20073699951171875,0.29828643798828125,1.2792129516601563,0.1618194580078125,0.33950042724609375,48.815738677978516,35.37535858154297,47.79988098144531,52.48069381713867,42.94258117675781,59.86463928222656,45.0839729309082,36.603084564208984,33413771264,23622320128,27653136384,19132547072
199,1779468550029,8180.420333862305,18300,0,0.78125,362622.00146484375,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,58.8569450378418,47.2960319519043,0.23993682861328125,0.23993682861328125,4.404441833496094,0.2911834716796875,0.27191925048828125,0.23993682861328125,0.2607574462890625,0.239990234375,0.30204010009765625,0.24008941650390625,59.07191467285156,49.21080017089844,62.636138916015625,70.63407897949219,54.91366958618164,68.49172973632813,2.1728744506835938,0.83245849609375,33413771264,23622320128,27673055232,19143995392
200,1779468550230,8180.872177124023,18300,0,0.78125,362625.6877441406,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,58.974212646484375,54.493927001953125,0,0,2.1888580322265625,0,0,0,8.240242004394531,6.768608093261719,0,0,60.5068244934082,62.155845642089844,75.87699127197266,67.19576263427734,73.63195037841797,79.36579895019531,50.213069915771484,60.47948455810547,33413771264,23622320128,27691814912,19152752640
200,1779468550430,7245.259201049805,42800,0,0.78125,362629.4154205322,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,68.04042053222656,39.892608642578125,0,0,2.6917724609375,0,0.02728271484375,0,53.763641357421875,43.142147064208984,0.01770782470703125,0,54.338157653808594,47.5967903137207,72.09613800048828,71.36759948730469,76.97046661376953,70.56192016601563,28.147056579589844,26.901229858398438,33413771264,23622320128,27724226560,19149946880
199,1779468550630,39923.587142944336,18300,0,0.78125,362632.5909729004,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,22.93640899658203,7.739158630371094,0.06293487548828125,0.072265625,2.0607986450195313,0.13480377197265625,24.521942138671875,41.707427978515625,24.14202880859375,11.115592956542969,2.182281494140625,5.348213195800781,23.59180450439453,8.004417419433594,51.67205810546875,56.249725341796875,69.73187255859375,36.632652282714844,13.446792602539063,13.416221618652344,33413771264,23622320128,27859800064,19157889024
200,1779468550831,8731.965866088867,18300,0,0.78125,362635.3067474365,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.36559295654296875,0.38347625732421875,0.35578155517578125,0.396331787109375,2.3081512451171875,0.37795257568359375,14.673240661621094,49.481048583984375,12.483352661132813,9.414970397949219,1.7730789184570313,7.3042449951171875,8.316192626953125,16.305747985839844,48.10713577270508,38.04032897949219,31.165695190429688,83.67074584960938,0.356781005859375,0.3565826416015625,33413771264,23622320128,27902849024,19155566592
200,1779468551031,39924.50505065918,18300,0,0.78125,362638.1478729248,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.06560516357421875,0.06510162353515625,0.0527191162109375,0.05267333984375,3.0608062744140625,0.05261993408203125,22.166717529296875,16.792984008789063,0.05696868896484375,0.067901611328125,0.04708099365234375,0.0469818115234375,47.604427337646484,22.498825073242188,52.334312438964844,48.423912048339844,40.400917053222656,73.96587371826172,0.068450927734375,0.05281829833984375,33413771264,23622320128,27953631232,19161047040
199,1779468551232,7245.822463989258,42800,0,0.7875,362640.7894744873,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,1.168304443359375,0,42.264739990234375,39.76167678833008,1.1291275024414063,1.330810546875,0,0,0,0,60.67920684814453,43.52289962768555,59.18504333496094,56.37028121948242,0,0,33413771264,23622320128,27953197056,19160838144
200,1779468551432,39769.37046813965,18300,0,0.78125,362643.33685302734,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,1.70574951171875,0,60.781890869140625,39.85482406616211,7.726203918457031,15.217185974121094,0,0,3.3181228637695313,5.9859771728515625,53.266319274902344,44.45632553100586,60.678733825683594,57.171714782714844,0,0,33413771264,23622320128,27984781312,19157266432
