Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779468556112,39937.482162475586,18300,0,0.775,362724.65855407715,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.70471954345703,78.05265045166016,83.18669891357422,99.58306884765625,0,0,33413771264,23622320128,27828920320,18069360640
200,1779468556112,39782.740783691406,18300,0,0.775,362724.67991638184,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,99.38904571533203,96.91506958007813,0,0,33413771264,23622320128,27828940800,18069360640
200,1779468556313,11271.729248046875,42800,0,0.78125,362728.04119873047,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,18.058937072753906,21.396507263183594,0,0,0,2.6038131713867188,4.44561767578125,5.1618194580078125,0,0,0,0,58.211265563964844,43.18122100830078,65.04655456542969,67.66104125976563,62.82052993774414,79.30317687988281,35.212379455566406,34.51548767089844,33413771264,23622320128,27879358464,18709475328
199,1779468556513,39783.78422546387,18300,0,0.78125,362731.7494659424,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,41.76824951171875,50.85377502441406,0.415924072265625,0.39844512939453125,0.41701507568359375,2.64007568359375,0.5167007446289063,0.39868927001953125,0.423736572265625,0.39884185791015625,0.4296112060546875,0.3989410400390625,60.5801887512207,42.061580657958984,52.63865661621094,64.23016357421875,62.7535514831543,54.49269485473633,50.58180618286133,45.93985366821289,33413771264,23622320128,27898527744,18724012032
199,1779468556714,8740.412902832031,18300,0,0.78125,362734.76695251465,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,45.101905822753906,49.87076187133789,0,0,0,3.12518310546875,0,0,0,0,0,0,67.756103515625,40.039615631103516,50.878482818603516,61.674373626708984,55.16093063354492,63.839263916015625,33.828819274902344,32.458351135253906,33413771264,23622320128,27916668928,19358617600
199,1779468556914,8740.809814453125,18300,0,0.78125,362737.7877960205,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,16.625930786132813,28.523155212402344,19.392173767089844,21.126571655273438,0,2.0682449340820313,0,0,0.0496063232421875,0,0.06292724609375,0,55.1041145324707,37.52743148803711,54.14881134033203,65.44735717773438,56.467811584472656,61.452083587646484,40.511085510253906,42.775123596191406,33413771264,23622320128,27946442752,19377938432
200,1779468557114,11272.424591064453,42800,0,0.78125,362741.3392486572,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,26.89501953125,39.47385025024414,15.609642028808594,19.195556640625,0.1750640869140625,2.1711807250976563,0.16677093505859375,0.16666412353515625,17.267776489257813,29.302406311035156,0.17076873779296875,0.16117095947265625,59.70185852050781,50.455936431884766,69.38109588623047,68.19036865234375,71.68910217285156,66.82054138183594,61.5174560546875,59.611026763916016,33413771264,23622320128,27978903552,19384332288
200,1779468557314,39785.69184875488,18300,0,0.78125,362744.6622619629,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,34.49078369140625,46.2829704284668,0.28079986572265625,0.2807464599609375,0.2967071533203125,3.038970947265625,0.2805023193359375,0.2805023193359375,35.73517608642578,59.29875946044922,0.290924072265625,0.2799530029296875,51.4095344543457,35.62055969238281,47.63071060180664,60.16579818725586,58.10752868652344,60.22240447998047,41.499549865722656,50.05341720581055,33413771264,23622320128,27989606400,19391987712
200,1779468557515,8742.10140991211,18300,0,0.78125,362747.8080291748,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1.5621490478515625,5.626670837402344,0,0,0,3.0378341674804688,0,0,32.008445739746094,49.89712142944336,0,0,65.99418640136719,21.2421875,56.655704498291016,42.247074127197266,53.047969818115234,51.137752532958984,34.97814178466797,69.43355560302734,33413771264,23622320128,27990290432,19395604480
199,1779468557715,39941.42106628418,18300,0,0.78125,362751.3430633545,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,14.0989990234375,22.080184936523438,0.09222412109375,0.09232330322265625,0.10077667236328125,3.2896728515625,0.13303375244140625,0.09462738037109375,53.32643127441406,58.019195556640625,0.10037994384765625,0.10037994384765625,57.928619384765625,49.413185119628906,59.457096099853516,73.24871063232422,66.46900939941406,66.900634765625,31.693321228027344,35.653785705566406,33413771264,23622320128,27987406848,19393515520
200,1779468557915,39941.936447143555,18300,0,0.78125,362754.5361022949,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,47.21294021606445,60.45868682861328,0.277008056640625,0.4923553466796875,0.32239532470703125,4.933074951171875,0.28644561767578125,0.29364013671875,0.28859710693359375,0.2932891845703125,0.33722686767578125,0.276611328125,56.4442253112793,51.266597747802734,61.56897735595703,66.76677703857422,53.989871978759766,72.95623016357422,0.27686309814453125,0.28939056396484375,33413771264,23622320128,27988983808,19393466368
200,1779468558116,39942.4719543457,18300,0,0.78125,362757.8013305664,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.39997863769531,59.9350700378418,0.1210174560546875,0.05643463134765625,0.04874420166015625,4.590827941894531,0.11267852783203125,0.04869842529296875,0.05678558349609375,0.12511444091796875,0.04854583740234375,0.04850006103515625,61.54813766479492,49.72635269165039,49.720211029052734,71.8659896850586,53.58149337768555,74.47465515136719,0.04889678955078125,0.19678497314453125,33413771264,23622320128,27993686016,19393548288
199,1779468558317,7249.243743896484,42800,0,0.78125,362760.51777648926,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,6.239036560058594,8.869308471679688,0,0,0,2.9087600708007813,3.6983871459960938,11.825706481933594,0,0,0,0,52.07828140258789,21.443801879882813,27.86779022216797,60.92677307128906,36.256370544433594,75.05339050292969,5.000724792480469,13.958908081054688,33413771264,23622320128,27995258880,19392237568
200,1779468558516,39943.301361083984,18300,0,0.78125,362763.11518859863,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2.7115554809570313,6.631294250488281,0.04856109619140625,0.04856109619140625,0.0487060546875,2.8708877563476563,23.596527099609375,40.7766227722168,11.774742126464844,22.086624145507813,0.0771331787109375,0.0663604736328125,14.906929016113281,10.848297119140625,42.633811950683594,58.72404098510742,48.41362380981445,67.38059997558594,0.04810333251953125,0.04845428466796875,33413771264,23622320128,27999784960,19394928640
199,1779468558718,11272.988403320313,42800,0,0.78125,362765.7241668701,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.0128021240234375,0,0,0,0,2.4510421752929688,26.499053955078125,57.116939544677734,16.844276428222656,38.14615249633789,0,0,10.007156372070313,9.389923095703125,40.709774017333984,74.32484436035156,41.258113861083984,71.55072021484375,5.3495025634765625,5.20953369140625,33413771264,23622320128,27993108480,19387809792
199,1779468558918,7249.777328491211,42800,0,0.78125,362769.5212249756,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,56.79558563232422,46.06218338012695,0.0511322021484375,0.0613555908203125,0.051239013671875,3.5895843505859375,55.77933883666992,55.90980911254883,12.067726135253906,11.718498229980469,0.0695648193359375,0.06044769287109375,54.23356246948242,52.02613067626953,74.95893096923828,68.63838958740234,78.27531433105469,64.78561401367188,1.2651138305664063,1.55303955078125,33413771264,23622320128,28002332672,19391516672
