Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779468562978,8750.50505065918,18300,0,0.78125,362829.0939941406,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,14.359161376953125,43.098854064941406,12.706153869628906,9.550987243652344,20.298675537109375,5.7195281982421875,59.36871337890625,90.44775390625,0,0,0,0,56.104183197021484,9.395111083984375,51.28972244262695,26.12127685546875,69.48536682128906,14.036102294921875,5.124946594238281,17.28429412841797,33413771264,23622320128,27709984768,18081038336
200,1779468562978,39799.83283996582,18300,0,0.5125,362829.13662719727,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,54.689842224121094,28.08452606201172,0,59.64553451538086,83.16291809082031,49.83639907836914,93.81050109863281,24.669395446777344,0,0,0,0,40.9952278137207,31.513290405273438,69.11383819580078,69.37287139892578,51.090660095214844,82.01091003417969,0,64.61486053466797,33413771264,23622320128,27710717952,18080841728
200,1779468563179,39800.295471191406,18300,0,0.78125,362832.952545166,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,26.45409393310547,36.7257080078125,33.476348876953125,36.37336730957031,42.67559051513672,45.20561981201172,32.40711212158203,36.4209098815918,0.4454345703125,0.3839874267578125,0.38542938232421875,0.5255203247070313,46.13765335083008,32.223365783691406,51.45805358886719,44.95319747924805,56.303218841552734,42.72323226928711,31.828216552734375,32.44927215576172,33413771264,23622320128,27764146176,18732277760
200,1779468563379,8751.306900024414,18300,0,0.78125,362836.21769714355,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,29.439697265625,32.86659240722656,30.096054077148438,41.44916534423828,58.52764892578125,45.87334060668945,0.27105712890625,0.11867523193359375,0.2124176025390625,0.21990203857421875,0.1855926513671875,0.122467041015625,50.325584411621094,27.71654510498047,47.53859329223633,44.565208435058594,49.124366760253906,44.05694580078125,49.38964080810547,51.71963119506836,33413771264,23622320128,27798929408,19371454464
199,1779468563580,8191.175933837891,18300,0,0.78125,362839.3320617676,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,38.940773010253906,31.981002807617188,48.65203857421875,42.54767608642578,9.1627197265625,10.891227722167969,0.09870147705078125,0.14328765869140625,0.11025238037109375,0.10245513916015625,0.18291473388671875,0.1657257080078125,53.788944244384766,31.942466735839844,50.851436614990234,52.3940315246582,42.0377082824707,62.66514205932617,78.5747299194336,61.089012145996094,33413771264,23622320128,27811745792,19383562240
199,1779468563780,8191.60107421875,18300,0,0.78125,362842.91816711426,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,58.061466217041016,58.19709396362305,0.98809814453125,1.5107498168945313,17.485855102539063,19.199241638183594,0,0,31.975616455078125,35.58888244628906,0,0,59.7081413269043,59.71389389038086,71.40440368652344,72.44470977783203,70.04188537597656,78.97509765625,70.831787109375,68.95787048339844,33413771264,23622320128,27862609920,19503104000
200,1779468563980,39802.17495727539,18300,0,0.78125,362847.320602417,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,57.83051300048828,56.768096923828125,59.66999053955078,67.65272521972656,58.90818405151367,54.88382339477539,0.48107147216796875,0.38608551025390625,54.555320739746094,55.92499923706055,0.49139404296875,0.48091888427734375,62.4230842590332,53.87919235229492,70.96461486816406,75.91432189941406,81.68353271484375,65.692138671875,53.63948440551758,44.386390686035156,33413771264,23622320128,27856039936,19399159808
200,1779468564181,11276.205642700195,42800,0,0.78125,362851.01094055176,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,34.032752990722656,43.528324127197266,45.033504486083984,48.13058090209961,18.4102783203125,20.17760467529297,0.1543121337890625,0.2579498291015625,39.181270599365234,40.469635009765625,0.14971923828125,0.16180419921875,41.61647033691406,41.69160461425781,48.83753967285156,65.44549560546875,30.075355529785156,68.6241455078125,32.247154235839844,27.69292449951172,33413771264,23622320128,27894329344,19403923456
199,1779468564381,39803.23127746582,18300,0,0.78125,362854.1058807373,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,7.511054992675781,16.134033203125,20.43896484375,1.7045516967773438,3.1480636596679688,1.5932846069335938,0.29044342041015625,0.29079437255859375,2.1066131591796875,1.6958999633789063,0.2999420166015625,0.31499481201171875,61.45081329345703,43.88367462158203,52.57200622558594,53.349517822265625,47.15000534057617,70.77229309082031,67.58851623535156,71.941162109375,33413771264,23622320128,28049920000,19401850880
200,1779468564581,39958.08100891113,18300,0,0.775,362857.5334472656,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,27.875,61.553977966308594,0.07061767578125,0.09832000732421875,0.1021728515625,0.06555938720703125,0.07637786865234375,0.07793426513671875,0.07798004150390625,0.216217041015625,0.0868988037109375,0.08844757080078125,72.11152648925781,30.03765106201172,43.96150207519531,50.06914138793945,49.52927017211914,63.11739730834961,89.82901000976563,90.7328109741211,33413771264,23622320128,28058591232,19404222464
199,1779468564781,39804.429107666016,18300,0,0.7875,362860.5346374512,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,11.786521911621094,12.673469543457031,0.48557281494140625,0.5119247436523438,0.526947021484375,0.662994384765625,0.5498504638671875,0.48451995849609375,0.7602691650390625,0.4864654541015625,0.48841094970703125,0.48656463623046875,76.79408264160156,37.65142059326172,75.75347137451172,68.20166778564453,68.35189819335938,75.34121704101563,24.945960998535156,24.87334442138672,33413771264,23622320128,28117372928,19408715776
200,1779468564982,8193.019989013672,18300,0,0.78125,362863.74627685547,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,16.549514770507813,16.49127197265625,0.00640106201171875,0.0072021484375,0.01059722900390625,0.0115966796875,9.120307922363281,12.93609619140625,2.7664642333984375,8.612998962402344,0.02829742431640625,0.01259613037109375,57.88819885253906,29.640426635742188,34.862770080566406,54.794090270996094,57.11273193359375,53.576900482177734,61.347496032714844,77.21932983398438,33413771264,23622320128,28116852736,19401961472
199,1779468565182,39959.46131896973,18300,0,0.775,362866.9560852051,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,36.09008026123047,57.87742614746094,0.807220458984375,0.6780853271484375,0.6946029663085938,0.6828765869140625,0.6709518432617188,0.6708450317382813,0.6785812377929688,0.6946487426757813,0.7202987670898438,0.8026351928710938,67.86929321289063,40.471649169921875,58.63445281982422,66.65084838867188,55.263343811035156,78.69992065429688,23.849990844726563,19.080406188964844,33413771264,23622320128,28145270784,19406082048
199,1779468565382,7983.037048339844,42800,0,0.78125,362870.8378601074,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,25.486221313476563,53.7059440612793,50.4014892578125,44.76799392700195,0.22760772705078125,0.14786529541015625,0.1009979248046875,0.1009979248046875,0.11603546142578125,0.10585784912109375,0.11528778076171875,0.1057586669921875,71.24957275390625,35.97700500488281,52.304935455322266,68.20651245117188,60.3595085144043,68.30741882324219,60.01666259765625,73.73324584960938,33413771264,23622320128,28125274112,19343585280
200,1779468565582,39960.595947265625,18300,0,0.78125,362874.3511657715,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,41.994815826416016,49.788841247558594,9.186279296875,9.789894104003906,3.7159423828125,3.0208892822265625,0.2635498046875,0.26409912109375,0.2688446044921875,0.2789306640625,0.27848052978515625,0.2642974853515625,67.62371826171875,51.231239318847656,39.631370544433594,85.67839813232422,57.3145751953125,72.00545501708984,57.608787536621094,61.32258605957031,33413771264,23622320128,28126498816,19336683520
200,1779468565783,39807.48637390137,18300,0,0.78125,362877.4601287842,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,8.493736267089844,13.62188720703125,0.144287109375,0.1451416015625,0.18595123291015625,0.1468353271484375,0.1451416015625,0.14593505859375,0.1487884521484375,0.2177581787109375,0.24471282958984375,0.144989013671875,65.43923950195313,21.844009399414063,40.1822395324707,60.17790603637695,44.84181594848633,52.21575927734375,61.21977996826172,77.04139709472656,33413771264,23622320128,28123770880,19340251136
199,1779468565983,39808.13946533203,18300,0,0.775,362880.65200805664,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,4.553932189941406,13.71588134765625,0.34006500244140625,0.34743499755859375,0.34808349609375,0.41884613037109375,14.241935729980469,32.675628662109375,20.21862030029297,20.753135681152344,0.35007476806640625,0.49542999267578125,39.907596588134766,24.339019775390625,37.37870788574219,59.64936065673828,50.850433349609375,66.28102111816406,52.24888229370117,58.23079299926758,33413771264,23622320128,28116025344,19332558848
199,1779468566183,8757.208267211914,18300,0,0.775,362883.76571655273,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.26168060302734375,0.30175018310546875,0.3515167236328125,0.35396575927734375,0.430816650390625,0.36576080322265625,0.3925933837890625,0.35851287841796875,0.3702545166015625,0.3578643798828125,0.4147796630859375,0.36795806884765625,66.26031494140625,35.871681213378906,44.930782318115234,58.022430419921875,64.14320373535156,62.170654296875,56.34053421020508,62.076114654541016,33413771264,23622320128,28115513344,19333111808
200,1779468566383,8757.480743408203,18300,0,0.78125,362886.74697875977,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.224822998046875,0.17200469970703125,0.1877899169921875,0.3496551513671875,0.191741943359375,0.192840576171875,19.24907684326172,20.565277099609375,0.20473480224609375,0.20638275146484375,0.1915435791015625,0.19129180908203125,31.177658081054688,23.1143798828125,49.393619537353516,57.01494216918945,70.89761352539063,63.12892532348633,39.885215759277344,75.51194763183594,33413771264,23622320128,28117049344,19333644288
200,1779468566583,11278.152267456055,4800,2,0.78125,362890.1996612549,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,11.40435791015625,24.63653564453125,2.0525360107421875,2.0923843383789063,0,0,0,0,0,0,0,0,69.87682342529297,20.014991760253906,63.01085662841797,50.276283264160156,49.7446403503418,46.39668655395508,76.55130004882813,76.94898986816406,33413771264,23622320128,28116447232,19333500928
201,1779468566784,39963.64926147461,18300,0,0.78125,362893.4150238037,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2.99383544921875,13.069496154785156,0.35123443603515625,0.3628692626953125,0.3546295166015625,0.35488128662109375,0.35782623291015625,0.35817718505859375,0.35597991943359375,0.355926513671875,0.36072540283203125,0.36102294921875,73.13082885742188,29.670867919921875,28.544158935546875,60.06037902832031,51.3422737121582,62.16804122924805,61.86494064331055,80.69410705566406,33413771264,23622320128,28116566016,19331637248
