Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779468569647,39817.75630187988,18300,0,0.78125,362937.95668029785,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,44.973419189453125,92.22724151611328,82.68526458740234,58.34157943725586,0,0,0,0,0,0,78.78970336914063,67.59889221191406,0,0,33413771264,23622320128,27735261184,18084835328
200,1779468569647,39817.76210021973,18300,0,0.78125,362937.9792175293,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3.9517745971679688,3.9517745971679688,3.7917098999023438,3.7917098999023438,3.7917098999023438,3.7967071533203125,75.48896789550781,100,100,100,4.7271270751953125,4.7321319580078125,3.94677734375,3.9517745971679688,3.9517745971679688,3.9417724609375,93.2769775390625,86.45390319824219,3.7917098999023438,3.7967071533203125,33413771264,23622320128,27735351296,18084573184
200,1779468569847,39971.01557922363,18300,0,0.78125,362940.92208862305,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,45.07853317260742,35.474510192871094,0.11704254150390625,0.12889862060546875,0.186248779296875,0.1168365478515625,16.62256622314453,18.76923370361328,4.147453308105469,2.6299285888671875,0.1552581787109375,0.2613372802734375,54.91244888305664,43.91371536254883,63.57950973510742,58.986961364746094,65.29519653320313,75.85197448730469,3.3631591796875,2.2867279052734375,33413771264,23622320128,27759992832,18708197376
200,1779468570048,39818.66758728027,18300,0,0.775,362943.9304046631,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.47335433959961,36.94813537597656,0,0,0,0,2.3448333740234375,0,0,0,0,0,63.922218322753906,33.56366729736328,58.60697555541992,49.66374206542969,52.63229751586914,59.94889831542969,43.449092864990234,32.41632080078125,33413771264,23622320128,27780907008,18714550272
199,1779468570248,39819.08026123047,18300,0,0.78125,362946.8264312744,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,66.92013549804688,46.72422790527344,0.3258819580078125,0.34244537353515625,0.45711517333984375,0.35578155517578125,4.6980743408203125,0.5993881225585938,0.49964141845703125,0.4672088623046875,0.46710968017578125,0.4671630859375,65.2285385131836,43.316307067871094,61.19889831542969,59.92008972167969,58.403743743896484,60.49524688720703,3.3755874633789063,2.6022415161132813,33413771264,23622320128,27808071680,19356655616
200,1779468570449,39819.54219055176,18300,0,0.78125,362949.9453277588,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.21931076049805,43.09695816040039,0.09453582763671875,0.07448577880859375,0,0.07968902587890625,2.2220077514648438,0.00174713134765625,0.12847900390625,0.037841796875,0.09622955322265625,0.129974365234375,56.715972900390625,43.51353454589844,61.32736587524414,53.43589782714844,61.056514739990234,59.861576080322266,40.54600524902344,43.22883605957031,33413771264,23622320128,27820109824,19371696128
199,1779468570649,39820.03813171387,18300,0,0.78125,362953.2495880127,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,33.379676818847656,46.86499786376953,1.1654281616210938,1.1402435302734375,1.1632308959960938,1.1587982177734375,3.3169631958007813,1.20611572265625,22.700637817382813,38.58981704711914,1.1020965576171875,1.1303253173828125,55.26270294189453,40.33479309082031,61.009456634521484,52.971736907958984,73.70609283447266,48.454837799072266,43.351409912109375,31.184310913085938,33413771264,23622320128,27845218304,19379773440
199,1779468570850,8198.77001953125,18300,0,0.775,362956.7241668701,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,57.6567497253418,50.94987869262695,0,0,0,0,1.8891143798828125,0,11.868484497070313,11.356605529785156,0,0,55.33800506591797,61.59236145019531,69.52977752685547,74.38221740722656,69.84774780273438,67.98835754394531,55.79951477050781,48.787715911865234,33413771264,23622320128,27863470080,19390484480
199,1779468571050,7834.063491821289,42800,0,0.78125,362961.25172424316,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,69.5126724243164,90.42103576660156,0.0143280029296875,0.020660400390625,55.09280014038086,55.76348876953125,28.053627014160156,42.9276123046875,58.256309509277344,69.1397476196289,0.05721282958984375,0.0040740966796875,84.735595703125,86.98494720458984,90.16414642333984,91.17427062988281,86.1382064819336,93.02154541015625,60.857120513916016,63.10636901855469,33413771264,23622320128,27866091520,19389702144
199,1779468571249,39821.6641998291,18300,0,0.78125,362965.0962524414,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,37.6369743347168,52.54013442993164,0.4322967529296875,0.422271728515625,11.358612060546875,5.982856750488281,34.771629333496094,47.70381164550781,18.57353973388672,17.49156951904297,0.44799041748046875,0.402618408203125,54.636993408203125,59.86359786987305,68.50325012207031,58.20309829711914,62.47837829589844,59.813316345214844,11.935791015625,12.038261413574219,33413771264,23622320128,27867262976,19391074304
