Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779468626194,8259.974792480469,18300,0,0.78125,363769.3243560791,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,71.15860748291016,85.2531967163086,5.038505554199219,5.0377044677734375,5.029747009277344,5.029747009277344,5.035316467285156,5.0361175537109375,5.026557922363281,5.02337646484375,5.026557922363281,5.02496337890625,92.84957885742188,86.05671691894531,93.63716888427734,91.80078125,71.58306121826172,100,5.0361175537109375,5.033721923828125,33413771264,23622320128,27832909824,18089009152
200,1779468626194,8259.980499267578,18300,0,0.78125,363769.3569793701,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,100,100,12.997543334960938,12.997543334960938,12.997543334960938,12.987533569335938,12.982528686523438,12.982528686523438,12.982528686523438,12.977516174316406,12.982528686523438,12.972511291503906,100,100,100,100,100,100,12.997543334960938,13.002555847167969,33413771264,23622320128,27832926208,18089009152
199,1779468626395,39957.90837097168,18300,0,0.5625,363773.0961456299,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,59.589599609375,53.7113037109375,0,0,0,0,0,0,0,0,50.74549865722656,52.63620376586914,69.40545654296875,58.93889236450195,68.02754211425781,81.69717407226563,69.99645233154297,77.87963104248047,82.35572814941406,82.5399169921875,33413771264,23622320128,27878879232,18737827840
199,1779468626595,40108.17088317871,18300,0,0.78125,363776.24601745605,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.752716064453125,38.91062545776367,0.6862640380859375,0.6109848022460938,0.611236572265625,0.6113357543945313,0.6113815307617188,0.6115341186523438,0.6202545166015625,0.611785888671875,48.09609603881836,49.938621520996094,47.91316223144531,24.753265380859375,64.19132995605469,47.5639762878418,73.13627624511719,57.22547149658203,18.263580322265625,16.63298797607422,33413771264,23622320128,27901595648,18748993536
200,1779468626795,39958.86167907715,18300,0,0.78125,363779.1763458252,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,51.28434371948242,38.729434967041016,0,0,0,0,0,0,0,0,35.320655822753906,41.568946838378906,51.7402458190918,19.842994689941406,59.710262298583984,47.94647979736328,50.90792465209961,62.23299026489258,16.03510284423828,4.716545104980469,33413771264,23622320128,27898155008,19355598848
200,1779468626995,8261.594802856445,18300,0,0.78125,363783.43717956543,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,59.58887481689453,66.55964660644531,0.12284088134765625,0.13112640380859375,0.13022613525390625,0.13007354736328125,6.6901092529296875,9.358055114746094,0.13187408447265625,0.19803619384765625,50.118499755859375,48.22607421875,68.06637573242188,64.16366577148438,76.4599609375,76.58045959472656,81.29835510253906,85.86781311035156,60.56587219238281,63.20228958129883,33413771264,23622320128,27925118976,19372892160
200,1779468627196,8824.342041015625,18300,0,0.78125,363787.1615142822,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,48.06231689453125,38.96383285522461,0.26251983642578125,0.26251983642578125,0.26236724853515625,0.26232147216796875,17.867523193359375,30.915573120117188,30.643096923828125,16.05126190185547,14.438217163085938,36.957706451416016,62.399696350097656,34.929664611816406,51.37530517578125,59.77606201171875,59.18764114379883,62.97283172607422,26.377731323242188,33.161705017089844,33413771264,23622320128,27944243200,19375689728
200,1779468627396,40110.062744140625,18300,0,0.78125,363790.1886138916,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,38.32516098022461,42.23031234741211,0.27231597900390625,0.270263671875,0.27600860595703125,0.21539306640625,0.21759033203125,0.2659759521484375,0.27855682373046875,0.23880767822265625,21.36444854736328,23.716712951660156,50.71905517578125,40.22346115112305,47.300010681152344,58.92259979248047,52.69629669189453,57.83115005493164,39.2247314453125,38.40774154663086,33413771264,23622320128,27945590784,19373678592
200,1779468627596,40110.457092285156,18300,0,0.78125,363793.202255249,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,26.504058837890625,35.12663269042969,0,0,0,0,0,0,18.54102325439453,15.122276306152344,11.982711791992188,17.47290802001953,41.10906219482422,30.120895385742188,44.84850311279297,57.56143569946289,56.92230224609375,53.547996520996094,44.87982940673828,47.77187728881836,33413771264,23622320128,27954778112,19383685120
199,1779468627797,39961.24334716797,18300,0,0.7875,363796.0226287842,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,41.91474914550781,38.14726257324219,0,0,0,0,0,0,22.95069122314453,18.68006134033203,0,0,53.04833221435547,25.82146453857422,52.366607666015625,46.018798828125,49.05895233154297,54.85470962524414,32.80903625488281,26.532638549804688,33413771264,23622320128,27949367296,19376246784
