Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779468632221,40120.065979003906,18300,0,0.78125,363858.00520324707,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,62.5959587097168,50.301387786865234,28.86993408203125,34.059471130371094,0,0,0,0,0,0,0,0,45.44621658325195,37.58359146118164,83.507080078125,64.39787292480469,78.53648376464844,70.44026184082031,91.85064697265625,74.86121368408203,33413771264,23622320128,27797463040,18052952064
200,1779468632221,40120.07052612305,18300,0,0.78125,363858.0376281738,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,59.539100646972656,74.58758544921875,0,0,0,0,0,0,0,0,0,0,92.59539031982422,87.6023178100586,98.80997467041016,90.56793975830078,95.08878326416016,91.72648620605469,69.97859191894531,84.3785400390625,33413771264,23622320128,27797471232,18052820992
200,1779468632422,8830.110900878906,18300,0,0.78125,363861.13288879395,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,59.747806549072266,47.86026382446289,0,0,0,0,0,0,0,0.03607940673828125,0,0,67.62107849121094,50.13026809692383,69.8470458984375,61.02647018432617,73.6268310546875,60.48005294799805,38.931583404541016,35.71954345703125,33413771264,23622320128,27850706944,18724118528
200,1779468632622,7991.283157348633,42800,0,0.78125,363864.4179840088,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,55.733497619628906,40.736602783203125,7.039497375488281,8.377723693847656,0.041717529296875,0.0412139892578125,0.03047943115234375,0.03173828125,0.05234527587890625,0.0328521728515625,51.27149200439453,42.77063751220703,52.76569747924805,37.604610443115234,72.73097229003906,52.032196044921875,78.228759765625,49.20758056640625,65.641845703125,62.98358917236328,33413771264,23622320128,27879702528,18719145984
200,1779468632823,8271.025939941406,18300,0,0.78125,363868.02700805664,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,77.00965881347656,61.29600524902344,6.859199523925781,8.826316833496094,5.506050109863281,5.676780700683594,26.651512145996094,25.0107421875,0,0,51.74766540527344,56.66250228881836,68.49446868896484,60.508121490478516,85.42232513427734,79.76929473876953,85.58078002929688,76.25530242919922,75.12930297851563,72.61009216308594,33413771264,23622320128,27908423680,18785513472
200,1779468633023,39972.29057312012,18300,0,0.78125,363871.26333618164,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,44.503700256347656,33.19874572753906,21.101943969726563,28.674667358398438,34.227813720703125,43.8079719543457,29.129318237304688,38.84495162963867,0,0,34.178123474121094,38.881690979003906,23.234710693359375,9.517013549804688,67.06075286865234,42.00416946411133,64.24786376953125,38.311946868896484,37.54664993286133,32.38817596435547,33413771264,23622320128,27911987200,19395424256
199,1779468633223,40122.489318847656,18300,0,0.5125,363875.25468444824,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.693729400634766,50.80938720703125,20.279632568359375,30.948745727539063,16.338058471679688,21.177658081054688,0,0.03269195556640625,0,0,20.439895629882813,20.734710693359375,66.05302429199219,41.47356414794922,64.70875549316406,73.20479583740234,83.22223663330078,52.02528762817383,73.90986633300781,55.99281311035156,33413771264,23622320128,27983695872,19404001280
199,1779468633424,11311.460067749023,42800,0,0.78125,363878.5506134033,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,53.28702926635742,22.916549682617188,27.006866455078125,21.093887329101563,0.05695343017578125,0.38193511962890625,0.067718505859375,0.0904083251953125,0.14736175537109375,0.2170867919921875,25.71179962158203,16.01435089111328,25.53974151611328,11.35516357421875,49.16525650024414,48.60274887084961,63.24895095825195,39.53297424316406,57.063838958740234,66.7852783203125,33413771264,23622320128,28133539840,19405754368
200,1779468633624,39974.05262756348,18300,0,0.78125,363881.84338378906,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,49.31641387939453,27.941925048828125,28.299972534179688,30.19426727294922,0.34172821044921875,0.25714874267578125,0.3375396728515625,0.29981231689453125,0.2720184326171875,0.2515106201171875,0.26323699951171875,0.415435791015625,20.51911163330078,7.760704040527344,62.21859359741211,57.99247360229492,62.743167877197266,49.46711730957031,63.7111701965332,69.59599304199219,33413771264,23622320128,28136214528,19402752000
200,1779468633824,40124.06301879883,18300,0,0.78125,363884.88946533203,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,21.594100952148438,17.32659149169922,18.507347106933594,3.6331710815429688,0,0,0,0,39.1814079284668,18.815834045410156,0,0,13.542274475097656,12.622482299804688,58.94685363769531,48.16144943237305,66.4525146484375,46.61750030517578,73.33889770507813,76.59600067138672,33413771264,23622320128,28173574144,19405635584
