Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779468644654,40002.354415893555,18300,0,0.70625,364048.7661590576,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3.70025634765625,3.6959304809570313,3.880584716796875,3.8798599243164063,3.8791427612304688,3.8776931762695313,3.876251220703125,3.876251220703125,64.36140441894531,80.623779296875,3.7197341918945313,3.71612548828125,3.6937637329101563,3.6930465698242188,76.22241973876953,83.60057067871094,64.74873352050781,97.65794372558594,3.8877944946289063,3.8856277465820313,33413771264,23622320128,27696664576,17959010304
199,1779468644654,40150.66116333008,18300,0,0.5062500000000001,364048.8242492676,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,100,100,0,0,0,0,100,100,100,100,0,0,33413771264,23622320128,27696689152,17959010304
200,1779468644854,6768.89501953125,42800,0,0.78125,364051.95947265625,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,47.04167175292969,67.49822998046875,0.3066253662109375,0.34857177734375,0.3076171875,0.3075714111328125,0.307220458984375,0.3157501220703125,53.293983459472656,65.4725341796875,3.393096923828125,5.3615264892578125,20.170188903808594,17.111343383789063,65.26531982421875,81.87371826171875,68.50638580322266,74.47451782226563,7.6326904296875,7.128684997558594,33413771264,23622320128,27745660928,18604716032
199,1779468645055,40151.59475708008,18300,0,0.78125,364054.8731994629,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,26.485809326171875,40.03733444213867,3.1404495239257813,5.8441162109375,0,0,0,0,49.23716354370117,47.1182861328125,22.820770263671875,24.958175659179688,24.826858520507813,16.937042236328125,42.41499710083008,67.83821105957031,48.27488708496094,70.94480895996094,4.030754089355469,9.045318603515625,33413771264,23622320128,27761659904,18613751808
199,1779468645255,40003.74299621582,18300,0,0.7875,364057.6650085449,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,36.870113372802734,52.7945671081543,0,0,0,0,0,0,26.18450927734375,26.90576934814453,0,0,30.919998168945313,16.04344940185547,42.77150344848633,68.23849487304688,39.8485221862793,66.64594268798828,14.357437133789063,24.444419860839844,33413771264,23622320128,27786182656,19251331072
200,1779468645455,8842.446228027344,18300,0,0.78125,364060.85710144043,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,43.3863639831543,63.07960510253906,0.08579254150390625,0.1479644775390625,0.08579254150390625,0.08568572998046875,0.08563995361328125,0.08563995361328125,0.1069488525390625,0.10340118408203125,5.42999267578125,6.738746643066406,51.304447174072266,45.76060485839844,62.926483154296875,67.17378234863281,64.06300354003906,75.96446990966797,52.073150634765625,53.09532165527344,33413771264,23622320128,27774578688,19200704512
199,1779468645656,40004.772048950195,18300,0,0.78125,364064.77183532715,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,34.0606689453125,56.654972076416016,0.04563140869140625,0,4.1884765625,13.381866455078125,0,0,28.318580627441406,42.89322280883789,40.31391525268555,51.424686431884766,52.66708755493164,43.46133041381836,63.20326614379883,69.19976043701172,54.708160400390625,71.08772277832031,45.27413558959961,52.01848220825195,33413771264,23622320128,27798999040,19206680576
200,1779468645856,8843.220962524414,18300,0,0.78125,364068.1634979248,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,44.327693939208984,59.3655891418457,7.135597229003906,13.505256652832031,2.5610885620117188,7.748771667480469,0.1816558837890625,0.16361236572265625,1.7958450317382813,8.105484008789063,1.6471710205078125,9.991531372070313,38.90528106689453,43.26496124267578,64.78080749511719,69.54931640625,61.884098052978516,77.80401611328125,25.260597229003906,38.527034759521484,33413771264,23622320128,27809136640,19211673600
200,1779468646056,8843.639999389648,18300,0,0.78125,364071.642578125,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,42.0163459777832,52.701881408691406,17.585716247558594,32.738319396972656,0,0,0,0,0,0,0,0,53.42543029785156,47.55324172973633,55.21904754638672,71.4842529296875,57.640071868896484,72.84654235839844,42.13295364379883,53.79960632324219,33413771264,23622320128,27814780928,19208646656
199,1779468646256,40006.29640197754,18300,0,0.78125,364075.01037597656,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,40.70419692993164,54.323612213134766,30.188705444335938,33.17897033691406,0.15314483642578125,0.1532440185546875,0.1531982421875,0.1531982421875,0.1605377197265625,0.15309906005859375,0.16841888427734375,0.15309906005859375,45.27909469604492,54.68551254272461,47.395599365234375,68.77874755859375,57.53146743774414,67.89720153808594,38.71657943725586,51.364097595214844,33413771264,23622320128,27825283072,19203784704
200,1779468646456,40155.00900268555,18300,0,0.78125,364078.39111328125,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.905094146728516,59.14400863647461,0.16949462890625,0.16809844970703125,0.17543792724609375,0.1611480712890625,0.1699981689453125,0.156951904296875,0.18233489990234375,0.1571044921875,19.971527099609375,17.986854553222656,54.79075622558594,51.99188995361328,62.49808120727539,68.93739318847656,70.35751342773438,64.88400268554688,51.137420654296875,54.780662536621094,33413771264,23622320128,27839053824,19208708096
200,1779468646657,40155.43760681152,18300,0,0.78125,364081.1990661621,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,47.93711471557617,50.594635009765625,0.26209259033203125,0.32167816162109375,0.26129913330078125,0.26114654541015625,0.260894775390625,0.260894775390625,0.2884674072265625,0.26149749755859375,4.0978546142578125,5.503173828125,50.6890754699707,44.1996955871582,55.3077278137207,64.94821166992188,54.0480842590332,60.71985626220703,8.209785461425781,6.29541015625,33413771264,23622320128,27838312448,19210166272
199,1779468646857,40007.682067871094,18300,0,0.78125,364084.48930358887,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,47.42152404785156,57.97612762451172,0.26255035400390625,0.2749176025390625,0.26868438720703125,0.2683868408203125,0.26628875732421875,0.27756500244140625,0.28429412841796875,0.27462005615234375,0.28289794921875,0.29297637939453125,62.41413497924805,39.271942138671875,63.3150634765625,63.693546295166016,62.45594024658203,68.84651184082031,84.81134033203125,86.46937561035156,33413771264,23622320128,27846246400,19208896512
