Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779468670534,40067.37538146973,18300,0,0.78125,364438.15840148926,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.5423812866210938,0.5423812866210938,0.03096771240234375,0.030029296875,0.03096771240234375,0.03096771240234375,0.03096771240234375,0.030029296875,0.030029296875,0.02909088134765625,73.6944808959961,83.15801239013672,0.5442581176757813,0.5442581176757813,0.5461349487304688,0.5470733642578125,60.55439376831055,76.65787506103516,70.68417358398438,45.65672302246094,33413771264,23622320128,27676303360,17913323520
200,1779468670535,40212.09344482422,18300,0,0.78125,364438.21270751953,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,87.03923797607422,91.55094146728516,0,0,76.84248352050781,81.9554443359375,86.13510131835938,84.84957122802734,14.511024475097656,13.088638305664063,33413771264,23622320128,27676336128,17913323520
199,1779468670735,40067.881103515625,18300,0,0.78125,364441.24017333984,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,39.0999641418457,37.84046936035156,0.0784454345703125,0.10984039306640625,0.1209716796875,0.07819366455078125,0.0780487060546875,0.09613037109375,0.085601806640625,0.07769775390625,21.887161254882813,20.69841766357422,59.322391510009766,51.38533401489258,70.16981506347656,65.7757568359375,65.273681640625,74.68708801269531,3.7827529907226563,0.09270477294921875,33413771264,23622320128,27726262272,18555420672
200,1779468670935,40212.95831298828,18300,0,0.775,364443.9677429199,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,22.680274963378906,14.789695739746094,21.342796325683594,25.632530212402344,0.4432220458984375,0.4433746337890625,0.443023681640625,0.44307708740234375,0.4546966552734375,0.444183349609375,4.3898468017578125,3.263519287109375,47.69087600708008,27.946510314941406,51.10512161254883,49.15507888793945,54.77715301513672,48.15216064453125,44.53305435180664,34.755577087402344,33413771264,23622320128,27741462528,18569330688
200,1779468671136,40213.45643615723,18300,0,0.78125,364447.07138061523,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,17.51923370361328,14.553787231445313,18.54723358154297,24.54950714111328,0,0,0,0,0,0,0,0,60.241939544677734,38.91156005859375,58.44271469116211,64.93932342529297,66.8192138671875,52.85365676879883,54.51496124267578,41.384769439697266,33413771264,23622320128,27763806208,19209224192
200,1779468671336,8879.119094848633,18300,0,0.78125,364450.72619628906,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,52.46061325073242,45.6611328125,52.129676818847656,36.97798156738281,0.53265380859375,0.45319366455078125,0.45304107666015625,0.462799072265625,0.46025848388671875,0.4925537109375,0.452545166015625,0.45244598388671875,52.741146087646484,49.60636901855469,70.53895568847656,62.7351188659668,63.936763763427734,69.11170959472656,53.8089485168457,42.158843994140625,33413771264,23622320128,27793747968,19224805376
199,1779468671537,40214.47801208496,18300,0,0.78125,364454.106842041,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,50.06729507446289,40.18667221069336,23.576446533203125,32.883094787597656,0,0,0,0,0,0,0,0,52.63684844970703,36.07237243652344,63.73040771484375,58.05662536621094,60.800926208496094,68.11235046386719,36.639461517333984,38.095211029052734,33413771264,23622320128,27817697280,19231195136
200,1779468671737,8322.918243408203,18300,0,0.78125,364457.58544921875,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,53.08440017700195,38.08656692504883,45.02466583251953,40.08609390258789,19.22772979736328,15.424201965332031,0,0,0,0,0,0,59.9481201171875,42.110130310058594,65.97216796875,57.50542068481445,63.292572021484375,59.548614501953125,51.07381820678711,35.24976348876953,33413771264,23622320128,27827417088,19237400576
200,1779468671937,40070.69869995117,18300,0,0.78125,364460.67738342285,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,27.91326141357422,17.554115295410156,42.28208923339844,32.808082580566406,10.007598876953125,8.718704223632813,1.0048980712890625,1.5127944946289063,0.062103271484375,0.06224822998046875,0.06939697265625,0.08914947509765625,54.48102569580078,35.815673828125,59.61530303955078,50.13694763183594,67.69666290283203,45.3402214050293,49.40765380859375,34.22698211669922,33413771264,23622320128,27832733696,19240046592
200,1779468672137,40215.87405395508,18300,0,0.78125,364463.90295410156,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,40.868648529052734,43.67232131958008,39.31383514404297,33.16761016845703,0.08657073974609375,0.21349334716796875,0.08112335205078125,0.08087158203125,0.18292236328125,0.14426422119140625,0.0801239013671875,0.20600128173828125,55.68644332885742,47.69203186035156,69.08348846435547,52.939266204833984,66.64466857910156,52.988868713378906,53.809486389160156,41.213871002197266,33413771264,23622320128,27860254720,19246694400
