Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779468682606,40238.723724365234,18300,0,0.76875,364617.5000152588,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,64.64114379882813,61.04254150390625,0,0,83.66062927246094,95.77672576904297,96.35368347167969,96.98588562011719,0,0,33413771264,23622320128,27695972352,17909731328
200,1779468682606,40238.73599243164,18300,0,0.78125,364617.56341552734,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,4.169242858886719,4.165252685546875,1.8095932006835938,1.3771286010742188,2.8080596923828125,1.3751296997070313,1.3751296997070313,1.373138427734375,1.3691558837890625,1.373138427734375,60.489864349365234,63.62277603149414,38.980010986328125,38.9839973449707,99.64326477050781,91.61368560791016,99.32439422607422,99.60739135742188,1.3831024169921875,1.3811111450195313,33413771264,23622320128,27696013312,17909600256
199,1779468682807,11343.09765625,42800,0,0.78125,364621.16215515137,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,48.48521423339844,48.00844192504883,27.591514587402344,26.607772827148438,3.1558456420898438,0,0,0,0,0,3.5762863159179688,3.7261734008789063,70.86060333251953,75.23257446289063,86.8194808959961,87.64739227294922,82.96134185791016,89.0452880859375,63.72850799560547,67.26558685302734,33413771264,23622320128,27776598016,18615967744
200,1779468683007,6778.404037475586,42800,0,0.78125,364624.5778656006,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,36.42341232299805,36.34947967529297,43.4736213684082,40.469730377197266,9.604759216308594,6.849357604980469,0.12958526611328125,0.12938690185546875,15.928573608398438,21.72502899169922,49.556243896484375,45.428890228271484,57.51617431640625,43.70756149291992,71.92829895019531,51.8020133972168,68.4548110961914,54.1177864074707,51.01618957519531,44.52340316772461,33413771264,23622320128,27823067136,19269513216
199,1779468683207,40095.69317626953,18300,0,0.78125,364627.6782836914,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,44.566036224365234,31.88764190673828,7.1063385009765625,6.5382537841796875,2.5186614990234375,0.17311859130859375,0.11724090576171875,0.23907470703125,0.930450439453125,0.7411041259765625,0.395416259765625,0.1495513916015625,58.471675872802734,36.08849334716797,57.164634704589844,51.70682907104492,60.76354217529297,46.076053619384766,54.34387969970703,56.00214767456055,33413771264,23622320128,27812294656,18638446592
199,1779468683407,8334.44206237793,18300,0,0.78125,364630.7762298584,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,50.39458084106445,36.150054931640625,0.0929718017578125,0.05410003662109375,2.5244598388671875,0.14942169189453125,0.06519317626953125,0.04845428466796875,0.120147705078125,0.09841156005859375,0.0481109619140625,0.14362335205078125,58.50448989868164,38.45895004272461,61.24995422363281,61.24551010131836,53.10822677612305,63.767269134521484,60.98973083496094,44.16988754272461,33413771264,23622320128,27858165760,19289636864
200,1779468683608,6778.4437255859375,42800,0,0.78125,364633.7466125488,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,30.45068359375,12.185775756835938,8.315505981445313,4.622764587402344,2.1417999267578125,0,0,0,0,0,12.043663024902344,1.104034423828125,47.710731506347656,20.743118286132813,55.37682342529297,40.6338005065918,57.20846939086914,42.726966857910156,25.594696044921875,27.317245483398438,33413771264,23622320128,27932688384,19290202112
199,1779468683808,6778.662551879883,42800,0,0.78125,364636.73890686035,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.0906524658203125,0.13353729248046875,0.10662078857421875,0.1009979248046875,2.1100006103515625,0.0257720947265625,0.03313446044921875,0.03293609619140625,0.0800018310546875,0.025970458984375,59.97878646850586,29.574546813964844,4.433692932128906,6.935455322265625,59.15013885498047,57.067203521728516,51.609779357910156,66.73249053955078,27.784957885742188,24.14000701904297,33413771264,23622320128,28074819584,19292012544
200,1779468684008,40097.816177368164,18300,0,0.78125,364640.62980651855,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,26.09697723388672,55.17278289794922,0,0,1.8858871459960938,0,0,0,0,0,44.191993713378906,47.17116928100586,67.3191909790039,36.76864242553711,76.58055877685547,64.38029479980469,68.35626983642578,69.50395202636719,41.156005859375,50.64225769042969,33413771264,23622320128,28108443648,19406159872
199,1779468684209,8901.250900268555,18300,0,0.78125,364643.6394042969,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,11.470611572265625,13.507110595703125,3.736602783203125,10.596107482910156,1.847503662109375,0,0,0,0,0,4.253654479980469,19.506866455078125,19.320968627929688,22.08197021484375,36.65343475341797,71.98551940917969,63.63321304321289,59.3797607421875,44.26309585571289,57.138858795166016,33413771264,23622320128,28135522304,19295780864
200,1779468684409,40099.0802154541,18300,0,0.78125,364646.6324310303,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.30956268310546875,0.29878997802734375,29.16712188720703,24.139373779296875,2.618072509765625,0.3556671142578125,0.3143768310546875,0.3143768310546875,0.32274627685546875,0.31427764892578125,16.420005798339844,9.417320251464844,43.105445861816406,7.462776184082031,36.04433822631836,48.6782112121582,40.5691032409668,60.144630432128906,37.97834014892578,48.43408966064453,33413771264,23622320128,28135948288,19293487104
199,1779468684609,40099.65367126465,18300,0,0.78125,364649.57220458984,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2.798675537109375,4.700286865234375,0.00384521484375,0.01372528076171875,1.74267578125,0.01242828369140625,0.00374603271484375,0.00384521484375,0.00943756103515625,0.0029449462890625,20.660179138183594,16.256454467773438,34.7684326171875,30.554237365722656,75.37347412109375,60.527587890625,67.29271697998047,69.20550537109375,43.7864875793457,59.33930206298828,33413771264,23622320128,28147212288,19297263616
200,1779468684809,8335.499465942383,18300,0,0.78125,364652.9027252197,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,50.23622512817383,52.86134719848633,13.756294250488281,17.46234893798828,3.3458099365234375,0.2140045166015625,0.1987152099609375,0.18756866455078125,0.18897247314453125,0.2107086181640625,0.1858673095703125,0.17777252197265625,61.21535873413086,42.08897399902344,57.96910095214844,67.4148941040039,64.27629089355469,65.30815124511719,77.72606658935547,69.03254699707031,33413771264,23622320128,28151672832,19302985728
200,1779468685010,7839.455947875977,42800,0,0.78125,364656.39598083496,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,11.157852172851563,16.738861083984375,32.67205047607422,36.43995666503906,24.893211364746094,6.383766174316406,3.252288818359375,7.22247314453125,0,0,6.160957336425781,4.7528076171875,24.59650421142578,26.9388427734375,62.11404800415039,59.48777389526367,26.39874267578125,62.99291229248047,57.800743103027344,38.39695739746094,33413771264,23622320128,28150390784,19300974592
199,1779468685210,8335.650924682617,18300,0,0.78125,364659.7182312012,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,9.865867614746094,3.4317245483398438,16.913726806640625,33.095497131347656,22.068374633789063,33.002716064453125,0.5140304565429688,0.5364532470703125,0.5030364990234375,0.5115890502929688,0.49160003662109375,0.49179840087890625,36.98898696899414,37.13138961791992,34.98503875732422,54.557106018066406,62.7664794921875,54.434295654296875,57.260250091552734,38.46001434326172,33413771264,23622320128,28164300800,19299651584
199,1779468685410,40101.883728027344,18300,0,0.78125,364662.7192687988,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,24.427207946777344,23.969390869140625,0.2450714111328125,0.315521240234375,3.647674560546875,0.25771331787109375,0.2374267578125,0.2374267578125,0.244720458984375,0.23352813720703125,22.358871459960938,36.35846710205078,41.876224517822266,27.76915740966797,48.99985885620117,72.1640396118164,57.816551208496094,77.7728271484375,2.943695068359375,14.957695007324219,33413771264,23622320128,28152455168,19238846464
199,1779468685610,8903.322708129883,18300,0,0.78125,364665.74882507324,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,7.5255126953125,14.276939392089844,0.6235733032226563,5.0550537109375,2.2972640991210938,0.009796142578125,0.09809112548828125,0.0095977783203125,0.09169769287109375,0.00939178466796875,19.655746459960938,31.68004608154297,34.93548583984375,28.705787658691406,27.79119110107422,74.76676940917969,38.904991149902344,76.26031494140625,11.4320068359375,39.446163177490234,33413771264,23622320128,28148244480,19237916672
200,1779468685811,6779.370635986328,42800,0,0.775,364668.373046875,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.20980072021484375,0.100830078125,4.215576171875,11.6573486328125,2.4660568237304688,0.07291412353515625,0.0767059326171875,0.0772552490234375,0.101226806640625,0.0865478515625,12.57635498046875,18.979766845703125,16.44898223876953,10.669075012207031,31.867347717285156,66.5735092163086,50.06564712524414,70.09915924072266,7.4119110107421875,15.374862670898438,33413771264,23622320128,28144046080,19235921920
