Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779468695030,40125.12306213379,18300,0,0.78125,364803.0259246826,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.08635711669921875,0.09014892578125,0.18125152587890625,0.02751922607421875,0.02846527099609375,0.07306671142578125,0.02657318115234375,0.0246734619140625,0.0246734619140625,0.0256195068359375,45.79228973388672,77.50953674316406,0.09204864501953125,0.0930023193359375,0.0948944091796875,0.09774017333984375,79.6750717163086,51.53352737426758,51.90741729736328,61.85541534423828,33413771264,23622320128,27770515456,18008121344
199,1779468695030,40125.12777709961,18300,0,0.78125,364803.0471496582,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,23.731826782226563,23.710128784179688,24.612716674804688,24.604034423828125,24.595359802246094,24.58667755126953,24.58233642578125,24.786285400390625,24.57366180419922,24.564979553222656,100,98.55934143066406,23.705795288085938,23.697113037109375,23.697113037109375,23.684097290039063,76.94944763183594,87.8194808959961,55.630287170410156,83.11564636230469,33413771264,23622320128,27770523648,18008121344
199,1779468695231,40125.65646362305,18300,0,0.78125,364806.19692993164,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,19.932449340820313,22.793685913085938,0,0,0,0,0,0,0,0,49.30803298950195,63.87400436401367,46.60599899291992,49.18090057373047,66.48147583007813,73.37490844726563,68.84090423583984,77.30648803710938,1.1580886840820313,1.276153564453125,33413771264,23622320128,27820548096,18650464256
200,1779468695431,8918.089721679688,18300,0,0.78125,364809.43103027344,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,33.838111877441406,53.91373062133789,0.7893295288085938,0.7812576293945313,0.7975006103515625,0.8202667236328125,0.7812576293945313,0.9145278930664063,20.918441772460938,21.645851135253906,48.37749481201172,57.13331604003906,49.810752868652344,28.155776977539063,57.09736633300781,52.57197570800781,55.839393615722656,56.06205749511719,45.26921463012695,44.49382400512695,33413771264,23622320128,27794833408,18600587264
200,1779468695631,8918.440643310547,18300,0,0.78125,364812.916015625,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,49.7711067199707,29.12055206298828,0.079833984375,0.0720977783203125,0.06890106201171875,0.05368804931640625,0.0684051513671875,0.0533905029296875,41.21060562133789,43.6488151550293,53.55198669433594,49.025081634521484,53.583370208740234,24.57428741455078,54.10896301269531,45.22264862060547,41.351558685302734,61.82678985595703,49.50621795654297,42.939212799072266,33413771264,23622320128,27830444032,19239317504
199,1779468695832,11351.315887451172,42800,0,0.78125,364816.02951049805,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,6.448677062988281,2.3931884765625,0,0,0,0,0,0,41.389122009277344,28.239280700683594,41.311553955078125,22.41936492919922,51.69628143310547,36.82266616821289,58.19255828857422,59.669090270996094,59.087589263916016,63.07329177856445,41.15336608886719,31.520462036132813,33413771264,23622320128,27846701056,19248877568
199,1779468696031,40271.02032470703,18300,0,0.78125,364819.6351776123,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,45.5159797668457,64.2080307006836,51.99140167236328,49.188140869140625,0.13877105712890625,0.1388702392578125,0.24853515625,0.13912200927734375,0.15826416015625,0.15816497802734375,24.617164611816406,13.524971008300781,58.287803649902344,45.28220748901367,73.84837341308594,65.9039306640625,75.2880859375,65.93536376953125,53.38552474975586,41.14219665527344,33413771264,23622320128,27881988096,19268145152
200,1779468696231,40128.09913635254,18300,0,0.78125,364822.88761901855,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,5.696128845214844,4.289024353027344,36.58784866333008,21.694129943847656,28.205535888671875,22.553726196289063,0.31453704833984375,0.32984161376953125,0.32335662841796875,0.314483642578125,4.158302307128906,2.0969009399414063,55.611297607421875,32.47815704345703,57.58151626586914,58.667903900146484,55.89741516113281,63.50872039794922,38.54216003417969,26.709136962890625,33413771264,23622320128,27890356224,19273367552
199,1779468696432,40272.05387878418,18300,0,0.78125,364826.5367279053,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,21.828819274902344,45.03055191040039,50.95643997192383,45.90693664550781,21.117172241210938,15.946510314941406,0.15166473388671875,0.13843536376953125,0.16858673095703125,0.18701171875,0.1549072265625,0.14911651611328125,58.6236686706543,36.02010726928711,62.45476531982422,67.70515441894531,55.42743682861328,64.5908432006836,63.681156158447266,64.36454772949219,33413771264,23622320128,27898105856,19275046912
200,1779468696632,40272.514389038086,18300,0,0.78125,364829.45277404785,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,20.477279663085938,26.559120178222656,17.70520782470703,13.752098083496094,0.16780853271484375,0.15332794189453125,0.1579437255859375,0.16485595703125,0.1689605712890625,0.1609954833984375,12.12469482421875,9.453651428222656,41.703819274902344,24.63823699951172,42.04209518432617,57.295928955078125,45.266136169433594,69.93809509277344,59.96417236328125,61.79982376098633,33413771264,23622320128,27899199488,19276750848
