Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779468750244,40400.37628173828,18300,0,0.78125,365600.8783569336,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,64.8711166381836,48.82512283325195,3.7135086059570313,3.7117538452148438,3.71087646484375,3.7091217041015625,3.704742431640625,3.704742431640625,3.7029876708984375,3.70123291015625,3.70123291015625,3.6994857788085938,3.8221893310546875,3.8195571899414063,67.23489379882813,83.72262573242188,55.4948844909668,89.09700012207031,80.33427429199219,76.77677917480469,33413771264,23622320128,27846963200,17923571712
200,1779468750244,8408.374649047852,18300,0,0.78125,365600.89337158203,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,16.5584716796875,56.176971435546875,0,0,0,0,0,0,0,0,0,0,0,0,86.68730926513672,92.71946716308594,100,69.19004821777344,69.45970153808594,97.61310577392578,33413771264,23622320128,27846991872,17923571712
200,1779468750444,8972.169448852539,18300,0,0.78125,365604.2310333252,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,56.4795036315918,42.948951721191406,0,0,0,0,0,0,0,0,0,0,55.83283233642578,42.78227615356445,65.34933471679688,71.30940246582031,67.41815948486328,64.20098876953125,38.30546569824219,35.13677215576172,33413771264,23622320128,27902627840,18565742592
200,1779468750645,40261.676177978516,18300,0,0.5125,365607.3995819092,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,55.288387298583984,41.990447998046875,0.147003173828125,0.15433502197265625,0.16107177734375,0.146697998046875,0.15692901611328125,0.155181884765625,0.15598297119140625,0.1462554931640625,0.15264129638671875,0.1461029052734375,57.97716522216797,37.78376007080078,64.62045288085938,53.598228454589844,66.04574584960938,54.763206481933594,50.74418640136719,49.21369934082031,33413771264,23622320128,27921326080,18582708224
199,1779468750845,8409.504913330078,18300,0,0.775,365610.2273712158,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,52.2370491027832,22.812835693359375,11.12774658203125,3.7109451293945313,0.03981781005859375,0.03981781005859375,0.03966522216796875,0.03961944580078125,0.0395660400390625,0.0395660400390625,0.039520263671875,0.039520263671875,34.89558410644531,20.344985961914063,66.869873046875,39.476715087890625,58.97921371459961,41.508419036865234,51.184600830078125,30.605697631835938,33413771264,23622320128,27945058304,19223056384
199,1779468751045,8409.890823364258,18300,0,0.78125,365613.3029785156,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,58.498558044433594,45.31635665893555,0.2622222900390625,0.2616729736328125,14.574531555175781,13.412834167480469,0.2428436279296875,0.24243927001953125,0.25684356689453125,0.24144744873046875,0.26092529296875,0.23940277099609375,43.81720733642578,31.041465759277344,73.8494873046875,60.75951385498047,69.38951110839844,56.162166595458984,55.60403823852539,45.170570373535156,33413771264,23622320128,27972202496,19237416960
200,1779468751245,40263.07208251953,18300,0,0.54375,365616.78619384766,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,49.80992126464844,46.1230583190918,0,0,40.25599670410156,47.27195739746094,0.00080108642578125,0.00766754150390625,0.0010528564453125,0.0010986328125,0.0010986328125,0.00115203857421875,59.29965591430664,40.1698112487793,63.642417907714844,58.71806716918945,67.30427551269531,58.08872604370117,43.46153259277344,32.09068298339844,33413771264,23622320128,28003184640,19245330432
200,1779468751446,8973.942031860352,18300,0,0.78125,365620.34771728516,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.638492584228516,50.5888557434082,0.2036285400390625,0.181121826171875,36.99497604370117,34.34252166748047,0.208221435546875,0.180877685546875,0.1995391845703125,0.18117523193359375,0.22832489013671875,0.20337677001953125,55.21062469482422,39.94122314453125,68.43172454833984,59.762691497802734,75.40038299560547,55.26960372924805,43.86054992675781,36.75727081298828,33413771264,23622320128,28012802048,19251093504
200,1779468751646,8974.366348266602,18300,0,0.78125,365623.82095336914,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,50.9051399230957,37.257659912109375,0.09421539306640625,0.107940673828125,43.156646728515625,39.802764892578125,0.098907470703125,0.10524749755859375,0.1056976318359375,0.0985565185546875,0.09841156005859375,0.0983123779296875,57.96133041381836,41.105979919433594,64.51494598388672,52.92147445678711,65.31210327148438,54.77447509765625,50.19422149658203,34.76106262207031,33413771264,23622320128,28016562176,19253039104
200,1779468751847,40404.279388427734,18300,0,0.78125,365627.02645874023,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,61.959835052490234,51.34984588623047,9.437423706054688,11.375747680664063,10.818130493164063,11.221939086914063,0,0,0,0,0,0,40.63204574584961,32.438072204589844,71.52293395996094,66.14320373535156,76.73308563232422,60.490577697753906,53.02644729614258,41.947940826416016,33413771264,23622320128,28039630848,19256193024
