Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779468756246,40413.48908996582,18300,0,0.775,365689.1797027588,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.20469665527344,80.2874984741211,34.577430725097656,96.17936706542969,53.628395080566406,58.20893859863281,33413771264,23622320128,27858669568,17929003008
199,1779468756246,11394.565155029297,42800,0,0.775,365689.2149505615,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,17.89647674560547,17.90282440185547,23.164810180664063,23.155288696289063,23.26001739501953,23.463134765625,23.45361328125,23.45361328125,23.44091796875,23.42823028564453,23.41870880126953,23.40918731689453,17.89965057373047,17.90282440185547,87.91139221191406,100,97.92122650146484,96.66444396972656,99.5017318725586,97.21666717529297,33413771264,23622320128,27858649088,17928871936
200,1779468756446,11394.741806030273,42800,0,0.78125,365692.2634124756,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,48.75033187866211,53.00654602050781,0.2391815185546875,0.20648956298828125,0.2391815185546875,0.19750213623046875,0.2391357421875,0.1975555419921875,0.25211334228515625,0.2146759033203125,0.2531585693359375,0.19750213623046875,28.22454071044922,19.588531494140625,63.80842590332031,66.6495132446289,74.20536041259766,67.8234634399414,46.3976936340332,55.537227630615234,33413771264,23622320128,27903766528,18573266944
200,1779468756646,40414.36030578613,18300,0,0.775,365694.9992980957,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,35.60760498046875,47.82088851928711,0.1781463623046875,0.178192138671875,0.1783447265625,0.1785430908203125,0.17848968505859375,0.1785888671875,0.19185638427734375,0.17899322509765625,0.17919158935546875,0.179290771484375,37.806114196777344,27.516647338867188,51.816890716552734,61.09629821777344,54.38849639892578,59.998512268066406,29.01201629638672,29.38256072998047,33413771264,23622320128,27918614528,18587234304
200,1779468756847,11394.995025634766,42800,0,0.7875,365697.6580505371,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,28.049545288085938,49.54547119140625,21.511138916015625,33.152923583984375,0.00005340576171875,0,0,0.02219390869140625,0,0.01590728759765625,0.01087188720703125,0,9.671455383300781,1.7602615356445313,39.699607849121094,56.979766845703125,49.50367736816406,54.40117263793945,45.10407638549805,30.72480010986328,33413771264,23622320128,27948335104,19229425664
199,1779468757047,11395.20443725586,42800,0,0.78125,365700.84729003906,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,54.863258361816406,54.8874626159668,47.31542205810547,50.81498718261719,0.184112548828125,0.11653900146484375,0.13790130615234375,0.11658477783203125,0.12506866455078125,0.11663818359375,0.11673736572265625,0.11673736572265625,0.1914520263671875,0.10935211181640625,61.460227966308594,67.36650848388672,69.79727172851563,69.01040649414063,50.4853401184082,52.3725471496582,33413771264,23622320128,27967406080,19242188800
200,1779468757247,40276.210189819336,18300,0,0.78125,365704.06495666504,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,47.383270263671875,56.711936950683594,3.7339096069335938,3.4488983154296875,12.418899536132813,10.740715026855469,0.5456695556640625,0.54571533203125,0.545867919921875,0.5460128784179688,0.5533828735351563,0.5462646484375,35.215370178222656,20.943382263183594,70.1995620727539,72.69831085205078,69.1557388305664,65.03279113769531,45.37102508544922,52.099246978759766,33413771264,23622320128,27995144192,19248443392
200,1779468757448,40276.71044921875,18300,0,0.78125,365707.5059661865,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,51.51518630981445,41.3656120300293,18.41534423828125,16.992660522460938,19.73998260498047,9.489524841308594,0.0500946044921875,0.0312347412109375,0.052490234375,0.03797149658203125,0.03781890869140625,0.0308837890625,52.02750015258789,42.90754318237305,48.697113037109375,69.8544921875,55.99797821044922,64.01492309570313,37.23043441772461,40.14554977416992,33413771264,23622320128,28005806080,19255336960
200,1779468757649,8420.89924621582,18300,0,0.5062500000000001,365710.97200012207,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,31.481338500976563,55.87141036987305,7.823661804199219,11.81988525390625,11.349563598632813,5.160438537597656,2.2518692016601563,2.96221923828125,0,0,0,0,38.10197830200195,25.665054321289063,56.636722564697266,79.20138549804688,59.27744674682617,65.32655334472656,18.861190795898438,16.245018005371094,33413771264,23622320128,28005343232,19256037376
199,1779468757849,40417.409729003906,18300,0,0.78125,365714.0393218994,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,28.801658630371094,39.10056686401367,2.6106796264648438,5.582450866699219,0.087554931640625,0.08765411376953125,0.08745574951171875,0.08760833740234375,0.09574127197265625,0.094635009765625,0.09417724609375,0.0885162353515625,17.118553161621094,42.8543701171875,47.17652130126953,71.11664581298828,43.18912124633789,63.35224151611328,21.272926330566406,39.8111686706543,33413771264,23622320128,28006633472,19256262656
199,1779468758049,8023.370895385742,42800,0,0.78125,365716.73178100586,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,9.481918334960938,11.840675354003906,21.865264892578125,38.87910842895508,2.8900985717773438,0.9726715087890625,0,0,0,0,0,0,10.530326843261719,8.9783935546875,60.304351806640625,48.330753326416016,54.362762451171875,59.73491287231445,32.83116149902344,43.0802001953125,33413771264,23622320128,28010123264,19254398976
200,1779468758249,11396.10563659668,42800,0,0.775,365719.3399963379,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,9.527931213378906,21.922569274902344,18.834609985351563,24.213363647460938,8.502883911132813,5.200035095214844,0.264892578125,0.25543212890625,0.25533294677734375,0.255279541015625,0.26136016845703125,0.25478363037109375,0.2548828125,0.2609100341796875,32.61876678466797,61.70037841796875,65.18557739257813,48.40610885620117,27.138595581054688,42.80166244506836,33413771264,23622320128,28015878144,19254079488
200,1779468758450,40279.40832519531,18300,0,0.775,365722.09519958496,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,28.228958129882813,42.980712890625,5.382110595703125,7.960304260253906,0,0,0,0,0,0,0,0,0,0,55.04271697998047,77.90789031982422,56.85661315917969,63.10636520385742,29.29798126220703,41.8822021484375,33413771264,23622320128,28019638272,19255492608
200,1779468758650,40279.94111633301,18300,0,0.78125,365724.9854736328,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,34.753173828125,36.57930374145508,0.9698486328125,3.836151123046875,0,0,0,0,0,0,0,0,0,0,60.152469635009766,63.15996170043945,64.28539276123047,51.306217193603516,35.40104675292969,48.7224006652832,33413771264,23622320128,28019494912,19256123392
