Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779468762258,8024.806167602539,42800,0,0.78125,365778.173828125,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,93.6598892211914,87.6519775390625,0,0,0,0,0,0,0,0,0,0,57.676719665527344,73.34970092773438,60.16970443725586,65.15957641601563,88.64761352539063,88.47907257080078,33413771264,23622320128,27835613184,17919840256
199,1779468762258,40288.37010192871,18300,0,0.7875,365778.20191955566,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,2.44769287109375,79.6078872680664,84.19581604003906,0,0,0,0,0,0,0,0,2.44769287109375,6.033378601074219,93.14007568359375,98.28701782226563,93.918701171875,90.49273681640625,94.66938018798828,91.64669799804688,33413771264,23622320128,27835707392,17919840256
200,1779468762458,8983.658157348633,18300,0,0.78125,365781.2487182617,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,59.08042907714844,41.75300216674805,0,0,0,0,0,0,1.8434906005859375,0,0,0,59.44339370727539,38.910011291503906,60.1195182800293,54.091590881347656,68.6590576171875,52.701499938964844,83.55751037597656,70.9629135131836,33413771264,23622320128,27874275328,18570264576
200,1779468762659,8428.27912902832,18300,0,0.78125,365784.1228027344,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,55.035152435302734,36.816776275634766,0.00514984130859375,0.00514984130859375,0.00514984130859375,0.00495147705078125,0.0048980712890625,0.0048980712890625,2.463958740234375,0.00475311279296875,0.07572174072265625,0.00479888916015625,59.3133544921875,42.70075607299805,65.20474243164063,48.03330612182617,56.384742736816406,51.7639274597168,75.22057342529297,69.8651123046875,33413771264,23622320128,27861364736,18559787008
199,1779468762859,7849.569778442383,18300,0,0.78125,365787.89111328125,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,65.13409423828125,67.86439514160156,30.05279541015625,30.815521240234375,57.16484069824219,53.756099700927734,0.49539947509765625,0.60589599609375,2.9694137573242188,0,0,0,80.37603759765625,62.069969177246094,79.94664764404297,81.63446044921875,74.61502075195313,78.7110366821289,84.16399383544922,74.76520538330078,33413771264,23622320128,27901681664,19237273600
200,1779468763059,7849.780685424805,42800,0,0.78125,365791.9489135742,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,63.70569610595703,55.70539093017578,58.87828063964844,72.0977783203125,65.58905029296875,63.127197265625,57.171783447265625,51.25116729736328,35.24275207519531,45.02362823486328,1.290496826171875,3.3749237060546875,57.13381576538086,52.813541412353516,73.76338195800781,69.649169921875,72.67013549804688,66.29812622070313,57.29893493652344,60.36275100708008,33413771264,23622320128,27907178496,19255283712
199,1779468763259,8429.477554321289,18300,0,0.78125,365795.3003845215,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,50.980255126953125,31.75574493408203,48.357666015625,32.78881072998047,46.03826904296875,28.043861389160156,4.35943603515625,4.8788299560546875,2.4223709106445313,0.289459228515625,0.30881500244140625,0.3067779541015625,15.944618225097656,3.82501220703125,70.2525405883789,53.2652587890625,53.53157424926758,52.58929443359375,54.49007797241211,46.51909255981445,33413771264,23622320128,27961798656,19261763584
200,1779468763460,8429.839874267578,18300,0,0.78125,365798.6454772949,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,60.76839065551758,15.784164428710938,32.50160217285156,25.746917724609375,4.2668304443359375,2.1768264770507813,2.61859130859375,3.0743865966796875,2.7332839965820313,0.23444366455078125,0.26876068115234375,0.2748565673828125,28.270889282226563,34.97721862792969,38.13927459716797,58.98751449584961,51.44792175292969,54.95797348022461,74.23944854736328,78.9948959350586,33413771264,23622320128,28054933504,19260170240
199,1779468763660,40431.668045043945,18300,0,0.775,365801.5910644531,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,26.774368286132813,24.117095947265625,22.808334350585938,25.50934600830078,0.08834075927734375,0.08889007568359375,0.08454132080078125,0.084991455078125,2.8242111206054688,0.12000274658203125,0.10337066650390625,0.13617706298828125,8.80816650390625,7.8552093505859375,48.01146697998047,51.00361633300781,42.34371566772461,68.06869506835938,52.784637451171875,47.99993133544922,33413771264,23622320128,28077858816,19263168512
199,1779468763860,8430.36164855957,18300,0,0.78125,365804.71418762207,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,30.64543914794922,45.56971740722656,25.93230438232422,11.640296936035156,0.3154144287109375,0.3159637451171875,0.3037261962890625,0.303375244140625,2.8549270629882813,0.29228973388671875,0.29738616943359375,0.29209136962890625,33.975059509277344,12.927055358886719,27.103225708007813,61.900184631347656,50.651092529296875,81.86294555664063,73.99490356445313,85.36502075195313,33413771264,23622320128,28100411392,19263582208
