Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779468768234,40304.55772399902,18300,0,0.78125,365876.2400817871,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,34.59825134277344,13.954208374023438,100,67.29292297363281,76.44847106933594,100,0,0,0,0,0,0,57.690635681152344,0,8.855247497558594,57.88174057006836,18.878204345703125,59.81013870239258,0,11.955078125,33413771264,23622320128,27666894848,17941680128
200,1779468768235,40304.56393432617,18300,0,0.78125,365876.2933807373,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,34.1201171875,39.83097457885742,100,50.93764114379883,100,100,0,0,0,0,0,0,9.711456298828125,19.832977294921875,43.03645706176758,22.53838348388672,30.624595642089844,58.688804626464844,100,17.95269012451172,33413771264,23622320128,27667677184,17941155840
199,1779468768435,8990.025604248047,18300,0,0.78125,365879.6577758789,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,40.10708999633789,57.111637115478516,29.13561248779297,26.16063690185547,42.71186065673828,55.7177619934082,0.1121826171875,0.21938323974609375,3.103668212890625,0.0540008544921875,0.10066986083984375,0.2537841796875,64.14564514160156,43.211551666259766,48.779483795166016,69.84839630126953,59.67621994018555,63.942264556884766,69.31564331054688,67.12022399902344,33413771264,23622320128,27721244672,18603458560
199,1779468768635,40444.475341796875,18300,0,0.78125,365883.341796875,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,51.726112365722656,45.01081466674805,44.69791030883789,44.882442474365234,68.80469512939453,59.625328063964844,0.0933685302734375,0.0932159423828125,2.3873443603515625,0.1063079833984375,0.10515594482421875,0.104705810546875,53.60438537597656,45.727783203125,61.5235595703125,58.79462814331055,63.88006591796875,61.830848693847656,67.52639770507813,63.103572845458984,33413771264,23622320128,27694403584,18611281920
200,1779468768835,40305.921875,18300,0,0.6375,365887.26275634766,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,53.22905731201172,35.29081726074219,0,0.10921478271484375,81.47200012207031,83.08672332763672,0.13006591796875,0,2.5311279296875,0,0.02616119384765625,0.01203155517578125,62.19429016113281,37.488197326660156,58.578857421875,52.529624938964844,57.12611770629883,53.04466247558594,73.22663879394531,70.31208801269531,33413771264,23622320128,27689840640,19255959552
200,1779468769036,40445.702056884766,18300,0,0.54375,365892.065032959,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,56.14142990112305,51.43203353881836,26.210494995117188,29.032363891601563,76.16345977783203,75.76193237304688,0.118316650390625,0.151580810546875,2.2758407592773438,0.0545654296875,0.12235260009765625,0.13671875,64.17822265625,46.64422607421875,65.86109924316406,66.08061981201172,64.96043395996094,63.66237258911133,60.2595100402832,59.979339599609375,33413771264,23622320128,27701096448,19280306176
200,1779468769236,7268.750625610352,14700,0,0.54375,365898.513092041,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,70.52582550048828,66.09298706054688,79.2297134399414,75.93889617919922,75.54132843017578,69.41478729248047,33.28504180908203,30.365699768066406,9.469993591308594,6.758544921875,0.29828643798828125,0.30023193359375,72.37738037109375,69.63469696044922,82.51434326171875,85.01191711425781,87.06392669677734,79.29232788085938,74.99942779541016,65.15242004394531,33413771264,23622320128,27719704576,19284455424
199,1779468769436,8993.126739501953,18300,0,0.54375,365904.3141784668,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.99271774291992,51.00752639770508,47.49378204345703,55.931610107421875,30.35376739501953,30.521377563476563,33.801109313964844,46.713111877441406,23.09992218017578,36.5031852722168,0.0937042236328125,0.0751495361328125,65.16580963134766,41.99008560180664,74.14080047607422,57.5202522277832,65.33660888671875,65.03245544433594,58.79823684692383,57.52195358276367,33413771264,23622320128,27708084224,19283943424
199,1779468769637,8441.934005737305,18300,0,0.6875,365909.05180358887,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,53.083160400390625,52.15275192260742,38.696746826171875,34.85301971435547,26.763778686523438,20.563156127929688,0.237274169921875,0.23792266845703125,4.0511016845703125,0.183990478515625,0.24713897705078125,0.2532501220703125,56.956886291503906,53.46636199951172,65.80842590332031,60.51787185668945,63.41781997680664,65.811279296875,83.86934661865234,78.37508392333984,33413771264,23622320128,27701051392,19285151744
199,1779468769837,8442.533905029297,18300,0,0.55,365913.8066253662,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.24147033691406,49.174034118652344,12.21490478515625,12.619285583496094,76.03250885009766,77.37151336669922,0.0324859619140625,0.032989501953125,3.6783065795898438,0,0.0505828857421875,0.0355377197265625,48.083126068115234,53.448055267333984,62.86933898925781,62.74074172973633,63.344295501708984,68.36016845703125,62.70805358886719,64.55940246582031,33413771264,23622320128,27698610176,19287412736
