Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779468774254,11410.058242797852,42800,0,0.78125,365985.5773010254,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,4.529441833496094,4.52001953125,22.86986541748047,34.76775360107422,56.5102653503418,65.32648468017578,3.687164306640625,3.6824569702148438,3.6800994873046875,3.6765670776367188,3.6742095947265625,3.66949462890625,4.517662048339844,4.5129547119140625,84.22999572753906,21.849708557128906,37.72338104248047,67.84388732910156,21.85559844970703,44.41447067260742,33413771264,23622320128,27388133376,18024017920
200,1779468774254,8029.8267822265625,42800,0,0.7875,365985.6018066406,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,14.439865112304688,14.417930603027344,82.70462036132813,72.92306518554688,100,81.66505432128906,11.4527587890625,11.443984985351563,11.448371887207031,11.439598083496094,11.443984985351563,11.426437377929688,14.409156799316406,14.404769897460938,85.85401916503906,73.74769592285156,81.64312744140625,92.7362060546875,78.69111633300781,88.75340270996094,33413771264,23622320128,27387736064,18024017920
200,1779468774454,8450.66096496582,18300,0,0.78125,365988.5796966553,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,30.827171325683594,45.81040573120117,41.48701477050781,40.56495666503906,10.652427673339844,12.451019287109375,0,0,0,0,0,0,22.3760986328125,19.11382293701172,51.17652130126953,68.47791290283203,56.245361328125,65.15217590332031,35.5113525390625,48.185611724853516,33413771264,23622320128,27434188800,18662203392
199,1779468774654,11410.37124633789,42800,0,0.78125,365991.36517333984,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,21.979408264160156,44.18136978149414,1.2777862548828125,1.3689117431640625,0,0,0,0,0,0,0,0,55.72085952758789,33.05706787109375,39.28644943237305,61.85990905761719,42.63994216918945,60.30030822753906,37.90190887451172,36.294620513916016,33413771264,23622320128,27458715648,19301142528
200,1779468774855,40460.675704956055,18300,0,0.78125,365994.0089111328,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.24300384521484375,0.247955322265625,31.317001342773438,37.96649169921875,10.575775146484375,12.842964172363281,0.243255615234375,0.24330902099609375,0.25080108642578125,0.24335479736328125,0.24335479736328125,0.2434539794921875,36.86069107055664,18.612159729003906,38.0327262878418,64.41937255859375,42.43632507324219,64.66838073730469,28.80675506591797,27.639923095703125,33413771264,23622320128,27471765504,19317542912
199,1779468775055,8451.266189575195,18300,0,0.78125,365997.3112182617,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,36.9334831237793,47.43073654174805,43.073570251464844,53.66733169555664,0.3417510986328125,0.15097808837890625,0.6618576049804688,1.2672500610351563,0,0,0,0,57.9547233581543,57.85626983642578,69.61827850341797,72.4644546508789,66.39852905273438,75.38180541992188,1.9129409790039063,0,33413771264,23622320128,27495485440,19324297216
199,1779468775255,40461.70068359375,18300,0,0.78125,366001.0173034668,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,41.50594711303711,62.13720703125,35.28816223144531,58.57424545288086,0.0735321044921875,0.08148956298828125,30.016204833984375,50.13312530517578,0.0597686767578125,0.05947113037109375,0.05936431884765625,0.0592193603515625,53.30804443359375,47.60249328613281,59.895450592041016,70.94049072265625,69.42510986328125,68.64442443847656,2.4469375610351563,0.06792449951171875,33413771264,23622320128,27522093056,19333922816
200,1779468775455,9004.29672241211,18300,0,0.78125,366004.65406799316,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.94795227050781,62.85087966918945,46.74848175048828,57.83403778076172,0,0,23.36962890625,21.157379150390625,0,0,0,0,65.448486328125,52.308650970458984,73.71702575683594,68.52597045898438,68.8583984375,76.33482360839844,3.1931076049804688,0,33413771264,23622320128,27501113344,19269877760
199,1779468775656,40462.76329040527,18300,0,0.5125,366007.9412689209,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,4.61175537109375,5.9187469482421875,43.71961212158203,58.957061767578125,0.060699462890625,0.08365631103515625,53.0664176940918,48.70753479003906,0.20435333251953125,0.15872955322265625,0.022857666015625,0.025909423828125,53.78205871582031,30.392684936523438,44.6986083984375,59.41828155517578,43.82249069213867,57.77256393432617,44.99775314331055,43.80931091308594,33413771264,23622320128,27502460928,19274047488
201,1779468775856,40463.21464538574,18300,0,0.78125,366011.0969696045,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,21.762954711914063,32.22376251220703,18.914398193359375,18.829208374023438,0.49554443359375,0.41650390625,4.1306915283203125,3.623504638671875,0.5335159301757813,0.48870086669921875,0.37168121337890625,0.610565185546875,58.23692321777344,38.42531967163086,47.82598114013672,63.9073600769043,63.91525650024414,58.48554611206055,27.061561584472656,30.64354705810547,33413771264,23622320128,27500109824,19270008832
197,1779468776059,11410.99819946289,42800,0,0.78125,366014.03173828125,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.26513671875,0.10698699951171875,26.069366455078125,13.558082580566406,0.08985137939453125,0.09392547607421875,0.12142181396484375,0.09009552001953125,0.10321044921875,0.0826873779296875,0.1415557861328125,0.10178375244140625,52.89516067504883,27.417396545410156,67.64071655273438,48.04819107055664,46.73914337158203,56.85887908935547,39.98592758178711,30.351890563964844,33413771264,23622320128,27493658624,19267858432
200,1779468776258,40464.27671813965,18300,0,0.78125,366016.9876098633,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,21.320533752441406,25.689224243164063,10.900466918945313,14.522232055664063,16.558563232421875,13.901046752929688,0,0,0,0,0,0,47.45701599121094,21.032974243164063,55.01947784423828,46.669342041015625,40.81875991821289,63.78351593017578,42.614768981933594,35.677650451660156,33413771264,23622320128,27501043712,19269206016
200,1779468776458,9006.256851196289,18300,0,0.78125,366020.2367858887,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,20.05408477783203,30.092025756835938,0.00984954833984375,0.01714324951171875,0.01753997802734375,0.02019500732421875,0.0107421875,0.0010986328125,0.02709197998046875,0.020294189453125,0.02069091796875,0,68.25947570800781,43.415771484375,70.53565979003906,68.69149017333984,60.16530990600586,62.880306243896484,20.238258361816406,9.874656677246094,33413771264,23622320128,27501228032,19270049792
200,1779468776658,8453.072204589844,18300,0,0.775,366023.3814544678,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,20.171173095703125,19.527015686035156,0.24007415771484375,0.248809814453125,0.23248291015625,0.24192047119140625,0.23262786865234375,0.24237060546875,0.24286651611328125,0.23282623291015625,0.25130462646484375,0.24192047119140625,57.344093322753906,41.15380096435547,58.88435745239258,56.91973876953125,82.22514343261719,52.431549072265625,26.64954376220703,35.413665771484375,33413771264,23622320128,27499040768,19270447104
199,1779468776859,40326.316818237305,18300,0,0.775,366026.1946105957,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,5.578277587890625,10.771347045898438,18.24462127685547,14.971939086914063,13.340591430664063,7.263221740722656,0.11023712158203125,0.11029052734375,0.12041473388671875,0.11023712158203125,0.11023712158203125,0.11023712158203125,38.79793167114258,25.897842407226563,58.77909851074219,62.87618637084961,74.47962951660156,58.05828857421875,7.492485046386719,3.6681671142578125,33413771264,23622320128,27499106304,19270447104
200,1779468777059,40466.35273742676,18300,0,0.775,366029.06507873535,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.1405487060546875,0.293487548828125,0.2255401611328125,0.1399993896484375,0.13970184326171875,0.15573883056640625,0.13935089111328125,0.13915252685546875,0.1470489501953125,0.1387481689453125,0.1500396728515625,0.13790130615234375,63.19047546386719,28.600318908691406,50.764530181884766,53.51342010498047,61.928775787353516,48.89091491699219,65.68844604492188,51.40812301635742,33413771264,23622320128,27498102784,19271086080
200,1779468777259,40327.37760925293,18300,0,0.78125,366031.8442993164,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.14550018310546875,0.35396575927734375,0.1690673828125,0.33568572998046875,0.20751190185546875,0.16912078857421875,0.16912078857421875,0.16936492919921875,0.24102020263671875,0.177703857421875,0.25550079345703125,0.19388580322265625,59.161869049072266,25.671104431152344,39.41707992553711,60.988563537597656,61.2426643371582,52.68701171875,55.596866607666016,65.62174987792969,33413771264,23622320128,27511033856,19274473472
200,1779468777460,9008.213485717773,18300,0,0.78125,366034.837890625,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,63.34772491455078,27.877700805664063,53.79010772705078,53.538002014160156,58.739013671875,58.910438537597656,41.63626480102539,46.47105407714844,33413771264,23622320128,27511132160,19273465856
199,1779468777660,40467.85134887695,18300,0,0.78125,366037.5166015625,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.31048583984375,0.4119720458984375,29.4599609375,31.830062866210938,0.25772857666015625,0.27275848388671875,0.257476806640625,0.2574310302734375,0.2754974365234375,0.26633453369140625,0.27459716796875,0.257080078125,14.34759521484375,5.3698883056640625,60.00587463378906,74.12630462646484,68.60340881347656,65.43932342529297,7.8630828857421875,7.7103271484375,33413771264,23622320128,27510583296,19272245248
200,1779468777860,40329.03871154785,18300,0,0.78125,366040.6756591797,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,21.01903533935547,31.06494140625,10.658447265625,13.632469177246094,6.232963562011719,6.940299987792969,0.23468017578125,0.23458099365234375,0.2344818115234375,0.278594970703125,0.2344818115234375,0.23438262939453125,47.35714340209961,23.664779663085938,59.89097213745117,69.67271423339844,71.04955291748047,52.2959098815918,25.226417541503906,31.988540649414063,33413771264,23622320128,27514388480,19276423168
200,1779468778061,11412.317764282227,42800,0,0.7875,366043.64988708496,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,7.6763153076171875,26.821754455566406,12.905128479003906,23.12445831298828,0.0447540283203125,0.06247711181640625,0.04445648193359375,0.04434967041015625,0.06092071533203125,0.04425048828125,0.05146026611328125,0.043853759765625,36.709842681884766,10.282112121582031,56.5845947265625,61.13570022583008,45.86576461791992,57.22645568847656,33.702171325683594,43.18503189086914,33413771264,23622320128,27511418880,19274854400
200,1779468778261,9009.260330200195,18300,0,0.7875,366046.4233703613,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.1352081298828125,0,0.3425750732421875,1.9761962890625,0,0,0,0,0.00135040283203125,0,0,0,46.383331298828125,36.940032958984375,54.882511138916016,61.036216735839844,51.8261833190918,63.53900146484375,39.14979553222656,55.00847244262695,33413771264,23622320128,27515707392,19272921088
199,1779468778461,40470.005798339844,18300,0,0.78125,366049.2118988037,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3.656890869140625,13.727035522460938,0,0,0,0,0,0.0185089111328125,0,0,0,0,61.0473747253418,35.722938537597656,56.249210357666016,60.11319351196289,57.32365417480469,58.766719818115234,10.159637451171875,5.962348937988281,33413771264,23622320128,27515760640,19273945088
199,1779468778662,9010.202239990234,18300,0,0.775,366053.01722717285,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,53.9312858581543,48.67621612548828,0.35884857177734375,0.44341278076171875,0.390289306640625,0.41132354736328125,19.090309143066406,19.351287841796875,0.38156890869140625,0.336273193359375,0.3454437255859375,0.346038818359375,72.00316619873047,64.70942687988281,77.08965301513672,76.83795166015625,79.89618682861328,66.37200927734375,68.27656555175781,65.20681762695313,33413771264,23622320128,27675295744,19471601664
