Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779553524071,38345.70539855957,18300,0,0.775,81731.54463195801,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2.8493728637695313,2.8441085815429688,2.6492919921875,2.8274307250976563,2.645782470703125,2.645782470703125,70.64016723632813,67.08438110351563,55.33324432373047,40.41595458984375,2.5044937133789063,2.5009841918945313,2.8414688110351563,2.838836669921875,73.29472351074219,64.50440979003906,86.35689544677734,88.54811096191406,2.8379592895507813,2.6510467529296875,33413771264,24702238720,27095875584,20250476544
199,1779553524071,7452.8651123046875,18300,2,0.78125,81731.56777954102,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,22.94316864013672,22.917404174804688,21.004669189453125,20.995010375976563,20.9853515625,20.795364379882813,74.74158477783203,84.1732406616211,96.76702880859375,61.352439880371094,21.09161376953125,21.085174560546875,23.915634155273438,23.92529296875,78.53485870361328,86.42086791992188,96.14554595947266,64.6981201171875,21.020767211914063,21.007888793945313,33413771264,24702238720,27094913024,20249464832
200,1779553524271,7147.411392211914,18300,0,0.78125,81734.6290435791,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,22.75786590576172,23.82459259033203,0,0,0,0,48.23691177368164,55.67148208618164,0,0,0,0,47.84808349609375,47.83095169067383,66.04080200195313,60.42641067504883,66.56614685058594,59.00627899169922,0,0,33413771264,24702238720,27139502080,20892266496
199,1779553524472,7702.682525634766,42800,0,0.78125,81737.70832824707,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,19.544227600097656,16.70288848876953,0.199371337890625,0.20806121826171875,0.19922637939453125,0.199127197265625,22.989532470703125,23.653778076171875,0.2495269775390625,0.2159423828125,0.2159423828125,0.2159423828125,59.11991882324219,59.38157653808594,75.93180847167969,68.69485473632813,73.66008758544922,66.224365234375,16.328094482421875,14.86260986328125,33413771264,24702238720,27171774464,21531156480
200,1779553524672,7147.782638549805,18300,0,0.51875,81741.11581420898,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,28.34026336669922,27.382232666015625,0.45249176025390625,0.5179443359375,0.45249176025390625,0.5835952758789063,0.5018997192382813,0.4525909423828125,0.45263671875,0.5378646850585938,0.46593475341796875,0.45263671875,60.604286193847656,62.99449920654297,72.14654541015625,61.40406036376953,71.38488006591797,56.82556915283203,51.82343292236328,50.519859313964844,33413771264,24702238720,27202629632,21553102848
200,1779553524872,38347.801513671875,18300,0,0.78125,81744.71830749512,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,52.383888244628906,51.95335006713867,0,0,0,0,0,0,0,0,7.9937896728515625,7.427513122558594,63.312774658203125,56.07257843017578,70.7401351928711,66.21463012695313,71.23839569091797,64.67774963378906,49.713497161865234,49.90888214111328,33413771264,24702238720,27219521536,21566177280
200,1779553525073,7703.316665649414,42800,0,0.78125,81748.66682434082,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,49.651180267333984,49.831520080566406,0.6472396850585938,0.6653671264648438,46.014644622802734,39.908111572265625,0.6359939575195313,0.6368484497070313,0.6502838134765625,0.6422882080078125,61.20302200317383,72.42635345458984,47.57223892211914,59.11634063720703,75.54039001464844,55.800724029541016,76.76677703857422,61.74015426635742,73.87004852294922,74.29737854003906,33413771264,24702238720,27248943104,21571489792
200,1779553525273,5310.986480712891,42800,0,0.78125,81752.1763305664,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,48.582401275634766,52.886600494384766,0.01992034912109375,0.00165557861328125,46.486412048339844,52.952022552490234,0.09400177001953125,0,0,0,32.99958801269531,44.406742095947266,42.274715423583984,45.877498626708984,59.91447830200195,61.35599899291992,67.48504638671875,53.35280990600586,52.77573013305664,53.925838470458984,33413771264,24702238720,27256909824,21577998336
199,1779553525474,38349.18711853027,18300,0,0.78125,81755.15155029297,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,45.13594436645508,33.850425720214844,0,0,26.27283477783203,22.809226989746094,0,0,0,0,8.516075134277344,9.186386108398438,43.036258697509766,39.34716796875,56.14274215698242,43.85685729980469,56.4471321105957,45.809120178222656,34.6639404296875,26.09436798095703,33413771264,24702238720,27257081856,21578395648
200,1779553525674,7456.077911376953,18300,0,0.775,81757.89445495605,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.42083740234375,45.88833999633789,0.7131195068359375,0.6298294067382813,7.5766143798828125,7.2349395751953125,0.584228515625,0.57855224609375,0.5886077880859375,0.6326675415039063,0.64202880859375,0.5785980224609375,47.814517974853516,41.647560119628906,51.462406158447266,45.42384719848633,56.14995574951172,48.86577606201172,9.173164367675781,6.421257019042969,33413771264,24702238720,27258871808,21579685888
