Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779553530916,38308.74984741211,18300,0,0.78125,81832.88981628418,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,26.769943237304688,0,23.352081298828125,17.51464080810547,0,0,44.06842803955078,27.197608947753906,0,0,4.0430908203125,0,34.675994873046875,4.1790618896484375,56.75436782836914,100,46.55541229248047,20.223594665527344,3.8327407836914063,0.9099578857421875,33413771264,24702238720,27152240640,20328235008
200,1779553530916,5311.405868530273,42800,0,0.78125,81832.98190307617,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1.4750900268554688,1.4204635620117188,30.742813110351563,34.641273498535156,51.57948303222656,68.37329864501953,63.6163215637207,47.96394348144531,0,0,40.282142639160156,71.32933807373047,34.63152313232422,26.323387145996094,51.862403869628906,58.60568618774414,89.35630798339844,16.469924926757813,30.188682556152344,7.8593597412109375,33413771264,24702238720,27152896000,20328235008
200,1779553531116,38309.230377197266,18300,0,0.78125,81836.00205993652,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.177581787109375,0.07500457763671875,27.101287841796875,28.033615112304688,30.12602996826172,27.52391815185547,30.391273498535156,31.954833984375,0.2454986572265625,0.1190338134765625,7.5237274169921875,4.4977874755859375,34.72888946533203,33.0286865234375,69.22593688964844,38.65120315551758,66.27360534667969,55.19060516357422,31.25489044189453,26.047225952148438,33413771264,24702238720,27209400320,20982140928
199,1779553531317,38361.324279785156,18300,0,0.78125,81839.56977844238,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,37.663856506347656,50.98933792114258,51.07940673828125,51.40019226074219,18.780181884765625,22.304344177246094,2.099029541015625,2.0783920288085938,0.5363845825195313,0.5111160278320313,0.5272293090820313,0.5509567260742188,56.78143310546875,57.37620162963867,63.22892379760742,65.84161376953125,61.53084945678711,65.6012954711914,56.20207977294922,52.491756439208984,33413771264,24702238720,27249995776,21622771712
199,1779553531517,38310.21073913574,18300,0,0.78125,81843.25164794922,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,41.50328063964844,39.56864547729492,54.938724517822266,55.00672912597656,6.935455322265625,7.262016296386719,0,0,0,0,0,0,49.67329406738281,51.55885696411133,56.49673080444336,65.39872741699219,66.67639923095703,66.0478286743164,60.07936096191406,53.364192962646484,33413771264,24702238720,27230339072,21611855872
200,1779553531717,5496.142791748047,42800,0,0.78125,81846.83787536621,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,50.194644927978516,58.878692626953125,31.0279541015625,29.22734832763672,0,0,0,0,0,0,0,0,47.660057067871094,53.40827178955078,63.59278106689453,66.526611328125,65.45968627929688,61.72020721435547,48.54682540893555,42.34307098388672,33413771264,24702238720,27254198272,21618491392
199,1779553531918,7155.782623291016,18300,0,0.78125,81850.47337341309,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,51.65458297729492,52.00294494628906,3.2542953491210938,1.9676513671875,0.0905914306640625,0.09844207763671875,0.0909881591796875,0.091094970703125,0.0988922119140625,0.0912933349609375,22.837570190429688,19.251678466796875,58.0243034362793,46.891849517822266,70.91636657714844,60.98926544189453,72.14297485351563,66.51429748535156,54.58537673950195,53.88395690917969,33413771264,24702238720,27283513344,21630734336
200,1779553532118,4748.1124267578125,42800,0,0.78125,81853.54956054688,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,39.210784912109375,32.113121032714844,0,0,0,0,6.386665344238281,5.37689208984375,7.889251708984375,8.675682067871094,23.376541137695313,23.942779541015625,36.872982025146484,28.630760192871094,72.06981658935547,45.01953125,69.41075134277344,41.70256042480469,29.958694458007813,25.246421813964844,33413771264,24702238720,27290677248,21629415424
199,1779553532318,4748.219177246094,42800,0,0.78125,81856.18818664551,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.06024932861328125,0.0490264892578125,0.0527191162109375,0.095916748046875,0.07341766357421875,0.09765625,35.33280944824219,38.27147674560547,17.787506103515625,28.995262145996094,0.05870819091796875,0.22649383544921875,0.0697784423828125,0.04907989501953125,61.18571090698242,50.19277572631836,68.52179718017578,43.937923431396484,0.064788818359375,0.05277252197265625,33413771264,24702238720,27289374720,21629435904
199,1779553532519,38364.353439331055,18300,0,0.78125,81859.1082611084,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,43.526466369628906,41.69095993041992,18.621910095214844,21.194496154785156,0,0,30.059829711914063,25.130142211914063,70.1678695678711,49.83501434326172,51.41999053955078,68.65064239501953,0,0,33413771264,24702238720,27285516288,21625909248
