Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779553544167,38395.24676513672,18300,0,0.775,82030.65855407715,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3.40093994140625,3.3963623046875,3.5199127197265625,3.3588409423828125,3.3570098876953125,3.3560943603515625,49.91762924194336,62.4615592956543,35.474632263183594,24.98352813720703,3.2847061157226563,3.2782974243164063,3.39453125,3.39178466796875,31.528228759765625,35.17169189453125,61.65983200073242,57.29425811767578,3.3652420043945313,3.3643264770507813,33413771264,24702238720,27130368000,20244402176
200,1779553544168,38395.26124572754,18300,0,0.78125,82030.72819519043,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,6.46392822265625,6.462188720703125,5.93035888671875,5.926872253417969,5.9251251220703125,5.921638488769531,83.72247314453125,88.9065170288086,5.754241943359375,5.754241943359375,5.752494812011719,5.752494812011719,6.46392822265625,6.465675354003906,98.66606140136719,97.47510528564453,83.08601379394531,93.60233306884766,5.933845520019531,5.932098388671875,33413771264,24702238720,27130200064,20244402176
200,1779553544368,7481.586227416992,18300,0,0.78125,82033.89796447754,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,45.12053298950195,43.479007720947266,0,0,0,0,12.175567626953125,13.870086669921875,9.460479736328125,9.529350280761719,0,0,48.2833251953125,48.70533752441406,78.16250610351563,64.9322509765625,74.29953002929688,64.26637268066406,35.932655334472656,42.57688522338867,33413771264,24702238720,27182686208,20890087424
200,1779553544569,7712.395584106445,42800,0,0.78125,82036.94706726074,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,37.49039840698242,35.63939666748047,0,0,0,0,3.3977203369140625,0.6537017822265625,1.9241180419921875,0.5671463012695313,0,0,33.93975830078125,36.621864318847656,58.63363265991211,54.88494873046875,51.1192741394043,58.474918365478516,42.568668365478516,35.819244384765625,33413771264,24702238720,27221901312,21539094528
200,1779553544769,38347.153244018555,18300,0,0.78125,82040.31590270996,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,28.13245391845703,31.454803466796875,0,0,0,0,51.12966537475586,56.75492858886719,10.622955322265625,12.528114318847656,5.779624938964844,6.198814392089844,44.22666931152344,39.446197509765625,69.81876373291016,64.19676208496094,62.918479919433594,70.20263671875,11.824333190917969,11.375648498535156,33413771264,24702238720,27226329088,21544529920
200,1779553544970,38397.23709106445,18300,0,0.78125,82044.01518249512,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.21805953979492,50.66100311279297,2.2938156127929688,1.1979217529296875,0.14324188232421875,0.2311553955078125,48.18258285522461,47.60188293457031,0.16060638427734375,0.149078369140625,57.21426010131836,54.38988494873047,51.20692825317383,50.20259094238281,60.28779983520508,68.12250518798828,54.58217239379883,67.48133087158203,0.1553192138671875,0.15526580810546875,33413771264,24702238720,27253284864,21554393088
200,1779553545170,4322.880279541016,42800,0,0.775,82047.65347290039,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,50.01686096191406,35.212921142578125,29.82947540283203,25.32189178466797,0.5554428100585938,0.5553970336914063,43.534706115722656,33.55439758300781,0.5638046264648438,0.5550994873046875,42.18785095214844,30.198394775390625,51.63460159301758,31.310775756835938,64.14851379394531,61.27474594116211,61.87261962890625,49.81233215332031,0.5534591674804688,0.5502700805664063,33413771264,24702238720,27273777152,21561901056
200,1779553545371,38348.60827636719,18300,0,0.78125,82050.90267944336,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,45.15202713012695,41.62248611450195,0.15906524658203125,0.167144775390625,0.1582183837890625,0.20714569091796875,48.11514663696289,44.91889572143555,0.15682220458984375,0.2279510498046875,18.05432891845703,9.108413696289063,53.91423416137695,47.445716857910156,59.97015380859375,59.83717346191406,62.74128341674805,51.744144439697266,0.15891265869140625,0.15836334228515625,33413771264,24702238720,27288104960,21564334080
200,1779553545571,38398.73342895508,18300,0,0.78125,82054.54600524902,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,63.82356643676758,56.111122131347656,36.15631103515625,38.23537063598633,0.27048492431640625,0.27158355712890625,73.26953125,73.13101959228516,0.287567138671875,0.3035888671875,63.13868713378906,73.52154541015625,69.39054107666016,69.0709228515625,73.33564758300781,72.36734771728516,79.11418914794922,77.1861801147461,0.28491973876953125,0.28382110595703125,33413771264,24702238720,27294597120,21568507904
196,1779553545775,38349.53871154785,18300,0,0.78125,82058.00511169434,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,37.61874008178711,36.180301666259766,29.98053741455078,32.05780792236328,0,0,47.74413299560547,55.90529251098633,0,0,54.853111267089844,65.8272705078125,53.734214782714844,43.79243469238281,65.3698959350586,55.19955062866211,66.30087280273438,44.27440643310547,6.698219299316406,6.559898376464844,33413771264,24702238720,27301965824,21562232832
200,1779553545972,38399.60124206543,18300,0,0.51875,82061.27629089355,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,37.34838104248047,33.868560791015625,32.44654846191406,30.568336486816406,2.5626907348632813,2.992828369140625,35.101966857910156,38.4564208984375,13.31365966796875,14.759681701660156,34.31293487548828,32.382652282714844,51.93488311767578,44.48721694946289,52.508541107177734,56.02773666381836,55.011348724365234,57.20686721801758,40.867733001708984,42.16791915893555,33413771264,24702238720,27307683840,21566582784
200,1779553546172,7163.91943359375,18300,0,0.68125,82064.58232116699,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,22.774757385253906,20.819786071777344,31.022438049316406,32.955116271972656,1.7716064453125,1.0402297973632813,4.151206970214844,1.0427780151367188,1.2024002075195313,1.984466552734375,0.361236572265625,1.0389251708984375,50.7756462097168,51.45033264160156,59.73085403442383,60.92665481567383,54.74233627319336,68.6366195678711,54.382694244384766,53.88692855834961,33413771264,24702238720,27325632512,21578522624
200,1779553546373,38400.687438964844,18300,0,0.51875,82068.70515441895,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,60.3498420715332,68.76033020019531,0.14220428466796875,0.1663360595703125,10.400779724121094,8.826301574707031,3.1036376953125,0.10068511962890625,0.110076904296875,0.10073089599609375,54.36091232299805,56.861412048339844,63.14369201660156,72.66172790527344,72.00357055664063,84.26483917236328,70.55091094970703,79.0261001586914,68.92711639404297,71.07120513916016,33413771264,24702238720,27330576384,21574098944
199,1779553546573,38401.12348937988,18300,0,0.78125,82071.73371887207,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,21.604270935058594,19.796859741210938,3.6291732788085938,2.2525787353515625,8.8428955078125,8.350128173828125,4.1984405517578125,0,0,0,10.257392883300781,8.104820251464844,48.61097717285156,37.252197265625,58.355804443359375,53.247432708740234,57.66143035888672,58.110496520996094,29.964706420898438,23.84210205078125,33413771264,24702238720,27329572864,21579370496
