Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779553557556,38380.52275085449,18300,0,0.775,82236.1223449707,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3.0259323120117188,3.0180206298828125,2.7876205444335938,2.7779464721679688,2.7788314819335938,2.7753143310546875,2.7858657836914063,2.7911376953125,89.06143951416016,70.70182800292969,2.7093582153320313,2.8764419555664063,3.0145034790039063,3.0092239379882813,73.35842895507813,85.63803100585938,81.62895202636719,65.56363677978516,3.0646286010742188,2.9116134643554688,33413771264,24702238720,27126358016,20225826816
200,1779553557557,38380.527572631836,18300,0,0.78125,82236.14538574219,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2.66644287109375,2.6103057861328125,1.0553512573242188,1.0441207885742188,1.02728271484375,1.0104446411132813,0.9992141723632813,0.9823760986328125,97.08094787597656,100,1.5774078369140625,1.5212783813476563,2.5878524780273438,2.554168701171875,90.83866882324219,100,77.74784088134766,71.10137939453125,1.0778045654296875,1.0609664916992188,33413771264,24702238720,27126390784,20226879488
200,1779553557757,38429.51307678223,18300,0,0.78125,82239.24307250977,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,56.33741760253906,60.44631576538086,0.341522216796875,0.3421173095703125,0.42197418212890625,0.33673858642578125,0.33788299560546875,0.33953094482421875,59.541236877441406,69.16793060302734,0.34694671630859375,0.3468475341796875,35.16474914550781,28.23088836669922,74.97930145263672,71.7554702758789,69.5361328125,67.48272705078125,0.35013580322265625,0.3434600830078125,33413771264,24702238720,27179659264,20872601600
199,1779553557957,38429.94396972656,18300,0,0.775,82242.45462036133,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.85600662231445,51.70518493652344,0.29691314697265625,0.2965087890625,0.2920684814453125,0.29181671142578125,0.29241943359375,0.2946624755859375,65.98171997070313,62.795005798339844,0.305450439453125,0.29456329345703125,53.65681838989258,52.42638397216797,56.93360900878906,60.0897102355957,58.51118850708008,64.96925354003906,0.29526519775390625,0.3034515380859375,33413771264,24702238720,27216072704,21518749696
199,1779553558158,4754.372360229492,42800,0,0.78125,82245.8048248291,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,43.63151931762695,55.94957733154297,0.01648712158203125,0.02972412109375,0.01448822021484375,0.026031494140625,0.013092041015625,0.014434814453125,66.16880798339844,67.45694732666016,0.0357208251953125,0.025726318359375,56.47314453125,51.80833435058594,54.84588623046875,65.2286376953125,61.5521125793457,58.00618362426758,2.6237869262695313,2.6164474487304688,33413771264,24702238720,27225124864,21530443776
199,1779553558358,38430.92367553711,18300,0,0.78125,82249.59666442871,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,53.21022415161133,57.03494644165039,0.04791259765625,0.03467559814453125,0.03267669677734375,0.0322265625,1.6923065185546875,0.45147705078125,69.44104766845703,70.04281616210938,0.32338714599609375,0.0261077880859375,56.94288635253906,59.174224853515625,68.39004516601563,67.96542358398438,66.98153686523438,65.84408569335938,63.50230026245117,64.53434753417969,33413771264,24702238720,27245182976,21538062336
200,1779553558558,38431.45736694336,18300,0,0.78125,82253.41398620605,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,47.47530746459961,44.6147575378418,0.1732635498046875,0.18006134033203125,0.17116546630859375,0.17935943603515625,35.978172302246094,33.371498107910156,72.40248107910156,67.17143249511719,0.2144927978515625,0.18386077880859375,57.48386764526367,46.284690856933594,68.69248962402344,53.17567443847656,65.42523956298828,51.44561767578125,40.31095886230469,33.05035400390625,33413771264,24702238720,27267624960,21545742336
200,1779553558758,38431.94177246094,18300,0,0.7875,82256.75207519531,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.81718444824219,48.12784194946289,0.1905975341796875,0.1747894287109375,0.17299652099609375,0.17244720458984375,0.19289398193359375,0.17409515380859375,70.33830261230469,69.66871643066406,0.1963348388671875,0.181121826171875,51.74409484863281,55.95573043823242,67.10479736328125,55.04597091674805,59.804622650146484,56.68242263793945,33.348358154296875,28.365501403808594,33413771264,24702238720,27276558336,21546516480
200,1779553558959,7176.7166748046875,18300,0,0.78125,82259.78048706055,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.41291809082031,52.76749038696289,0.03778076171875,0.039031982421875,0.038330078125,0.03733062744140625,0.04168701171875,0.04178619384765625,53.13224792480469,67.26824188232422,0.06005096435546875,0.052093505859375,49.584197998046875,48.928646087646484,58.256378173828125,58.08373260498047,63.29758834838867,63.3925666809082,0.066009521484375,0.042388916015625,33413771264,24702238720,27285307392,21549867008
199,1779553559159,38432.871978759766,18300,0,0.78125,82263.34495544434,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,67.48602294921875,60.07148742675781,0.04969024658203125,0.09169769287109375,0.118560791015625,0.0579833984375,0.05933380126953125,0.12834930419921875,70.24360656738281,73.40243530273438,0.05164337158203125,0.06522369384765625,58.541343688964844,62.65177536010742,77.59102630615234,63.25703048706055,75.40858459472656,69.29310607910156,31.200332641601563,37.9545783996582,33413771264,24702238720,27308072960,21561708544
