Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779553564186,38444.340896606445,18300,0,0.775,82349.46589660645,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,89.78716278076172,91.35823059082031,37.636085510253906,31.456138610839844,6.313697814941406,6.309234619140625,6.313697814941406,6.3110198974609375,6.307456970214844,6.307456970214844,6.31280517578125,6.309234619140625,93.45358276367188,97.08969116210938,90.03147888183594,93.04075622558594,77.9747314453125,97.23680877685547,86.8411865234375,82.33306121826172,33413771264,24702238720,26580971520,20244750336
199,1779553564186,38444.34591674805,18300,0,0.78125,82349.50456237793,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,100,97.36420440673828,100,100,0,0,0,0,0,0,0,0,91.85226440429688,93.89521026611328,100,69.12353515625,65.11776733398438,97.12385559082031,75.7330551147461,67.04054260253906,33413771264,24702238720,26582659072,20244750336
199,1779553564386,7187.134170532227,18300,0,0.78125,82353.14749145508,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,54.96628952026367,56.82073974609375,76.20014190673828,71.55133819580078,0.28216552734375,0.237335205078125,0.2295989990234375,0.310821533203125,20.323455810546875,20.358200073242188,0.21961212158203125,0.29105377197265625,60.24013137817383,60.3588981628418,66.77767944335938,74.86968994140625,66.054443359375,71.23682403564453,80.33663177490234,75.80325317382813,33413771264,24702238720,26634403840,20895916032
199,1779553564587,38445.233001708984,18300,0,0.78125,82356.84523010254,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,39.567710876464844,48.54779815673828,49.55270004272461,47.90737533569336,0.3228302001953125,0.32202911376953125,24.01842498779297,23.65380096435547,55.0635871887207,44.77365493774414,0.3179473876953125,0.31839752197265625,35.39984893798828,42.82159423828125,57.2667350769043,48.021759033203125,63.04540252685547,52.321495056152344,54.93963623046875,57.76866149902344,33413771264,24702238720,26663632896,21535080448
200,1779553564787,38397.5457611084,18300,0,0.78125,82360.27461242676,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,53.963436126708984,53.64025115966797,0.123016357421875,0.12347412109375,0.1249237060546875,0.1322021484375,0.1240234375,0.12462615966796875,24.548095703125,26.01319122314453,0.14530181884765625,0.13817596435546875,38.483516693115234,38.22187042236328,71.22149658203125,55.58357238769531,64.73693084716797,60.41883850097656,58.87449264526367,65.0050048828125,33413771264,24702238720,26674143232,21549461504
199,1779553564987,5501.389724731445,42800,0,0.78125,82364.10610961914,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,51.61677169799805,55.83143997192383,52.177330017089844,50.98447036743164,0,0,0,0,0,0,0,0,52.641082763671875,55.50957489013672,73.13505554199219,67.60195922851563,71.45442199707031,69.50210571289063,62.77875518798828,62.535072326660156,33413771264,24702238720,26693193728,21557055488
200,1779553565187,38446.83464050293,18300,0,0.78125,82367.85713195801,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,48.15655517578125,56.66851043701172,35.21586608886719,45.81420135498047,0.35585784912109375,0.3654022216796875,0.347564697265625,0.348114013671875,0.35515594482421875,0.35870361328125,0.3585052490234375,0.3487091064453125,43.188438415527344,55.06275177001953,63.97688293457031,62.3337516784668,66.37574768066406,60.56525421142578,50.06260681152344,56.30540466308594,33413771264,24702238720,26716581888,21566369792
199,1779553565388,4325.65315246582,42800,0,0.775,82371.06776428223,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,35.702606201171875,36.31718826293945,23.480667114257813,20.96588897705078,0,0,0,0,5.516990661621094,1.4384384155273438,3.248992919921875,2.743072509765625,34.761024475097656,37.22852325439453,59.04075241088867,59.272403717041016,54.82869338989258,67.0975570678711,44.90785598754883,37.03498077392578,33413771264,24702238720,26750926848,21566595072
199,1779553565588,38447.9811706543,18300,0,0.78125,82373.78736877441,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,17.024742126464844,16.617141723632813,0,0,0,0,0,0,18.752471923828125,23.110519409179688,1.662017822265625,1.781585693359375,0,0,56.34385681152344,75.0356216430664,50.984134674072266,71.08492279052734,5.12884521484375,3.7184219360351563,33413771264,24702238720,26906488832,21566910464
199,1779553565788,38448.507888793945,18300,0,0.775,82376.54141235352,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,14.60467529296875,16.796493530273438,0.321929931640625,0.32198333740234375,0.32202911376953125,0.32208251953125,0.32202911376953125,0.32198333740234375,14.716033935546875,19.389114379882813,0.33081817626953125,0.31137847900390625,0.3221282958984375,0.3200225830078125,36.755428314208984,56.125553131103516,45.135040283203125,61.167476654052734,10.542503356933594,13.73492431640625,33413771264,24702238720,26918653952,21565607936
