Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779553627211,38598.8542175293,18300,0,0.78125,83256.85255432129,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,92.97447204589844,94.76937866210938,0,0,84.83734130859375,86.4194564819336,99.37357330322266,93.53853607177734,0,0,33413771264,24702238720,26571681792,20298477568
199,1779553627211,38598.859634399414,18300,0,0.7875,83256.87887573242,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,5.319465637207031,5.0894927978515625,4.474555969238281,4.474555969238281,4.47955322265625,4.484550476074219,4.4895477294921875,4.4895477294921875,4.4945526123046875,4.4945526123046875,100,100,5.094490051269531,5.094490051269531,100,100,100,100,4.474555969238281,4.474555969238281,33413771264,24702238720,26571718656,20298477568
199,1779553627411,7753.6888427734375,42800,0,0.78125,83259.98272705078,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.488677978515625,53.127716064453125,0,0,0,0,0,0,0,0,6.812744140625,5.853126525878906,56.8798828125,56.356224060058594,71.39247131347656,74.19725799560547,68.39413452148438,64.75514221191406,40.9454460144043,38.59351348876953,33413771264,24702238720,26624999424,20942794752
200,1779553627611,38552.9176940918,18300,0,0.78125,83263.05348205566,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,53.866416931152344,55.856685638427734,0.3386993408203125,0.3499908447265625,0.3401031494140625,0.3390045166015625,0.33890533447265625,0.34210205078125,0.36237335205078125,0.34584808349609375,0.3538818359375,0.343994140625,44.132328033447266,42.050865173339844,62.80409240722656,48.56927490234375,57.839412689208984,66.50111389160156,56.206825256347656,60.155548095703125,33413771264,24702238720,26657165312,21588086784
199,1779553627812,38553.3883972168,18300,0,0.78125,83266.44873046875,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,53.962867736816406,51.81525421142578,0.5882720947265625,0.5932998657226563,30.073867797851563,31.17133331298828,0.5775604248046875,0.5815505981445313,0.5939483642578125,0.5938491821289063,0.5898666381835938,0.5905075073242188,60.76320266723633,57.911041259765625,69.7014389038086,70.84774780273438,71.34060668945313,65.57832336425781,73.00930786132813,76.48180389404297,33413771264,24702238720,26664558592,21598552064
200,1779553628012,38553.874084472656,18300,0,0.78125,83270.18870544434,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,55.90747833251953,59.98202896118164,0,0,79.93045806884766,81.25959777832031,0,0,0,0,6.612663269042969,9.012786865234375,56.454566955566406,56.28462600708008,67.09495544433594,72.7774658203125,67.9840316772461,70.17645263671875,74.90597534179688,71.37455749511719,33413771264,24702238720,26690211840,21610905600
199,1779553628212,38554.37538146973,18300,0,0.78125,83273.95600891113,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.12566375732422,45.681400299072266,1.3725357055664063,1.5002059936523438,53.717979431152344,55.71220397949219,0.507171630859375,0.500396728515625,0.500396728515625,0.4999542236328125,36.14586639404297,55.018836975097656,28.69800567626953,49.982215881347656,56.144813537597656,61.718990325927734,62.32748031616211,52.28447341918945,62.17904281616211,56.31157684326172,33413771264,24702238720,26717777920,21619703808
200,1779553628412,5508.541717529297,42800,0,0.78125,83277.69522094727,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,36.52756881713867,37.693756103515625,55.39915084838867,59.373538970947266,18.585006713867188,15.753822326660156,0.383697509765625,0.26209259033203125,0.24240875244140625,0.20903778076171875,55.781402587890625,59.75429153442383,55.10198211669922,59.54200744628906,62.21831512451172,69.23612213134766,60.43301010131836,63.845191955566406,52.334598541259766,63.16902160644531,33413771264,24702238720,26713845760,21606395904
200,1779553628613,38602.15830993652,18300,0,0.78125,83281.06311035156,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,48.418575286865234,55.043514251708984,53.18912124633789,56.232261657714844,0.22420501708984375,0.15111541748046875,0.16567230224609375,0.15276336669921875,0.30577850341796875,0.21353912353515625,47.0568733215332,36.65000915527344,41.396873474121094,47.39999008178711,48.346282958984375,54.38869094848633,48.323646545410156,57.98400115966797,17.306617736816406,15.268051147460938,33413771264,24702238720,26715578368,21603893248
199,1779553628814,7272.5804443359375,18300,0,0.7875,83284.15699768066,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,51.926780700683594,55.80440139770508,1.8344802856445313,2.9487991333007813,0,0,0,0,0,0,42.02278137207031,51.94288635253906,57.62737274169922,58.623779296875,62.32535171508789,60.75347137451172,58.57115173339844,61.97355651855469,0,0,33413771264,24702238720,26714701824,21607485440
199,1779553629014,7570.030456542969,18300,0,0.78125,83287.10494995117,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,52.18135070800781,50.83207321166992,0.75872802734375,0.7589263916015625,0.7651443481445313,0.7640457153320313,0.7853164672851563,0.7659454345703125,0.7778396606445313,0.7683563232421875,0.8352813720703125,0.7892303466796875,61.753379821777344,56.530609130859375,56.842567443847656,54.969058990478516,57.93316650390625,55.12242889404297,52.75600051879883,50.70423889160156,33413771264,24702238720,26714931200,21605851136
200,1779553629214,38556.513595581055,18300,0,0.7875,83290.16703796387,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,54.90179443359375,55.437416076660156,0.384979248046875,0.38527679443359375,0.384033203125,0.38338470458984375,0.39879608154296875,0.389068603515625,0.39725494384765625,0.387176513671875,0.39565277099609375,0.4476776123046875,47.5678596496582,49.59257125854492,55.37775802612305,61.161895751953125,67.15797424316406,74.93081665039063,47.98561096191406,50.81650161743164,33413771264,24702238720,26715619328,21604016128
200,1779553629414,7570.761199951172,18300,0,0.78125,83293.14839172363,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,58.37764358520508,65.65957641601563,0.28400421142578125,0.30901336669921875,0.28250885009765625,0.307861328125,0.32907867431640625,0.28804779052734375,0.299530029296875,0.2892913818359375,0.28899383544921875,0.34384918212890625,61.44633483886719,62.296348571777344,63.0535774230957,70.05839538574219,60.90358352661133,67.62603759765625,24.265869140625,29.135414123535156,33413771264,24702238720,26715504640,21602729984
200,1779553629615,7571.130340576172,18300,0,0.78125,83296.0005645752,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,51.38446044921875,51.28829574584961,0.189117431640625,0.20668792724609375,0.18901824951171875,0.20699310302734375,0.24092864990234375,0.18927001953125,0.20218658447265625,0.19036865234375,0.20218658447265625,0.19182586669921875,53.14870834350586,54.963218688964844,55.81871032714844,59.90145492553711,52.9106330871582,58.44416046142578,40.958595275878906,31.702186584472656,33413771264,24702238720,26717655040,21602660352
200,1779553629815,38604.61570739746,18300,0,0.78125,83299.60412597656,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,47.46861267089844,56.39933776855469,0.06573486328125,0.022430419921875,50.60800552368164,48.55730056762695,0.01288604736328125,0.13541412353515625,0.02417755126953125,0.01233673095703125,0.0162811279296875,0.016632080078125,60.31798553466797,64.20576477050781,61.86170959472656,63.194149017333984,59.25202560424805,64.68812561035156,49.18720626831055,55.71833419799805,33413771264,24702238720,26721300480,21603037184
199,1779553630015,38605.044036865234,18300,0,0.78125,83303.04733276367,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,52.12990188598633,53.611942291259766,0.1520233154296875,0.15287017822265625,34.50554656982422,39.79906463623047,0.22625732421875,0.168121337890625,0.16716766357421875,0.1668701171875,0.16876983642578125,0.16837310791015625,61.34983444213867,60.82707595825195,59.88539123535156,63.13747024536133,60.697998046875,69.31783294677734,60.71819305419922,68.68164825439453,33413771264,24702238720,26722013184,21604044800
200,1779553630216,38558.610443115234,18300,0,0.78125,83306.13687133789,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,44.237091064453125,44.87631607055664,0.17394256591796875,0.17394256591796875,18.650794982910156,29.010910034179688,0.18048858642578125,0.1738433837890625,0.18288421630859375,0.1743927001953125,0.1826324462890625,0.1736907958984375,44.493961334228516,51.27275466918945,49.263214111328125,51.124935150146484,51.77794647216797,55.8904914855957,47.9950065612793,69.36585235595703,33413771264,24702238720,26722738176,21603840000
200,1779553630416,38605.80126953125,18300,0,0.78125,83308.94470214844,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,52.585899353027344,51.550270080566406,0.36682891845703125,0.36678314208984375,4.657325744628906,2.875762939453125,0.39562225341796875,0.3663787841796875,0.3868408203125,0.365386962890625,0.36568450927734375,0.36533355712890625,59.852996826171875,57.16069793701172,60.730857849121094,62.86298370361328,58.687644958496094,61.78564453125,5.6239013671875,9.389396667480469,33413771264,24702238720,26722873344,21604294656
200,1779553630617,38559.367446899414,18300,0,0.78125,83311.74771118164,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,47.36384201049805,43.62507629394531,0.467498779296875,0.466949462890625,0.4637603759765625,0.4641571044921875,0.5230560302734375,0.47039031982421875,0.48136138916015625,0.47064208984375,0.4963226318359375,0.4680023193359375,52.683082580566406,49.55025100708008,59.91157531738281,54.17719268798828,59.70293426513672,58.49281692504883,36.1825065612793,43.32059097290039,33413771264,24702238720,26724257792,21588242432
199,1779553630817,38606.59030151367,18300,0,0.78125,83314.67001342773,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,52.202693939208984,45.16407012939453,0.22937774658203125,0.22953033447265625,2.5647735595703125,2.8085250854492188,0.2449493408203125,0.2235870361328125,0.23232269287109375,0.2244415283203125,0.2270355224609375,0.227081298828125,56.231658935546875,53.2606201171875,58.12157440185547,59.89826965332031,53.13517761230469,58.42634582519531,47.987464904785156,49.730430603027344,33413771264,24702238720,26721333248,21585256448
