Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779553645571,38641.8981628418,18300,0,0.78125,83536.12608337402,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,70.38529205322266,93.21115112304688,0,0,63.396183013916016,66.20095825195313,27.068740844726563,82.13725280761719,0,0,33413771264,24702238720,26595803136,20299558912
200,1779553645572,4337.450302124023,42800,0,0.775,83536.16229248047,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,89.71688079833984,98.04624938964844,0,0,78.62545776367188,91.59282684326172,94.85195922851563,100,0,0,33413771264,24702238720,26595831808,20299558912
200,1779553645772,7289.409561157227,18300,0,0.78125,83539.45498657227,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,15.723258972167969,15.109077453613281,0.01806640625,0.01816558837890625,0.018310546875,0.033233642578125,0.01856231689453125,0.01871490478515625,0.01891326904296875,0.019012451171875,51.902793884277344,54.01322937011719,59.078277587890625,46.52865219116211,71.88050842285156,63.584434509277344,75.16671752929688,58.36907958984375,32.577392578125,34.84162139892578,33413771264,24702238720,26639761408,20949856256
199,1779553645972,7595.371368408203,18300,0,0.78125,83542.36312866211,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,5.894950866699219,8.620635986328125,19.102928161621094,15.705856323242188,0,0,0,0,0.0664215087890625,0,23.324172973632813,26.398956298828125,44.52241516113281,34.808433532714844,43.39616012573242,53.44038391113281,51.39082717895508,63.13861083984375,35.163978576660156,34.73546600341797,33413771264,24702238720,26685177856,21598027776
199,1779553646173,38598.216049194336,18300,0,0.78125,83545.30613708496,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,35.03941345214844,38.53355026245117,0,0,0,0,0,0,6.524955749511719,6.211723327636719,43.44721603393555,39.013187408447266,55.92506790161133,51.61997985839844,64.02003479003906,46.75580596923828,56.913902282714844,42.40117645263672,33413771264,24702238720,26690670592,21606584320
199,1779553646373,38598.69932556152,18300,0,0.78125,83548.53309631348,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,22.32098388671875,20.997474670410156,33.32849884033203,36.95371627807617,7.237129211425781,7.95751953125,0.33718109130859375,0.3369293212890625,0.34474945068359375,0.3367767333984375,0.34774017333984375,0.33683013916015625,55.09414291381836,60.421295166015625,67.94523620605469,64.94036865234375,68.16259765625,68.47406768798828,53.21480178833008,51.08970260620117,33413771264,24702238720,26734178304,21722857472
200,1779553646573,7290.090972900391,18300,0,0.78125,83552.48587036133,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,59.8297233581543,55.369834899902344,0.208587646484375,0.21073150634765625,54.91168975830078,51.77731704711914,0.19759368896484375,0.1973419189453125,0.20473480224609375,0.2131805419921875,19.602928161621094,21.045730590820313,60.6880989074707,51.5743293762207,62.08857727050781,75.9350814819336,76.39378356933594,70.73245239257813,55.381778717041016,51.92478561401367,33413771264,24702238720,26744623104,21624881152
200,1779553646773,7290.477676391602,18300,0,0.78125,83555.78480529785,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,51.065582275390625,49.34050369262695,0.0045928955078125,0,7.205169677734375,5.639556884765625,0,0,0.0010986328125,0,4.760414123535156,4.177032470703125,50.5319938659668,46.4798698425293,65.41889190673828,63.7315673828125,67.47114562988281,57.523658752441406,43.92329025268555,44.33716583251953,33413771264,24702238720,26753859584,21627498496
200,1779553646974,38600.26315307617,18300,0,0.78125,83559.25588989258,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,55.18926239013672,52.12598419189453,0,0,0,0,0,0,0,0,0,0,59.69835662841797,54.43358612060547,63.8074836730957,69.7519760131836,67.28208923339844,68.6339111328125,55.7685546875,55.126216888427734,33413771264,24702238720,26764726272,21631148032
199,1779553647175,38600.74383544922,18300,0,0.5249999999999999,83562.83897399902,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,54.258689880371094,53.70221710205078,0.26511383056640625,0.31427001953125,30.307701110839844,32.133628845214844,0.29959869384765625,0.3040924072265625,0.26735687255859375,0.29940032958984375,0.2604217529296875,0.249542236328125,57.78233337402344,52.720977783203125,73.42066955566406,71.43153381347656,59.846923828125,64.36817932128906,49.19878005981445,49.129905700683594,33413771264,24702238720,26780667904,21634084864
