Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779553664745,7776.771286010742,42800,0,0.78125,83831.76313781738,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,66.8318099975586,59.977596282958984,0,0,0,0,0,0,34.41539001464844,56.88221740722656,0,0,51.50353240966797,41.60563659667969,68.24163818359375,34.540321350097656,41.35468673706055,69.58577728271484,33413771264,24702238720,26727874560,20290928640
199,1779553664745,38643.9440612793,18300,0,0.78125,83831.7894897461,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,26.10320281982422,26.107177734375,100,83.71233367919922,26.997695922851563,27.208396911621094,27.013595581054688,27.01757049560547,27.029495239257813,27.041427612304688,93.57955169677734,57.8118782043457,26.115127563476563,26.123085021972656,61.87485122680664,96.91897583007813,57.26325988769531,43.5755729675293,54.64339828491211,62.66200256347656,33413771264,24702238720,26727882752,20290797568
200,1779553664946,7776.972900390625,42800,0,0.5249999999999999,83834.52992248535,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,16.650558471679688,16.962562561035156,0,0,0,0,0,0,40.38132858276367,44.69148254394531,14.762794494628906,14.305328369140625,47.00777053833008,65.6550521850586,56.06602478027344,55.978145599365234,53.532066345214844,44.37256622314453,33413771264,24702238720,26780958720,20937748480
199,1779553665146,38689.25926208496,18300,0,0.78125,83837.52160644531,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,10.668800354003906,13.621772766113281,0.30355072021484375,0.27675628662109375,0.26044464111328125,0.18759918212890625,0.196380615234375,0.2401885986328125,0.2653350830078125,0.18759918212890625,21.371322631835938,24.23992919921875,49.11025619506836,46.84740447998047,61.67963409423828,58.46756362915039,66.37507629394531,63.233154296875,62.19887161254883,57.524383544921875,33413771264,24702238720,26816835584,21586206720
200,1779553665346,38645.307525634766,18300,0,0.775,83840.62480163574,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,38.25960159301758,40.57372283935547,0.11241912841796875,0.11156463623046875,0.16822052001953125,0.123809814453125,0.0963287353515625,0.08583831787109375,0.088134765625,0.08878326416015625,0.08823394775390625,0.23137664794921875,52.79983139038086,44.72351837158203,58.02772521972656,59.27099609375,57.82697296142578,62.001155853271484,32.886863708496094,26.53626251220703,33413771264,24702238720,26828460032,21595226112
200,1779553665547,7628.500335693359,18300,0,0.78125,83844.01057434082,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,49.529605865478516,54.06448745727539,7.6225738525390625,8.518180847167969,0.14007568359375,0.124114990234375,0.13588714599609375,0.20400238037109375,0.23736572265625,0.158477783203125,0.1324462890625,0.13773345947265625,48.332855224609375,50.00892639160156,62.970279693603516,60.41959762573242,60.769561767578125,63.69454574584961,49.16563034057617,52.64891815185547,33413771264,24702238720,26868162560,21602746368
200,1779553665747,7628.820953369141,18300,0,0.5249999999999999,83847.1586303711,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,6.51690673828125,7.1032562255859375,12.897453308105469,8.675376892089844,4.973991394042969,7.956817626953125,0.17079925537109375,0.0906219482421875,0.0411376953125,0.1812896728515625,10.254135131835938,9.432975769042969,35.354454040527344,32.994422912597656,60.002777099609375,65.93608093261719,53.336490631103516,54.32615280151367,41.26224136352539,26.395492553710938,33413771264,24702238720,27001044992,21610012672
200,1779553665947,7313.592193603516,18300,0,0.78125,83851.16467285156,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,63.829978942871094,60.899314880371094,0.27094268798828125,0.1244354248046875,34.907325744628906,39.09928894042969,0.11460113525390625,0.1134033203125,0.173919677734375,0.12833404541015625,12.197242736816406,10.843460083007813,73.32490539550781,71.687744140625,79.8558578491211,79.06668853759766,83.84708404541016,80.1953125,66.9356689453125,65.3253173828125,33413771264,24702238720,27066585088,21610958848
200,1779553666148,38647.550231933594,18300,0,0.78125,83854.27127075195,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1.938690185546875,4.019691467285156,2.56103515625,3.5865859985351563,10.502304077148438,6.813011169433594,4.238685607910156,3.0514678955078125,0,0,23.561546325683594,24.558326721191406,13.720787048339844,10.100654602050781,42.47152328491211,65.51023864746094,53.53165817260742,86.96182250976563,33.0703125,30.193801879882813,33413771264,24702238720,27115859968,21611237376
200,1779553666348,7629.739364624023,18300,0,0.78125,83857.35786437988,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.01656341552734375,0.12981414794921875,9.416816711425781,10.233360290527344,0,0.02391815185546875,0.01976776123046875,0.02211761474609375,0.040130615234375,0.022918701171875,11.580307006835938,9.393547058105469,41.55198287963867,28.92938232421875,60.0391731262207,57.80662155151367,65.45143127441406,57.81307601928711,40.42857360839844,32.641197204589844,33413771264,24702238720,27121459200,21613531136
