Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779553670941,7315.170745849609,18300,0,0.78125,83923.33787536621,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,7.634346008300781,5.499015808105469,78.02583312988281,79.70318603515625,0,0,0,0,0,0,0,0,76.98345947265625,77.24756622314453,87.64378356933594,87.00037384033203,86.58904266357422,87.82921600341797,86.15917205810547,79.69869232177734,33413771264,24702238720,26782498816,20368068608
199,1779553670942,7634.116302490234,18300,0,0.78125,83923.43452453613,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,92.36688995361328,95.9309310913086,95.81790161132813,98.07128143310547,1.5319137573242188,1.5343170166015625,1.5367202758789063,1.5367202758789063,1.5367202758789063,1.5343170166015625,1.5343170166015625,1.527099609375,94.76937103271484,93.36251068115234,94.56255340576172,97.56385040283203,98.67250061035156,94.62989044189453,94.65393829345703,89.47140502929688,33413771264,24702238720,26782515200,20368068608
200,1779553671142,7315.573806762695,18300,0,0.78125,83927.16767883301,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,55.813438415527344,54.40699768066406,53.666954040527344,52.637306213378906,0.282135009765625,0.28153228759765625,0.280426025390625,0.27967071533203125,0.28122711181640625,0.287750244140625,35.95965576171875,37.816734313964844,60.14834976196289,54.34669876098633,75.74583435058594,62.100894927978516,75.55239868164063,55.6550178527832,56.72013473510742,56.40534591674805,33413771264,24702238720,26836602880,21016137728
200,1779553671343,7634.885009765625,18300,0,0.78125,83930.63122558594,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,47.734046936035156,40.228878021240234,28.305084228515625,24.784820556640625,0,0,0,0,0,0,15.908897399902344,19.69135284423828,47.996639251708984,41.427249908447266,55.631103515625,64.34831237792969,61.586647033691406,47.72163772583008,55.631103515625,49.44609451293945,33413771264,24702238720,26858631168,21030641664
200,1779553671543,38706.50547790527,18300,0,0.78125,83934.31410217285,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,54.992366790771484,50.007022857666016,47.3018913269043,50.87267303466797,0.01415252685546875,0.01404571533203125,0.013946533203125,0.0137481689453125,0.01364898681640625,0.0135498046875,0.0253448486328125,0.01349639892578125,45.254966735839844,55.99205780029297,70.08023834228516,61.64160919189453,62.573402404785156,64.95265197753906,62.42850875854492,59.12396240234375,33413771264,24702238720,26865737728,21648052224
199,1779553671744,7635.667007446289,18300,0,0.78125,83937.46301269531,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,4.570220947265625,1.8171234130859375,43.78874969482422,36.15570831298828,30.081634521484375,26.74065399169922,0,0,0,0,0,0,44.701114654541016,46.563106536865234,61.9100227355957,56.64297103881836,55.84635543823242,62.93537902832031,46.73567581176758,38.963478088378906,33413771264,24702238720,26885574656,21656985600
199,1779553671944,7636.066955566406,18300,0,0.78125,83940.88499450684,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,39.54642868041992,35.90563201904297,31.73767852783203,23.655410766601563,5.697563171386719,4.6087646484375,0,0.012664794921875,0,0,0,0,52.80455780029297,39.646942138671875,58.42893981933594,69.46956634521484,74.42987823486328,62.50748825073242,44.26631546020508,35.115272521972656,33413771264,24702238720,26917195776,21665558528
199,1779553672144,38664.64190673828,18300,0,0.78125,83944.27503967285,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,47.73507308959961,46.554649353027344,0,0,41.95552444458008,33.43778991699219,0.02352142333984375,0,0.37828826904296875,0.03281402587890625,0,0,55.084625244140625,54.16881561279297,70.92230224609375,61.238670349121094,57.60999298095703,65.80438232421875,56.45094680786133,51.346920013427734,33413771264,24702238720,26926014464,21671473152
200,1779553672344,38708.42980957031,18300,0,0.78125,83947.28468322754,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,28.56230926513672,29.044143676757813,27.0858154296875,22.74981689453125,20.466636657714844,16.29918670654297,0,0,0,0,0,0,42.485382080078125,41.11233139038086,56.15037536621094,55.66973876953125,56.77199172973633,49.925106048583984,42.63566970825195,34.22626495361328,33413771264,24702238720,26938978304,21682024448
199,1779553672545,38708.92997741699,18300,0,0.68125,83950.94071960449,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,58.355506896972656,58.11601638793945,20.699684143066406,18.879592895507813,15.391181945800781,14.586990356445313,0.05560302734375,0.0131378173828125,0.0270233154296875,0.0216827392578125,0.09931182861328125,0.013336181640625,59.70895767211914,51.719078063964844,65.10972595214844,63.86957550048828,63.70527267456055,69.57318115234375,52.37065124511719,48.78372573852539,33413771264,24702238720,26948026368,21685678080
199,1779553672745,38709.42687988281,18300,0,0.78125,83954.31455993652,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,32.04368591308594,26.951141357421875,6.404289245605469,4.9112091064453125,29.65239715576172,29.15496063232422,6.610649108886719,5.391410827636719,16.146705627441406,13.406303405761719,24.37584686279297,19.292144775390625,33.4305419921875,22.550491333007813,49.80712890625,63.2525749206543,55.66362380981445,48.96273422241211,36.48583984375,34.52039337158203,33413771264,24702238720,26957131776,21684609024
