Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779553676952,38675.23550415039,18300,0,0.78125,84012.435546875,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2.0947647094726563,2.0982131958007813,13.591239929199219,10.425506591796875,1.8992080688476563,1.8980560302734375,1.8980560302734375,1.8980560302734375,1.8969039916992188,1.8980560302734375,1.8980560302734375,1.8980560302734375,2.099365234375,2.102813720703125,87.583251953125,33.358642578125,68.11148834228516,24.763320922851563,54.47193908691406,22.016311645507813,33413771264,24702238720,26739548160,20295229440
199,1779553676952,7784.642547607422,42800,0,0.775,84012.44729614258,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,20.366561889648438,20.333358764648438,100,63.80237579345703,20.15406036376953,20.147422790527344,20.147422790527344,20.147422790527344,20.140777587890625,20.140777587890625,20.140777587890625,20.140777587890625,20.32671356201172,20.32671356201172,98.29338073730469,76.07411193847656,90.35792541503906,59.233680725097656,76.59870910644531,67.20897674560547,33413771264,24702238720,26739638272,20295229440
199,1779553677152,7324.8272705078125,18300,0,0.78125,84015.06536865234,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,23.05029296875,26.00792694091797,25.487449645996094,31.996734619140625,0.39977264404296875,0.25998687744140625,0.26950836181640625,0.25037384033203125,0.2709503173828125,0.25331878662109375,0.27782440185546875,0.26641845703125,0.2643280029296875,0.36550140380859375,46.12629318237305,71.63377380371094,58.156803131103516,59.62956619262695,46.178550720214844,43.44369125366211,33413771264,24702238720,26787991552,20939468800
200,1779553677353,7784.986907958984,42800,0,0.775,84018.01699829102,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,39.31925582885742,39.17795181274414,14.458541870117188,11.874717712402344,0,0,0,0,0,0,0,0,22.761627197265625,24.56067657470703,60.362815856933594,53.718971252441406,59.45958709716797,65.26002502441406,43.97896194458008,42.641151428222656,33413771264,24702238720,26828365824,21589585920
200,1779553677553,7325.56999206543,18300,0,0.78125,84020.9072265625,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,52.12218475341797,57.439125061035156,0,0,0,0,0,0,0,0,0,0,17.7554931640625,17.772186279296875,65.27311706542969,64.37907409667969,62.93643569946289,64.33683013916016,22.683395385742188,19.700645446777344,33413771264,24702238720,26833711104,21598167040
199,1779553677754,38720.4172668457,18300,0,0.78125,84024.54177856445,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,59.607994079589844,61.85047912597656,0,0,0,0,0,0,0,0,0,0,59.593994140625,56.41845703125,71.36492919921875,68.31397247314453,72.44196319580078,73.55450439453125,57.2726936340332,58.826175689697266,33413771264,24702238720,26861424640,21610762240
200,1779553677954,7326.477096557617,18300,0,0.78125,84028.3356628418,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,50.3606071472168,61.4387092590332,0.42514801025390625,0.425048828125,0.42494964599609375,0.445953369140625,5.855743408203125,7.278190612792969,0.41657257080078125,0.49907684326171875,0.43255615234375,0.41652679443359375,56.844512939453125,62.19240188598633,74.05834197998047,63.615150451660156,71.2341079711914,69.55070495605469,56.3398551940918,54.92060852050781,33413771264,24702238720,26876665856,21615484928
199,1779553678154,7643.303176879883,18300,0,0.78125,84031.64044189453,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,40.86576461791992,44.68196487426758,0.2704315185546875,0.2704315185546875,0.270477294921875,0.27680206298828125,38.36870193481445,47.19770050048828,0.330780029296875,0.2965240478515625,0.27396392822265625,0.29656982421875,51.19510269165039,49.07333755493164,59.4743766784668,58.507179260253906,59.77762222290039,65.59757995605469,38.35829544067383,43.55154800415039,33413771264,24702238720,26893848576,21617684480
200,1779553678354,38678.701080322266,18300,0,0.78125,84034.83221435547,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,41.067665100097656,44.451229095458984,0,0,0,0,30.200942993164063,41.4605598449707,0,0,0,0,43.31446075439453,44.080047607421875,51.01130294799805,56.93424987792969,51.54853057861328,60.008392333984375,37.58279037475586,39.480716705322266,33413771264,24702238720,26910117888,21622857728
199,1779553678554,38722.39781188965,18300,0,0.78125,84038.03242492676,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.477569580078125,48.57338333129883,0,0,0,0,2.5613937377929688,4.34283447265625,0,0,0,0,46.64850616455078,48.123779296875,64.20063781738281,59.37879943847656,59.72843551635742,63.54172897338867,49.56379318237305,48.96554183959961,33413771264,24702238720,26919657472,21622185984
199,1779553678755,38679.69438171387,18300,0,0.78125,84041.31359863281,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,51.460662841796875,46.30095672607422,0,0,0,0,0,0,0,0,0,0,56.00743865966797,46.30080795288086,54.33391571044922,68.56437683105469,63.128822326660156,72.74916076660156,45.90240478515625,46.98033142089844,33413771264,24702238720,26927570944,21626277888
200,1779553678955,38680.19738769531,18300,0,0.78125,84044.80250549316,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,49.51343536376953,44.859169006347656,0.22955322265625,0.22955322265625,0.22955322265625,0.22940826416015625,26.561264038085938,31.691818237304688,0.2113800048828125,0.21103668212890625,0.2189483642578125,0.21068572998046875,51.14331817626953,48.082340240478516,69.7778091430664,51.38810729980469,63.392696380615234,61.674896240234375,44.21272277832031,41.88591003417969,33413771264,24702238720,26944057344,21634134016
200,1779553679155,38680.68338012695,18300,0,0.78125,84048.1270904541,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,58.66312789916992,56.08793640136719,0.39083099365234375,0.3904266357421875,0.39118194580078125,0.39173126220703125,10.916007995605469,7.262168884277344,0.5358200073242188,0.44317626953125,0.41019439697265625,0.44252777099609375,63.92176055908203,56.40449142456055,67.6723403930664,71.0866928100586,72.97982025146484,63.90950012207031,24.13208770751953,23.6533203125,33413771264,24702238720,26942832640,21636263936
200,1779553679356,38681.129974365234,18300,0,0.78125,84051.41429138184,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,48.454708099365234,45.235904693603516,0.3136749267578125,0.36238861083984375,0.32221221923828125,0.3154754638671875,51.17791748046875,49.94797134399414,0.3203125,0.34222412109375,0.31976318359375,0.339874267578125,58.902809143066406,57.41982650756836,57.96148681640625,57.922607421875,57.96902084350586,58.98755645751953,64.02642059326172,61.8264045715332,33413771264,24702238720,26942947328,21637804032
