Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779553682909,5516.585006713867,42800,0,0.775,84100.54022216797,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,47.06739807128906,2.40924072265625,43.376956939697266,42.80659484863281,0,0,0,0,0,0,0,0,27.321311950683594,63.227603912353516,0,0,27.698387145996094,3.293304443359375,33413771264,24702238720,26787573760,20369625088
200,1779553682909,7788.876358032227,42800,0,0.775,84100.57510375977,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,66.53116607666016,59.66717529296875,35.988311767578125,54.74254608154297,0,0,0,0,0,0,0,0,69.1734390258789,78.08265686035156,0,0,82.38058471679688,78.26473999023438,33413771264,24702238720,26787848192,20369625088
200,1779553683110,38688.8376159668,18300,0,0.78125,84103.67677307129,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,34.84888458251953,41.744625091552734,9.956321716308594,9.555534362792969,1.7348785400390625,1.9018096923828125,0,0,0,0,0,0,42.53310012817383,40.88103485107422,75.622314453125,58.3066520690918,66.00711059570313,64.10939025878906,52.93608093261719,51.02732467651367,33413771264,24702238720,26840498176,21017186304
200,1779553683310,38733.16342163086,18300,0,0.78125,84107.3800201416,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,51.59387969970703,53.286643981933594,0,0,0,0,39.89627456665039,40.76665115356445,0,0,0,0,61.60348892211914,54.8388557434082,62.31586456298828,65.3343505859375,66.47293090820313,66.01261901855469,50.97953414916992,49.102046966552734,33413771264,24702238720,26860351488,21032837120
199,1779553683510,38689.82403564453,18300,0,0.78125,84110.71328735352,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,43.57518768310547,52.39356994628906,0.0319671630859375,0.0237274169921875,0.023681640625,0.02347564697265625,0.02337646484375,0.02342987060546875,0.0233306884765625,0.02342987060546875,0.023529052734375,0.02347564697265625,57.30769729614258,51.451087951660156,59.72432327270508,60.059715270996094,57.66057205200195,62.269432067871094,54.117584228515625,58.80766677856445,33413771264,24702238720,26857598976,21604610048
199,1779553683711,4821.731536865234,42800,0,0.78125,84114.02076721191,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,49.05125045776367,48.76466751098633,0.21746826171875,0.14227294921875,0.1420745849609375,0.1419677734375,6.6309814453125,4.725608825683594,0.12792205810546875,0.12064361572265625,0.128265380859375,0.1201934814453125,52.31035614013672,55.290157318115234,62.3607063293457,65.9209976196289,66.29264831542969,64.20453643798828,60.94548034667969,58.96316909790039,33413771264,24702238720,26884911104,21620236288
200,1779553683911,38690.91146850586,18300,0,0.78125,84117.20463562012,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,35.6187744140625,35.48912048339844,11.84930419921875,10.969490051269531,7.05126953125,5.840118408203125,21.499732971191406,15.809104919433594,0,0,0,0,12.602676391601563,10.968185424804688,45.971595764160156,61.22996139526367,63.893653869628906,55.135009765625,27.70269775390625,21.055397033691406,33413771264,24702238720,26990952448,21615779840
199,1779553684111,38735.253173828125,18300,0,0.775,84119.95957946777,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,19.127532958984375,13.580276489257813,9.499267578125,12.239501953125,0.1212310791015625,0.11849212646484375,0.09814453125,0.09793853759765625,0.11540985107421875,0.0976409912109375,0.104461669921875,0.0972442626953125,0.2285308837890625,0.115509033203125,44.928348541259766,72.19247436523438,58.528282165527344,35.89390563964844,46.16307067871094,22.991355895996094,33413771264,24702238720,27086307328,21616177152
200,1779553684312,38735.78155517578,18300,0,0.51875,84122.80201721191,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,17.963645935058594,15.214126586914063,12.659561157226563,11.703964233398438,3.862213134765625,3.8954696655273438,0,0,0,0,0,0,0,0,73.0973129272461,45.174461364746094,62.30884552001953,59.33241653442383,31.538047790527344,26.846717834472656,33413771264,24702238720,27101822976,21612503040
199,1779553684512,38692.90733337402,18300,0,0.78125,84126.18927001953,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.50877380371094,41.08967590332031,18.55902099609375,16.541900634765625,1.194244384765625,0.055084228515625,0,0,0,0,0,0,0,0,63.62929916381836,67.75721740722656,58.575050354003906,57.083274841308594,39.602561950683594,35.64811706542969,33413771264,24702238720,27132002304,21617389568
