Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779553689295,38749.314453125,18300,0,0.775,84199.17768859863,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3.2853775024414063,3.2823715209960938,3.0862884521484375,3.0855331420898438,3.0840301513671875,3.0840301513671875,3.0825271606445313,3.11859130859375,3.081024169921875,3.0795211791992188,3.0780181884765625,3.0780181884765625,3.2816162109375,3.2786178588867188,79.65892028808594,56.42988586425781,3.1644210815429688,3.1629180908203125,82.85263061523438,71.53976440429688,33413771264,24702238720,26718629888,20272234496
200,1779553689295,38749.32032775879,18300,0,0.775,84199.19877624512,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,15.724197387695313,15.733154296875,16.319679260253906,16.32415771484375,16.319679260253906,16.32415771484375,16.319679260253906,16.319679260253906,16.319679260253906,16.319679260253906,16.319679260253906,16.319679260253906,15.728675842285156,15.728675842285156,99.62390899658203,97.94940948486328,16.32415771484375,16.328628540039063,96.2032699584961,100,33413771264,24702238720,26718658560,20272234496
199,1779553689495,38749.774017333984,18300,0,0.78125,84202.01962280273,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,42.05593490600586,45.08997344970703,0.22672271728515625,0.230316162109375,0.13269805908203125,0.1313018798828125,0.13309478759765625,0.19986724853515625,0.217437744140625,0.1342926025390625,0.2039642333984375,0.134490966796875,26.38524627685547,25.780242919921875,66.99008178710938,66.70437622070313,59.079307556152344,77.30574798583984,65.89805603027344,62.566184997558594,33413771264,24702238720,26769465344,20916498432
200,1779553689695,38707.28634643555,18300,0,0.775,84205.49301147461,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,52.26457595825195,54.6942024230957,0.17606353759765625,0.1757659912109375,0.1779632568359375,0.17766571044921875,34.34596252441406,37.84266662597656,0.19235992431640625,0.182861328125,0.24123382568359375,0.31085205078125,57.57150650024414,52.12929153442383,62.42650604248047,61.26301956176758,69.77354431152344,62.33744812011719,66.72327423095703,70.82752990722656,33413771264,24702238720,26799284224,21560926208
200,1779553689895,7794.674240112305,42800,0,0.78125,84208.42526245117,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,41.882606506347656,35.17797088623047,38.078529357910156,33.42304992675781,0,0,2.8378372192382813,3.1631546020507813,0,0,0,0,1.548492431640625,0.1591796875,67.50629425048828,44.85379409790039,63.383060455322266,53.64021301269531,47.48409652709961,39.77263641357422,33413771264,24702238720,26796789760,21556031488
200,1779553690096,38708.221740722656,18300,0,0.78125,84211.52351379395,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,42.91670227050781,47.350826263427734,43.561912536621094,41.12617874145508,0.5475311279296875,0.5475311279296875,0.5474777221679688,0.5474319458007813,0.561676025390625,0.5473785400390625,0.5554962158203125,0.5472793579101563,5.788948059082031,5.57928466796875,65.4296646118164,63.46928405761719,61.47796630859375,56.25692367553711,51.951515197753906,44.584842681884766,33413771264,24702238720,26825707520,21570539520
199,1779553690297,7342.884796142578,18300,0,0.78125,84214.86636352539,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,48.838436126708984,53.49250030517578,0.06655120849609375,0.0520782470703125,0.05197906494140625,0.05182647705078125,0.051727294921875,0.0516815185546875,0.0601806640625,0.0551605224609375,0.05123138427734375,0.0511322021484375,48.81282043457031,49.38142776489258,70.21018981933594,60.99308395385742,62.50518035888672,69.23875427246094,48.06724548339844,40.37810134887695,33413771264,24702238720,26852179968,21578022912
200,1779553690497,38709.236907958984,18300,0,0.78125,84218.32814025879,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,57.25025177001953,55.34737777709961,0.12364959716796875,0.1440582275390625,0.12364959716796875,0.14701080322265625,17.512924194335938,20.060264587402344,0.13695526123046875,0.14791107177734375,0.12364959716796875,0.12360382080078125,56.36283874511719,65.24630737304688,65.68838500976563,73.61065673828125,66.42113494873047,68.08930969238281,48.801761627197266,52.24866485595703,33413771264,24702238720,26859757568,21579497472
200,1779553690697,38752.733825683594,18300,0,0.7875,84221.65040588379,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,51.2905158996582,51.88188171386719,0.05205535888671875,0.0589447021484375,0.05216217041015625,0.05216217041015625,7.728729248046875,6.255805969238281,0.0521087646484375,0.05974578857421875,0.0519561767578125,0.051910400390625,54.41659927368164,55.63531494140625,66.89970397949219,63.42244338989258,63.62039566040039,64.76614379882813,32.130088806152344,35.72539520263672,33413771264,24702238720,26857775104,21561458688
199,1779553690898,4822.988784790039,42800,0,0.78125,84225.54693603516,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,68.68238830566406,74.73458862304688,12.546180725097656,12.751091003417969,0,0,33.51612854003906,34.02976989746094,0,0,0,0,68.60823059082031,73.64767456054688,76.60926818847656,80.23789978027344,83.09307861328125,82.0491943359375,69.04188537597656,69.15328979492188,33413771264,24702238720,26887225344,21615804416
199,1779553691098,7344.545791625977,18300,0,0.78125,84229.24465942383,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,61.49424362182617,60.33887481689453,52.22635269165039,52.28614807128906,22.36785888671875,16.309768676757813,51.06492614746094,50.28670120239258,0.28900146484375,0.29566192626953125,0.29155731201171875,0.28108978271484375,59.35527420043945,54.867862701416016,72.31867980957031,75.63584899902344,60.44559097290039,73.39466857910156,54.82244110107422,56.486961364746094,33413771264,24702238720,26919571456,21637853184
199,1779553691298,7657.321182250977,18300,0,0.78125,84232.71447753906,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,44.93376922607422,47.231201171875,9.997917175292969,7.1250762939453125,15.247581481933594,10.471900939941406,3.968048095703125,8.222328186035156,0.08168792724609375,0.08168792724609375,0.081634521484375,0.081634521484375,42.93290710449219,52.3648567199707,51.398250579833984,71.50129699707031,53.05797576904297,61.34965133666992,48.81593322753906,43.79634094238281,33413771264,24702238720,26934640640,21647302656
200,1779553691498,38711.6689453125,18300,0,0.78125,84235.96697998047,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,62.060909271240234,48.773372650146484,0.20439910888671875,0.25272369384765625,0.197052001953125,0.19710540771484375,14.594047546386719,14.367362976074219,0.20259857177734375,0.19915008544921875,0.1861114501953125,0.18605804443359375,54.16320037841797,59.18575668334961,69.09423828125,64.56698608398438,70.51534271240234,66.20494079589844,43.27254867553711,39.17879104614258,33413771264,24702238720,26951446528,21753962496
199,1779553691699,38755.10861206055,18300,0,0.7875,84239.1021118164,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,53.38633346557617,47.96889877319336,0,0,0,0,18.224029541015625,14.917030334472656,0,0,0,0,58.29751968383789,55.097328186035156,59.47895812988281,65.81190490722656,63.995052337646484,66.14276885986328,25.937767028808594,27.032562255859375,33413771264,24702238720,26940555264,21655592960
200,1779553691899,38712.5285949707,18300,0,0.775,84241.87774658203,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,45.911766052246094,44.56394958496094,3.2871322631835938,2.8721237182617188,0.05049896240234375,0.06537628173828125,0.05019378662109375,0.05084991455078125,0.06662750244140625,0.0500946044921875,0.055755615234375,0.05059814453125,19.452560424804688,18.885154724121094,49.346832275390625,49.492713928222656,53.79261016845703,50.84669494628906,36.29624938964844,38.21342086791992,33413771264,24702238720,26940293120,21659156480
200,1779553692099,38712.95391845703,18300,0,0.78125,84244.97634887695,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,51.71284484863281,47.444976806640625,0.07715606689453125,0.0745086669921875,0.07680511474609375,0.07421112060546875,0.0780029296875,0.06687164306640625,0.07855224609375,0.07840728759765625,0.086395263671875,0.06732177734375,37.3394889831543,33.62529754638672,61.77548599243164,61.46596145629883,57.37866973876953,57.582523345947266,50.31449508666992,58.04026794433594,33413771264,24702238720,26950602752,21661810688
199,1779553692299,38713.38734436035,18300,0,0.775,84248.26768493652,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,52.31267547607422,50.00129699707031,0.31720733642578125,0.3260345458984375,0.314910888671875,0.43068695068359375,0.3151092529296875,0.31615447998046875,0.32239532470703125,0.3312225341796875,0.31555938720703125,0.31481170654296875,52.257354736328125,57.978782653808594,61.291160583496094,56.858760833740234,61.3731689453125,60.40229797363281,58.7033805847168,71.40538024902344,33413771264,24702238720,26955997184,21661646848
199,1779553692499,7796.898864746094,42800,0,0.78125,84251.20545959473,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,57.71653747558594,50.55504608154297,0.27655029296875,0.26680755615234375,0.34029388427734375,0.27120208740234375,0.26680755615234375,0.32485198974609375,0.27884674072265625,0.270904541015625,0.2749481201171875,0.27484893798828125,61.04191207885742,65.35829162597656,62.5228157043457,57.421302795410156,62.94708251953125,58.23606491088867,22.087074279785156,32.95989227294922,33413771264,24702238720,26961829888,21659660288
200,1779553692700,7347.535400390625,18300,0,0.7875,84254.1078491211,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.36190414428711,43.462100982666016,0.22223663330078125,0.2404632568359375,0.23377227783203125,0.302093505859375,0.22338104248046875,0.224334716796875,0.23796844482421875,0.242462158203125,0.22568511962890625,0.225830078125,33.961700439453125,47.685176849365234,55.88187789916992,54.54941177368164,61.29344177246094,51.39346694946289,63.12251663208008,78.18679809570313,33413771264,24702238720,26962407424,21651488768
200,1779553692900,7347.894577026367,18300,0,0.78125,84257.0047454834,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,50.179176330566406,50.918434143066406,0.356903076171875,0.3713226318359375,0.35640716552734375,0.356658935546875,0.35406494140625,0.3546600341796875,0.36728668212890625,0.3699798583984375,0.36279296875,0.36249542236328125,50.67144775390625,56.509273529052734,50.45924377441406,64.37965393066406,60.06889724731445,55.46210479736328,18.89289093017578,30.55541229248047,33413771264,24702238720,26977374208,21654130688
200,1779553693101,7660.451904296875,18300,0,0.78125,84259.8589630127,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,48.24066162109375,45.50628662109375,0.20136260986328125,0.20140838623046875,0.20265960693359375,0.20320892333984375,0.20281219482421875,0.20265960693359375,0.214080810546875,0.206298828125,0.22530364990234375,0.2070465087890625,48.05630874633789,48.45753860473633,58.90951156616211,52.920921325683594,58.40977478027344,60.199337005615234,41.33749008178711,47.15853500366211,33413771264,24702238720,26985091072,21655150592
199,1779553693301,38715.350845336914,18300,0,0.78125,84262.61415100098,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,48.382606506347656,45.88904571533203,0.27281951904296875,0.3678436279296875,0.27490997314453125,0.27471160888671875,0.27695465087890625,0.27565765380859375,0.291168212890625,0.35991668701171875,0.29181671142578125,0.36640167236328125,44.81597137451172,50.959877014160156,57.02630615234375,57.41225051879883,52.8664665222168,58.27562713623047,8.056831359863281,10.296867370605469,33413771264,24702238720,26991464448,21653192704
200,1779553693501,38758.90008544922,18300,0,0.78125,84265.97853088379,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,57.053714752197266,55.86608123779297,0.2692108154296875,0.26930999755859375,0.2642669677734375,0.2638702392578125,10.425453186035156,9.827339172363281,0.25667572021484375,0.25757598876953125,0.25048065185546875,0.24993133544921875,57.35254669189453,62.70644760131836,59.88959884643555,70.42707824707031,68.09616088867188,64.93402862548828,47.920188903808594,62.81083679199219,33413771264,24702238720,26981146624,21587668992
200,1779553693702,38759.306243896484,18300,0,0.78125,84269.40449523926,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,43.81376647949219,47.10036849975586,32.313812255859375,35.58172607421875,0.31365966796875,0.3134613037109375,65.98233032226563,66.77397918701172,0.33370208740234375,0.3495025634765625,0.3345489501953125,0.34098052978515625,43.34724044799805,52.86961364746094,45.35558319091797,59.29594039916992,59.34435272216797,59.232025146484375,49.96886444091797,48.81260299682617,33413771264,24702238720,26983604224,21590286336
200,1779553693902,38759.697677612305,18300,0,0.78125,84272.36721801758,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,37.24252700805664,33.769813537597656,6.3498992919921875,12.151611328125,0,0,34.88347625732422,40.73857879638672,0,0,0,0,34.39739227294922,36.94731903076172,49.846160888671875,57.66127395629883,45.545379638671875,57.206844329833984,53.101898193359375,47.69191360473633,33413771264,24702238720,26987679744,21586694144
199,1779553694103,7349.973037719727,18300,0,0.775,84275.20977783203,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,60.26976013183594,51.1487922668457,0.45780181884765625,0.4745635986328125,0.47027587890625,0.47042083740234375,0.461090087890625,0.4619903564453125,0.4882354736328125,0.4945220947265625,0.4908294677734375,0.48165130615234375,46.301551818847656,52.94142150878906,63.846435546875,63.97856140136719,59.74020767211914,61.011619567871094,8.573951721191406,16.947677612304688,33413771264,24702238720,26993922048,21585326080
0,1779553694303,38760.602935791016,18300,0,0.775,84277.78575134277,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,18.60411834716797,23.87926483154297,5.310218811035156,4.520774841308594,28.66936492919922,16.0863037109375,0,0,0,0,0,0,24.16887664794922,20.50312042236328,59.70790100097656,73.58905029296875,46.798248291015625,31.91234588623047,27.551132202148438,32.351898193359375,33413771264,24702238720,26712911872,20249509888
