Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779553695306,7798.499603271484,42800,0,0.775,84291.55812072754,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.6727180480957,70.56777954101563,89.89412689208984,49.349937438964844,73.6474838256836,91.72088623046875,33413771264,24702238720,26706493440,20248449024
200,1779553695306,7798.502059936523,42800,0,0.78125,84291.58190917969,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,1.6680984497070313,1.6638031005859375,1.6552047729492188,1.642303466796875,1.6337051391601563,1.6208114624023438,1.6165084838867188,1.60791015625,1.5950164794921875,1.5907135009765625,0,0,93.67584228515625,96.69389343261719,99.44110107421875,99.6044692993164,95.33103942871094,99.35941314697266,33413771264,24702238720,26706513920,20248449024
199,1779553695506,38763.246978759766,18300,0,0.78125,84294.78942871094,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,52.82028579711914,54.35300064086914,0,0,0,0,0,0,0,0,0,0,52.75343704223633,55.78025817871094,71.20390319824219,65.62596130371094,75.78545379638672,78.54708862304688,53.455055236816406,57.8521614074707,33413771264,24702238720,26759884800,20898201600
200,1779553695706,38763.70674133301,18300,0,0.78125,84297.99519348145,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,48.46664810180664,51.700294494628906,0.3898162841796875,0.39031982421875,0.40041351318359375,0.390869140625,0.430999755859375,0.40636444091796875,0.40135955810546875,0.4719390869140625,0.39391326904296875,0.3934173583984375,56.38154602050781,60.88715744018555,65.47319030761719,59.78993225097656,59.079322814941406,63.160430908203125,63.63071823120117,63.72233963012695,33413771264,24702238720,26776895488,21521752064
200,1779553695907,7799.028900146484,42800,0,0.78125,84301.47300720215,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,60.203006744384766,56.56075668334961,0.3296051025390625,0.32118988037109375,0.3197021484375,0.31984710693359375,0.3220367431640625,0.32228851318359375,0.3248748779296875,0.33104705810546875,0.33124542236328125,0.3236846923828125,65.80107879638672,57.36839294433594,67.80889892578125,70.50776672363281,70.4433822631836,75.4919662475586,53.30801773071289,44.57429122924805,33413771264,24702238720,26801070080,21548711936
199,1779553696107,38721.53385925293,18300,0,0.78125,84305.25816345215,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,56.87244415283203,63.119178771972656,0.37545013427734375,0.36307525634765625,0.384674072265625,0.36307525634765625,56.48966598510742,59.670387268066406,0.3601837158203125,0.35100555419921875,0.35878753662109375,0.35131072998046875,57.233177185058594,52.11881637573242,65.61199951171875,67.26968383789063,63.69037628173828,66.03312683105469,61.609962463378906,60.63563537597656,33413771264,24702238720,26823462912,21560532992
200,1779553696308,7353.516983032227,18300,0,0.73125,84308.99089050293,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,52.071533203125,44.62827682495117,47.82111358642578,47.38770294189453,0.012725830078125,0,53.27228546142578,39.116641998291016,0.0047607421875,0.00470733642578125,0,0,49.96678924560547,36.85921096801758,70.7884292602539,58.173274993896484,65.81355285644531,56.62356948852539,55.82341766357422,46.51576614379883,33413771264,24702238720,26851414016,21570105344
200,1779553696508,5323.4287109375,42800,0,0.53125,84312.8519897461,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,58.52657699584961,59.13272476196289,58.632720947265625,58.38557052612305,39.22471237182617,39.663326263427734,0.03975677490234375,0.04170989990234375,0.06214141845703125,0.0423583984375,0.04096221923828125,0.041259765625,56.77372360229492,58.70984649658203,67.468017578125,69.2459945678711,62.58073806762695,71.03651428222656,61.51759719848633,57.61918258666992,33413771264,24702238720,26894016512,21682520064
200,1779553696708,38766.267028808594,18300,0,0.5249999999999999,84317.10458374023,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,47.56916046142578,48.473602294921875,49.91775894165039,49.962215423583984,67.26902770996094,55.45212936401367,22.076766967773438,21.309104919433594,0.1102752685546875,0.09291839599609375,0.0928192138671875,0.092620849609375,53.99106979370117,51.29319763183594,62.16129684448242,58.11614227294922,63.19976806640625,59.2243766784668,57.92885208129883,55.5279426574707,33413771264,24702238720,26875715584,21577449472
200,1779553696909,38723.55531311035,18300,0,0.5249999999999999,84320.78042602539,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,50.0764274597168,44.3967399597168,6.136993408203125,3.2681121826171875,1.7724533081054688,1.5785903930664063,49.8505973815918,49.807132720947266,0.12303924560546875,0.1276397705078125,0.16620635986328125,0.12099456787109375,53.07944869995117,44.3973388671875,57.1689453125,53.778587341308594,61.079627990722656,51.464900970458984,55.90086364746094,52.66410827636719,33413771264,24702238720,26882404352,21575737344
