Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779553701341,7363.187088012695,18300,0,0.78125,84399.77571105957,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,77.93095397949219,79.10752868652344,87.3453598022461,86.82150268554688,6.002754211425781,6.003959655761719,6.002159118652344,6.041717529296875,6.002754211425781,6.00335693359375,6.001556396484375,6.001556396484375,6.140617370605469,6.136421203613281,74.13510131835938,89.14289093017578,69.06437683105469,96.1388168334961,79.05178833007813,79.21721649169922,33413771264,24702238720,26781945856,20347367424
200,1779553701341,38734.67068481445,18300,0,0.78125,84399.80693054199,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,62.511775970458984,85.99491119384766,86.32466125488281,95.68965148925781,16.90691375732422,24.175613403320313,16.902206420898438,16.88806915283203,16.873939514160156,16.85980987548828,16.840965270996094,16.83154296875,27.614471435546875,27.9913330078125,88.32673645019531,87.7378921508789,85.80177307128906,100,67.20840454101563,33.648956298828125,33413771264,24702238720,26782035968,20347367424
200,1779553701542,7675.447662353516,18300,0,0.51875,84403.79541015625,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,55.79046630859375,63.679283142089844,60.08757781982422,63.453819274902344,14.828865051269531,17.34960174560547,0.06250762939453125,0,0,0,0,0,58.87434005737305,65.50696563720703,64.62460327148438,73.75100708007813,62.55960464477539,75.09695434570313,72.3152084350586,69.5726089477539,33413771264,24702238720,26863448064,21103034368
200,1779553701742,38735.652893066406,18300,0,0.775,84407.1403503418,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,38.83702087402344,39.43389892578125,39.88023376464844,36.78443908691406,27.59283447265625,25.885910034179688,0.04125213623046875,0.04120635986328125,0.05117034912109375,0.041107177734375,0.12461090087890625,0.04105377197265625,34.433616638183594,32.73009490966797,60.600093841552734,62.244842529296875,65.00318908691406,59.53194808959961,48.02882385253906,39.102169036865234,33413771264,24702238720,26843889664,21008678912
199,1779553701942,38736.12467956543,18300,0,0.78125,84410.1672668457,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,44.85662078857422,43.055145263671875,44.41468048095703,34.588294982910156,0.09165191650390625,0.110382080078125,0.0926055908203125,0.09220123291015625,0.09405517578125,0.09290313720703125,0.1037445068359375,0.09075927734375,0.09690093994140625,0.09859466552734375,57.829986572265625,53.96854782104492,61.717044830322266,52.65901184082031,44.93319320678711,36.56034469604492,33413771264,24702238720,26873548800,21642936320
199,1779553702142,7676.066055297852,18300,0,0.78125,84413.10604858398,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,53.647605895996094,53.58469772338867,1.1888198852539063,1.535308837890625,0.297943115234375,0.2951507568359375,0.296142578125,0.256317138671875,0.33208465576171875,0.2561187744140625,0.28372955322265625,0.28298187255859375,45.40962219238281,43.33266830444336,59.05039978027344,70.31229400634766,64.37139892578125,60.12023162841797,19.447738647460938,18.999755859375,33413771264,24702238720,26902839296,21656322048
200,1779553702342,38780.378494262695,18300,0,0.78125,84416.46405029297,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,37.97277069091797,52.714385986328125,0.1529998779296875,0.15290069580078125,0.15290069580078125,0.152801513671875,0.15274810791015625,0.17208099365234375,0.15264892578125,0.15250396728515625,0.1663360595703125,0.1524505615234375,44.54408264160156,50.21271896362305,62.37114334106445,68.75343322753906,61.451637268066406,64.42269897460938,48.52281188964844,47.69032287597656,33413771264,24702238720,26916753408,21664489472
199,1779553702543,38780.87567138672,18300,0,0.78125,84419.56256103516,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,45.62275695800781,44.2366943359375,20.84832763671875,23.307907104492188,0.0935211181640625,0.12400054931640625,0.093475341796875,0.11327362060546875,0.1185150146484375,0.093475341796875,0.09342193603515625,0.10564422607421875,26.840858459472656,25.83941650390625,66.52131652832031,62.88307189941406,57.43218994140625,62.77877426147461,48.359622955322266,42.574893951416016,33413771264,24702238720,26938826752,21666430976
200,1779553702743,7677.113128662109,18300,0,0.78125,84422.87226867676,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,52.98286819458008,54.29291915893555,0,0,0,0,0,0,0,0,0,0,54.34479904174805,52.6650390625,63.227073669433594,62.70962142944336,61.05080032348633,62.23105239868164,41.529666900634766,41.056148529052734,33413771264,24702238720,26945507328,21666656256
199,1779553702945,38738.580963134766,18300,0,0.78125,84426.63580322266,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,59.32623291015625,54.51348114013672,0,0,0,0,33.477752685546875,33.435577392578125,0,0,0,0,57.81237030029297,55.97507858276367,61.70147705078125,60.89088439941406,68.86333465576172,63.002498626708984,49.455909729003906,49.557186126708984,33413771264,24702238720,26957463552,21667807232
