Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779553750637,5533.258026123047,42800,0,0.78125,85130.40530395508,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.37554931640625,0.36693572998046875,79.53694152832031,86.93334197998047,60.25823211669922,56.18233108520508,0,0,0,0,0,0,0.3626251220703125,0.3583221435546875,74.60399627685547,87.34764862060547,70.93895721435547,79.57139587402344,0,0,33413771264,24702238720,26811301888,20308439040
200,1779553750637,5533.265853881836,42800,0,0.51875,85130.48188781738,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,22.72130584716797,22.724159240722656,99.39539337158203,99.5066146850586,100,99.41820526123047,17.97570037841797,17.967147827148438,17.958587646484375,17.961441040039063,17.961441040039063,17.958587646484375,22.727012634277344,22.72986602783203,100,100,100,100,17.855918884277344,17.864479064941406,33413771264,24702238720,26811379712,20308439040
200,1779553750838,7428.896865844727,18300,0,0.78125,85133.64790344238,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,39.4467658996582,40.84941482543945,36.32525634765625,42.558658599853516,3.278594970703125,3.1798324584960938,0.03772735595703125,0.0378265380859375,0.046295166015625,0.0379791259765625,0.037933349609375,0.0379791259765625,43.720550537109375,35.98168182373047,62.3702507019043,53.6477165222168,69.59298706054688,63.03099060058594,6.826347351074219,11.603691101074219,33413771264,24702238720,26865065984,20955803648
199,1779553751039,38856.4695892334,18300,0,0.78125,85137.4976348877,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,62.068477630615234,58.228126525878906,62.92160415649414,63.702938079833984,25.115219116210938,25.433197021484375,0,0,52.779415130615234,52.90927505493164,1.6727371215820313,1.64599609375,65.3090591430664,61.43852996826172,69.91399383544922,71.65682983398438,71.21808624267578,75.61809539794922,69.0499267578125,64.68989562988281,33413771264,24702238720,26915729408,21031153664
200,1779553751239,38856.87937927246,18300,0,0.775,85140.7427520752,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,14.472305297851563,10.642425537109375,42.65304946899414,49.25872039794922,49.547325134277344,39.292381286621094,6.0279541015625,6.0534210205078125,11.606361389160156,12.536972045898438,17.232009887695313,18.349281311035156,37.58015441894531,40.51487350463867,48.11367416381836,49.49372863769531,58.17681884765625,38.01709747314453,41.41537857055664,38.78187561035156,33413771264,24702238720,26945376256,21672960000
198,1779553751440,38857.37145996094,18300,0,0.78125,85144.24435424805,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,50.88778305053711,51.35824203491211,67.34515380859375,61.67198181152344,0.00079345703125,0.00049591064453125,0.00986480712890625,0.00069427490234375,12.342308044433594,11.767318725585938,0,0,63.22944641113281,64.34283447265625,67.51390838623047,71.35260772705078,72.81813049316406,70.90744018554688,7.546234130859375,6.995880126953125,33413771264,24702238720,26964647936,21687169024
199,1779553751639,38898.999938964844,18300,0,0.775,85148.36766052246,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,59.443153381347656,58.88412857055664,53.78973388671875,49.27970886230469,0.76361083984375,0.47097015380859375,0,0,58.572757720947266,55.43434524536133,50.25300598144531,43.506927490234375,56.680694580078125,60.33546447753906,72.92107391357422,72.56299591064453,67.76118469238281,76.10032653808594,0,0,33413771264,24702238720,27009036288,21813272576
199,1779553751840,5534.393417358398,42800,0,0.78125,85152.09959411621,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,52.6098518371582,41.53437423706055,43.76518249511719,35.658416748046875,20.41620635986328,13.602210998535156,0.37693023681640625,0.37693023681640625,30.888412475585938,23.80152130126953,26.907699584960938,24.219070434570313,56.97157669067383,45.47481155395508,64.36979675292969,59.8641242980957,65.66880798339844,60.658451080322266,0.39188385009765625,0.3847503662109375,33413771264,24702238720,26995023872,21702443008
200,1779553752040,38899.98010253906,18300,0,0.78125,85155.60221862793,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,56.409339904785156,49.369754791259766,49.69905471801758,45.4820442199707,0.14821624755859375,0.14340972900390625,0.1438140869140625,0.1324920654296875,37.21323013305664,31.565170288085938,0.13935089111328125,0.12943267822265625,54.235843658447266,47.624183654785156,68.02418518066406,59.69816207885742,62.358642578125,57.01493835449219,0.14836883544921875,0.13083648681640625,33413771264,24702238720,27008229376,21703073792
200,1779553752240,7431.189453125,18300,0,0.78125,85158.78512573242,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,20.599334716796875,22.515182495117188,51.303184509277344,50.094722747802734,44.908180236816406,37.83407974243164,5.667762756347656,5.113548278808594,0,0,0,0,38.86452102661133,40.028228759765625,65.85188293457031,54.63869094848633,64.05258178710938,59.839603424072266,0,0,33413771264,24702238720,27013693440,21707878400
