Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779553762671,38923.91703796387,18300,0,0.775,85314.23715209961,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,48.359188079833984,45.76620864868164,42.53306579589844,40.10913848876953,70.38086700439453,15.520584106445313,49.63454818725586,100,33413771264,24702238720,26862108672,20382572544
200,1779553762671,38882.87907409668,18300,0,0.775,85314.26078796387,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,6.503654479980469,6.503654479980469,6.8715667724609375,6.8715667724609375,6.877227783203125,6.877227783203125,6.877227783203125,6.8885498046875,6.8942108154296875,6.8885498046875,6.8942108154296875,6.8942108154296875,97.86042022705078,40.35206985473633,75.87593078613281,70.82696533203125,36.808738708496094,48.19720458984375,82.11920166015625,100,33413771264,24702238720,26861297664,20382867456
199,1779553762872,38883.32514953613,18300,0,0.78125,85317.28839111328,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,27.386192321777344,30.60631561279297,0,0,0,0,0,0,0,0,0,0,55.539642333984375,52.693721771240234,66.31167602539063,65.06854248046875,67.11610412597656,55.738372802734375,58.49172592163086,69.92271423339844,33413771264,24702238720,26904616960,21026562048
200,1779553763072,38883.766510009766,18300,0,0.78125,85320.42637634277,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,26.981529235839844,24.72100067138672,21.32049560546875,17.52312469482422,0.8969879150390625,0.5456695556640625,1.7657928466796875,2.5508041381835938,35.292694091796875,37.754173278808594,0.22895050048828125,0.2371978759765625,40.91578674316406,42.35955047607422,65.59669494628906,41.57683181762695,55.38662338256836,57.318973541259766,59.52676010131836,57.93622970581055,33413771264,24702238720,26937819136,21669154816
199,1779553763272,38925.25419616699,18300,0,0.78125,85323.66003417969,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,29.169837951660156,31.026260375976563,26.467742919921875,20.976654052734375,20.355247497558594,20.62841033935547,8.080795288085938,15.247200012207031,0.8287506103515625,1.7589645385742188,0,0,38.862876892089844,44.04616165161133,57.472476959228516,57.59571838378906,56.608638763427734,57.60788345336914,55.36166000366211,63.428192138671875,33413771264,24702238720,26956992512,21683699712
200,1779553763472,7753.621078491211,18300,0,0.78125,85326.88868713379,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,51.94761276245117,53.410587310791016,5.2979278564453125,5.6774444580078125,0.411285400390625,0.3893890380859375,0.4137420654296875,0.4149932861328125,0.4245147705078125,0.469207763671875,0.42230987548828125,0.41669464111328125,59.59807205200195,63.17399597167969,70.10433959960938,70.19983673095703,64.22478485107422,65.66616821289063,59.32902526855469,59.252220153808594,33413771264,24702238720,26979094528,21691330560
200,1779553763673,38926.315170288086,18300,0,0.78125,85330.6003112793,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,25.888565063476563,29.442466735839844,32.307403564453125,39.97268295288086,19.79650115966797,21.50090789794922,19.974143981933594,20.08153533935547,0.05644989013671875,0.04544830322265625,0.05144500732421875,0.04439544677734375,47.490562438964844,42.078914642333984,68.54094696044922,49.56945037841797,66.4923095703125,45.29743576049805,71.29264068603516,57.917484283447266,33413771264,24702238720,27061514240,21634543616
200,1779553763873,4779.233200073242,42800,0,0.78125,85334.27410888672,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,37.53854751586914,32.476287841796875,54.85846710205078,56.69651794433594,5.6343841552734375,9.220916748046875,0.4078369140625,0.35131072998046875,26.250938415527344,22.321517944335938,0.35056304931640625,0.35076141357421875,47.26594924926758,49.649261474609375,68.73211669921875,62.284000396728516,62.030338287353516,69.09748077392578,3.2122955322265625,3.2745513916015625,33413771264,24702238720,27151675392,21627949056
200,1779553764074,38886.59413146973,18300,0,0.78125,85337.36125183105,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1.0958251953125,0.2268829345703125,67.80351257324219,64.88322448730469,30.756210327148438,33.80445861816406,0.18549346923828125,0.18514251708984375,5.444450378417969,5.0134735107421875,0.18184661865234375,0.18129730224609375,20.21186065673828,17.821456909179688,64.43560791015625,58.44696807861328,56.569068908691406,61.957733154296875,5.5692138671875,4.853370666503906,33413771264,24702238720,27172741120,21622001664
199,1779553764274,7444.962478637695,18300,0,0.7875,85340.56942749023,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,18.937103271484375,11.890472412109375,77.5746078491211,80.06134033203125,0.2039642333984375,0.1993255615234375,0.192138671875,0.29911041259765625,0.18949127197265625,0.19024658203125,0.1845550537109375,0.185455322265625,47.18140411376953,40.41202926635742,57.752647399902344,78.42304229736328,54.5383186340332,74.46336364746094,0.20885467529296875,0.2080535888671875,33413771264,24702238720,27190763520,21623455744
