Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779553774643,38952.96484375,18300,0,0.775,85496.82333374023,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,8.843887329101563,8.843017578125,76.44448852539063,76.58657836914063,9.081871032714844,9.081871032714844,9.081871032714844,9.0836181640625,9.0836181640625,9.082748413085938,9.082748413085938,9.0836181640625,8.842140197753906,8.843017578125,89.45271301269531,58.381858825683594,83.18135833740234,79.77630615234375,9.178642272949219,9.177764892578125,33413771264,24702238720,26843140096,20337471488
199,1779553774643,38952.96974182129,18300,0,0.775,85496.84716796875,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,20.444290161132813,20.430618286132813,91.18933868408203,98.58509826660156,19.34381103515625,19.31989288330078,19.31647491455078,19.30622100830078,19.30622100830078,19.29596710205078,19.29254913330078,19.28913116455078,20.416954040527344,21.028709411621094,86.29528045654297,98.7696533203125,89.12166595458984,92.11893463134766,19.159263610839844,19.149009704589844,33413771264,24702238720,26843160576,20337471488
200,1779553774843,38953.4122467041,18300,0,0.78125,85499.78689575195,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,24.058082580566406,28.28241729736328,30.129562377929688,32.79314422607422,0,0,0,0,0,0,0,0,60.41796875,57.20214080810547,60.32479476928711,63.92134475708008,66.00242614746094,67.19783782958984,18.235374450683594,20.839500427246094,33413771264,24702238720,26895851520,20979363840
199,1779553775044,7771.803497314453,18300,0,0.775,85502.68379211426,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,21.960235595703125,22.035621643066406,0.00064849853515625,0,0,0,0,0,0.05612945556640625,0.00029754638671875,0,0,45.7009391784668,44.971134185791016,53.609615325927734,57.23185729980469,50.733646392822266,55.2147102355957,34.68904113769531,41.45970153808594,33413771264,24702238720,26930192384,21627387904
199,1779553775244,7455.388870239258,18300,0,0.78125,85505.80810546875,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,25.868858337402344,33.385215759277344,0,0.06461334228515625,0,0.0342864990234375,0,0,0.03243255615234375,0,0,0,42.59062576293945,50.297874450683594,54.979583740234375,65.39926147460938,60.555538177490234,60.154685974121094,48.447265625,44.11045455932617,33413771264,24702238720,26940297216,21637578752
200,1779553775444,38915.88870239258,18300,0,0.78125,85509.18780517578,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.3554801940918,48.67987060546875,0.05142974853515625,0.00504302978515625,0.055572509765625,0.00469207763671875,0.00449371337890625,0.0894317626953125,6.177650451660156,6.553337097167969,0,0.0861358642578125,56.16459274291992,50.292179107666016,65.81767272949219,67.30039978027344,60.450069427490234,70.09046173095703,50.31689453125,46.51860809326172,33413771264,24702238720,26968219648,21649178624
199,1779553775645,38916.432037353516,18300,0,0.54375,85512.85266113281,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,41.269248962402344,45.56610107421875,0.38385772705078125,0.37607574462890625,0.39936065673828125,0.39861297607421875,0.37607574462890625,0.37607574462890625,50.98125457763672,42.52818298339844,0.425048828125,0.3821563720703125,61.86482238769531,43.560951232910156,69.63845825195313,53.54964065551758,67.02976989746094,61.654319763183594,46.887874603271484,51.226318359375,33413771264,24702238720,26989641728,21658554368
199,1779553775845,38955.9079284668,18300,0,0.78125,85516.58840942383,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,49.664573669433594,46.613983154296875,0,0,29.056121826171875,28.060638427734375,0,0,47.494361877441406,40.03297805786133,0,0,51.26673889160156,51.76640701293945,67.90087890625,60.27241134643555,65.93154907226563,61.66595458984375,51.32871627807617,46.77327346801758,33413771264,24702238720,27007037440,21659279360
200,1779553776045,7456.888717651367,18300,0,0.78125,85519.73573303223,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,42.397193908691406,48.21403884887695,0,0,28.663345336914063,24.97144317626953,0,0,2.0234451293945313,2.5566940307617188,0.00250244140625,0,50.66056823730469,42.364295959472656,54.59453201293945,54.42472839355469,59.2011604309082,53.334388732910156,42.66880416870117,42.99378967285156,33413771264,24702238720,27018989568,21662273536
200,1779553776245,5541.3250732421875,42800,0,0.78125,85523.05906677246,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,38.85493850708008,41.64020919799805,6.782096862792969,4.6880035400390625,0.24895477294921875,0.2370147705078125,0.23686981201171875,0.23686981201171875,27.822769165039063,31.207672119140625,0.225128173828125,0.2250823974609375,56.386295318603516,49.70907211303711,67.6427001953125,55.668052673339844,60.37812805175781,66.51065063476563,50.371829986572266,45.140281677246094,33413771264,24702238720,27031937024,21674934272
200,1779553776446,7774.631851196289,18300,0,0.7875,85525.92561340332,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1.3146743774414063,0.08397674560546875,30.682754516601563,36.083641052246094,0.07144927978515625,0.05657958984375,0.0565338134765625,0.0563812255859375,3.4595184326171875,3.5498809814453125,0.0849761962890625,0.08542633056640625,54.25421905517578,42.89495086669922,56.62379837036133,54.56307601928711,56.469120025634766,52.00897979736328,41.92237091064453,47.49924087524414,33413771264,24702238720,27036405760,21673619456
199,1779553776646,7849.438323974609,42800,0,0.78125,85529.24688720703,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,45.001014709472656,48.90507507324219,0.04569244384765625,0.03525543212890625,0.03525543212890625,0.03540802001953125,0.03530120849609375,0.03530120849609375,0.03530120849609375,0.0353546142578125,0.0426483154296875,0.0353546142578125,58.54864501953125,55.46384048461914,68.57328033447266,64.3663558959961,63.32558822631836,60.76820755004883,66.33169555664063,65.88836669921875,33413771264,24702238720,27058237440,21779419136
200,1779553776846,38919.149673461914,18300,0,0.775,85531.92098999023,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,16.49298095703125,20.621620178222656,13.928543090820313,18.03833770751953,14.974205017089844,12.216995239257813,0,0,0,0,0,0,23.354766845703125,21.049667358398438,48.04005813598633,47.12733459472656,53.24480056762695,55.16188430786133,40.3385009765625,36.892738342285156,33413771264,24702238720,27043229696,21674061824
199,1779553777047,38958.54898071289,18300,0,0.78125,85534.5132446289,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.9643096923828125,0,36.550838470458984,49.34466552734375,25.877540588378906,27.983383178710938,0,0,0,0,0,0,15.596588134765625,15.648666381835938,57.23799514770508,50.31547164916992,60.330284118652344,55.867454528808594,9.106887817382813,8.226844787597656,33413771264,24702238720,27045847040,21675786240
200,1779553777247,7457.905853271484,18300,0,0.78125,85537.60292053223,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,19.57343292236328,22.471649169921875,8.435577392578125,8.435127258300781,0,0,0,0,0,0,0,0,61.5257568359375,64.31803894042969,69.47608947753906,70.70144653320313,72.2696762084961,69.36956024169922,12.684211730957031,14.690376281738281,33413771264,24702238720,27045478400,21675720704
200,1779553777448,7458.290084838867,18300,0,0.78125,85540.3639831543,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46.584251403808594,47.577518463134766,0.1216888427734375,0.0678558349609375,0.07923126220703125,0.0678558349609375,0.2087554931640625,0.067657470703125,0.09389495849609375,0.19702911376953125,0.067657470703125,0.06760406494140625,58.2108154296875,44.79074478149414,51.136688232421875,54.249759674072266,53.0203971862793,58.67462158203125,2.1149139404296875,1.821746826171875,33413771264,24702238720,27047325696,21677608960
199,1779553777648,38959.88131713867,18300,0,0.775,85543.16366577148,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,31.97320556640625,30.849952697753906,0.1973114013671875,0.17502593994140625,0.1749725341796875,0.1749725341796875,0.1749725341796875,0.1749725341796875,0.17502593994140625,0.1749725341796875,0.18564605712890625,0.1747283935546875,46.85654830932617,46.74759292602539,55.75905990600586,56.27531051635742,60.644710540771484,49.8797492980957,18.43396759033203,21.05615997314453,33413771264,24702238720,27050524672,21674053632
200,1779553777848,38921.3907623291,18300,0,0.775,85545.6344909668,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.168792724609375,1.519927978515625,0.16214752197265625,0.1620025634765625,0.1889190673828125,0.1620025634765625,0.16180419921875,0.16175079345703125,0.20035552978515625,0.16159820556640625,0.18811798095703125,0.16155242919921875,61.07524871826172,53.24178695678711,63.50066375732422,59.24629592895508,62.299339294433594,59.731651306152344,12.207977294921875,12.408981323242188,33413771264,24702238720,27058003968,21676822528
200,1779553778049,38960.713287353516,18300,0,0.775,85548.17454528809,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.0925445556640625,1.4502716064453125,0.15741729736328125,0.09409332275390625,0.0940399169921875,0.093994140625,0.093994140625,0.09394073486328125,0.09394073486328125,0.1656494140625,0.09389495849609375,0.0937957763671875,49.06256866455078,41.04600143432617,50.98674392700195,52.79453659057617,58.918846130371094,51.320430755615234,43.98090362548828,41.25507736206055,33413771264,24702238720,27069542400,21675679744
199,1779553778249,38961.15869140625,18300,0,0.775,85550.70779418945,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,1.2046356201171875,0,0,0,0,0,0,0,0,0,0,45.45196533203125,40.69865798950195,54.8121452331543,51.27492904663086,53.649131774902344,55.87259292602539,25.00225067138672,26.51177215576172,33413771264,24702238720,27077521408,21677805568
199,1779553778450,38961.574462890625,18300,0,0.775,85553.20960998535,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1.9905242919921875,4.134269714355469,0.25968170166015625,0.25952911376953125,0.33878326416015625,0.25933074951171875,0.2592315673828125,0.25933074951171875,0.25928497314453125,0.259185791015625,0.25908660888671875,0.25893402099609375,54.1383056640625,46.9500617980957,57.044795989990234,52.1699104309082,57.364986419677734,51.93809127807617,20.3857421875,22.568016052246094,33413771264,24702238720,27083755520,21678456832
199,1779553778650,38962.0684967041,18300,0,0.78125,85556.61877441406,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,61.35642623901367,61.673744201660156,0.27051544189453125,0.198944091796875,0.19889068603515625,0.1993408203125,0.198638916015625,0.19834136962890625,12.904830932617188,13.669189453125,0.22371673583984375,0.19779205322265625,64.97000122070313,58.51538848876953,68.97677612304688,67.40206909179688,65.14627075195313,57.95297622680664,35.05547332763672,32.67645263671875,33413771264,24702238720,27097059328,21680967680
204,1779553778850,7779.026931762695,18300,0,0.7875,85559.79945373535,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,43.51604461669922,45.32013702392578,0.3129730224609375,0.2976837158203125,0.311676025390625,0.2976837158203125,0.29773712158203125,0.29763031005859375,36.247955322265625,36.821136474609375,0.30323028564453125,0.293487548828125,52.11879348754883,35.252960205078125,51.69877624511719,54.49531555175781,58.30778503417969,57.88142395019531,15.243537902832031,12.721092224121094,33413771264,24702238720,27106885632,21680758784
200,1779553779055,38962.96928405762,18300,0,0.78125,85562.60935974121,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,36.745975494384766,36.75654983520508,0.104248046875,0.10414886474609375,0.1040496826171875,0.10395050048828125,0.10390472412109375,0.10390472412109375,8.287704467773438,5.868934631347656,0.10936737060546875,0.10921478271484375,52.76247787475586,48.7795295715332,53.45072937011719,55.35201644897461,57.75723648071289,60.17332458496094,0.1045379638671875,0.10439300537109375,33413771264,24702238720,27116761088,21681008640
200,1779553779256,7779.843276977539,18300,0,0.78125,85565.1255645752,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1.5188827514648438,0.04611968994140625,0.15062713623046875,0.02680206298828125,0.02680206298828125,0.1177825927734375,0.02660369873046875,0.02655029296875,0.12282562255859375,0.02655029296875,0.02645111083984375,0.0263519287109375,55.47077178955078,53.802757263183594,59.1854133605957,52.63328552246094,61.22335433959961,54.11988067626953,21.132850646972656,22.370498657226563,33413771264,24702238720,27122524160,21680758784
200,1779553779456,7780.286087036133,18300,0,0.775,85568.23849487305,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,54.017356872558594,48.425933837890625,0.048187255859375,0,0.006103515625,0,0,0,0.00760650634765625,0,0,0,61.99502944946289,53.88554763793945,70.472412109375,71.37837219238281,75.72200012207031,65.60855102539063,4.8731231689453125,5.753509521484375,33413771264,24702238720,27151761408,21700882432
0,1779553779657,38925.37651062012,18300,0,0.775,85570.68098449707,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,11.995574951171875,13.873977661132813,4.442649841308594,6.44879150390625,2.870147705078125,1.8896102905273438,1.137847900390625,1.278594970703125,0,0,0,0,18.97650146484375,18.135208129882813,33.18244934082031,30.276634216308594,51.52307891845703,43.805946350097656,17.727066040039063,11.960113525390625,33413771264,24702238720,26862891008,20347871232
